GMID,Name,School,Year,Grade,AST,PercATrans,PercARim,PercA2PJ,PercA3P,PercADunks,TO,PercTOFoul,PercTOStea,PercTOMisc
14661,Pierre Andrews,Alabama A&M ,2009,So,0,NA,NA,NA,NA,NA,1,0.00%,0.00%,100.00%
14649,Casey Cantey,Alabama A&M ,2009,So,28,25.00%,35.71%,25.00%,39.29%,3.57%,61,9.84%,37.70%,52.46%
14653,Jabari Deshields,Alabama A&M ,2009,Jr,63,49.21%,38.10%,30.16%,31.75%,4.76%,49,6.12%,46.94%,46.94%
14646,Alfred Frayer,Alabama A&M ,2009,Jr,0,NA,NA,NA,NA,NA,4,0.00%,25.00%,75.00%
14663,Royce Hamilton,Alabama A&M ,2009,So,0,NA,NA,NA,NA,NA,1,0.00%,0.00%,100.00%
14650,Cornelius Hester,Alabama A&M ,2009,RS-Sr,36,33.33%,55.56%,25.00%,19.44%,11.11%,34,2.94%,73.53%,23.53%
14652,Evan Hilton,Alabama A&M ,2009,Sr,20,45.00%,65.00%,10.00%,25.00%,10.00%,47,10.64%,48.94%,40.43%
14655,Jonathan Inman,Alabama A&M ,2009,RS-Sr,15,6.67%,46.67%,13.33%,40.00%,0.00%,27,14.81%,33.33%,51.85%
14651,Desmond Jackson,Alabama A&M ,2009,Jr,11,36.36%,63.64%,18.18%,18.18%,18.18%,16,0.00%,56.25%,43.75%
14660,Maurice Kemp,Alabama A&M ,2009,Fr,12,33.33%,33.33%,50.00%,16.67%,8.33%,23,17.39%,43.48%,39.13%
14659,Marcus Lee,Alabama A&M ,2009,Fr,40,42.50%,32.50%,30.00%,37.50%,5.00%,49,6.12%,63.27%,30.61%
14662,Reggie Porter,Alabama A&M ,2009,Jr,15,13.33%,20.00%,26.67%,53.33%,0.00%,15,0.00%,66.67%,33.33%
14657,Khiry White,Alabama A&M ,2009,RS-Fr,0,NA,NA,NA,NA,NA,1,0.00%,100.00%,0.00%
14645,Adam Young,Alabama A&M ,2009,Fr,14,35.71%,57.14%,14.29%,28.57%,14.29%,17,11.76%,47.06%,41.18%
14725,Stephawn Brown,Alabama State,2009,Fr,1,100.00%,0.00%,0.00%,0.00%,0.00%,2,0.00%,100.00%,0.00%
14726,Tramaine Butler,Alabama State,2009,RS-Jr,65,30.77%,44.62%,24.62%,30.77%,4.62%,71,11.27%,54.93%,33.80%
14714,Chris Duncan,Alabama State,2009,Jr,18,16.67%,16.67%,22.22%,61.11%,0.00%,34,11.76%,55.88%,32.35%
14719,Jevon Freeman,Alabama State,2009,Jr,12,16.67%,16.67%,25.00%,58.33%,0.00%,10,0.00%,30.00%,70.00%
14720,Jordan Jefferson,Alabama State,2009,RS-Fr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
14715,Derrick Johnson,Alabama State,2009,So,1,0.00%,100.00%,0.00%,0.00%,0.00%,1,0.00%,0.00%,100.00%
