GMID,Name,School,Year,Grade,AST,A2PJ,S2P,A3P,DunkAss,TO,TOFoul,TOSteal,TOMisc
14722,Robert Sanders,Alabama State,2009,Jr,15,1,3,11,1,32,4,15,13
14712,A.J. Spencer,Alabama State,2009,Jr,97,32,28,37,6,50,2,25,23
14407,Byron Walker,Alabama State,2009,Sr,12,2,4,6,0,40,3,18,19
14723,Ryan Watts,Alabama State,2009,Fr,11,2,4,4,2,17,0,7,10
14716,Ivory White,Alabama State,2009,So,21,4,6,11,0,22,1,12,9
5496,Anthony Brock,Alabama,2009,Sr,72,10,36,26,13,38,2,24,12
5502,Greg Cage,Alabama,2009,Sr,1,1,0,0,0,1,0,1,0
5498,Charvez Davis,Alabama,2009,Jr,21,12,4,5,0,22,1,13,8
44725,Chris Dixon,Alabama,2009,Fr,0,0,0,0,0,0,0,0,0
5497,Ben Eblen,Alabama,2009,Fr,14,3,5,6,2,12,0,6,6
2187,JaMychal Green,Alabama,2009,So,33,10,12,11,2,79,10,28,41
2356,Senario Hillman,Alabama,2009,Jr,67,11,40,16,11,63,1,28,34
5499,Chris Hines,Alabama,2009,Jr,13,2,6,5,3,40,7,16,17
5503,Justin Knox,Alabama,2009,Jr,22,2,11,9,2,35,7,12,16
5504,Justin Luquire,Alabama,2009,Sr,0,0,0,0,0,0,0,0,0
5506,Tony Mitchell,Alabama,2009,Fr,17,5,8,4,0,20,3,9,8
5495,Andrew Steele,Alabama,2009,RS-So,7,2,3,2,1,9,1,6,2
5505,Mikhail Torrance,Alabama,2009,Sr,162,30,68,64,29,86,7,43,36
17582,Billy Allen,Albany,2009,So,17,3,5,9,1,16,0,7,9
17596,Tim Ambrose,Albany,2009,Jr,90,25,32,33,3,100,13,64,23
17590,Logan Aronhalt,Albany,2009,Fr,22,6,0,16,0,45,4,23,18
17591,Louis Barraza,Albany,2009,Jr,0,0,0,0,0,4,0,2,2
17593,Mike Black,Albany,2009,Fr,74,15,24,35,3,69,9,29,31
17584,Brett Gifford,Albany,2009,Sr,18,4,8,6,1,29,3,10,16
4414,Will Harris,Albany,2009,Sr,30,12,10,8,0,54,14,19,21
17592,Mike Johnson,Albany,2009,Sr,56,14,19,23,3,42,5,21,16
17588,Jake Lindfors,Albany,2009,RS-Fr,4,2,1,1,0,14,1,7,6
