GMID,Name,School,Year,Grade,PerRimABlkd,Per2PJABlkd,Per3PABlkd,PerRimMissesRbded,Per2PJMissesRbded,Per3PMissesRbded,PerS2APB,PerL2PAPB,PerPBDunked
7350,Dwayne Lathan,Indiana State,2010,Jr,6.52%,17.78%,0.00%,39.39%,36.23%,31.11%,6.52%,0.00%,0.00%
7359,R.J. Mahurin,Indiana State,2010,Fr,10.00%,4.55%,1.56%,66.67%,7.69%,23.26%,0.00%,0.00%,NA
7352,Isiah Martin,Indiana State,2010,Sr,10.71%,14.29%,0.00%,33.33%,55.56%,0.00%,28.57%,7.14%,10.00%
23499,Steve McWhorter,Indiana State,2010,Fr,5.88%,11.76%,0.00%,60.00%,36.36%,38.89%,5.88%,0.00%,0.00%
7353,Jake Odum,Indiana State,2010,Fr,2.22%,6.82%,0.00%,23.08%,29.17%,23.68%,4.44%,2.27%,0.00%
7354,Jordan Printy,Indiana State,2010,Jr,0.00%,4.35%,0.00%,25.00%,31.25%,37.04%,0.00%,0.00%,NA
7349,Carl Richard,Indiana State,2010,Jr,11.11%,6.87%,0.00%,22.22%,24.14%,36.00%,29.17%,6.11%,0.00%
23498,Myles Walker,Indiana State,2010,Jr,13.95%,4.35%,NA,35.90%,27.78%,NA,12.79%,3.48%,6.67%
3855,Kory Barnett,Indiana,2010,Jr,NA,NA,NA,NA,NA,NA,NA,NA,NA
3866,Bobby Capobianco,Indiana,2010,So,12.50%,0.00%,0.00%,0.00%,0.00%,100.00%,37.50%,0.00%,0.00%
3868,Maurice Creek,Indiana,2010,So,10.00%,0.00%,0.00%,87.50%,33.33%,27.45%,5.00%,5.00%,0.00%
3865,Derek Elston,Indiana,2010,So,4.44%,1.89%,0.00%,42.86%,35.71%,36.36%,20.00%,3.77%,0.00%
22335,Jeff Howard,Indiana,2010,Fr,100.00%,0.00%,NA,0.00%,0.00%,NA,100.00%,100.00%,0.00%
2277,Jordan Hulls,Indiana,2010,So,19.35%,2.33%,0.00%,72.73%,27.50%,27.78%,0.00%,0.00%,NA
3864,Verdell Jones,Indiana,2010,Jr,10.71%,6.87%,0.00%,52.78%,36.99%,34.29%,4.76%,0.00%,0.00%
3851,Daniel Moore,Indiana,2010,Jr,11.11%,0.00%,25.00%,25.00%,100.00%,50.00%,0.00%,0.00%,NA
22337,Victor Oladipo,Indiana,2010,Fr,16.00%,22.22%,4.55%,38.46%,27.27%,20.00%,14.00%,11.11%,0.00%
3863,Tom Pritchard,Indiana,2010,Jr,5.00%,25.00%,NA,46.15%,8.33%,NA,22.50%,12.50%,9.09%
5073,Jeremiah Rivers,Indiana,2010,Sr,10.81%,6.90%,0.00%,20.00%,44.44%,23.08%,2.70%,6.90%,0.00%
3858,Matt Roth,Indiana,2010,Jr,NA,0.00%,1.96%,NA,50.00%,24.24%,NA,0.00%,NA
22338,Will Sheehey,Indiana,2010,Fr,13.21%,17.14%,5.26%,42.86%,18.18%,23.08%,15.09%,2.86%,0.00%
3869,Christian Watford,Indiana,2010,So,10.31%,6.19%,1.16%,44.00%,32.39%,24.53%,11.34%,3.54%,0.00%
22339,Taylor Wayer,Indiana,2010,Fr,NA,NA,NA,NA,NA,NA,NA,NA,NA
23883,Sean Armand,Iona,2010,Fr,4.55%,0.00%,0.77%,20.00%,38.89%,29.87%,18.18%,8.33%,0.00%
23884,Randy Dezouvre,Iona,2010,Jr,14.29%,3.03%,0.00%,29.41%,23.53%,50.00%,11.43%,6.06%,0.00%
18145,Rashon Dwight,Iona,2010,Sr,15.79%,13.04%,2.38%,56.60%,23.53%,18.00%,9.47%,2.17%,0.00%
18147,Trinity Fields,Iona,2010,Jr,6.67%,0.00%,0.00%,20.00%,0.00%,18.75%,0.00%,0.00%,NA
23882,Mike Glover,Iona,2010,Jr,7.99%,11.94%,0.00%,46.85%,23.91%,66.67%,13.31%,4.48%,4.17%
23886,Jayon James,Iona,2010,Fr,0.00%,0.00%,0.00%,0.00%,50.00%,50.00%,33.33%,0.00%,0.00%
18139,Jermel Jenkins,Iona,2010,Jr,21.43%,0.00%,0.54%,40.74%,25.71%,34.48%,0.00%,0.00%,NA
23885,Aleksander Kesic,Iona,2010,Fr,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,NA
18146,Scott Machado,Iona,2010,Jr,8.95%,2.94%,0.00%,47.42%,30.61%,26.25%,2.63%,0.00%,0.00%
18137,Chris Pelcher,Iona,2010,So,9.76%,18.18%,NA,50.00%,37.50%,NA,12.20%,9.09%,0.00%
18135,Alejo Rodriguez,Iona,2010,Sr,7.14%,30.00%,NA,47.06%,22.22%,NA,22.22%,0.00%,17.86%
18141,Kyle Smyth,Iona,2010,So,4.35%,0.00%,0.57%,20.00%,27.78%,40.91%,13.04%,0.00%,0.00%
2544,Jake Anderson,Iowa State,2010,Sr,5.71%,14.61%,0.00%,44.44%,32.86%,28.99%,2.86%,6.74%,0.00%
3541,Scott Christopherson,Iowa State,2010,Jr,13.33%,7.14%,0.59%,30.00%,28.77%,28.72%,0.00%,0.00%,0.00%
23288,Melvin Ejim,Iowa State,2010,Fr,4.82%,15.00%,0.00%,20.00%,35.29%,23.08%,10.84%,15.00%,9.09%
4175,Diante Garrett,Iowa State,2010,Sr,2.94%,3.88%,0.00%,39.29%,26.62%,32.43%,0.00%,0.00%,NA
23285,Calvin Godfrey,Iowa State,2010,Fr,7.84%,22.45%,NA,33.33%,29.03%,NA,19.61%,18.37%,10.53%
28836,Austin McBeth,Iowa State,2010,So,NA,NA,NA,NA,NA,NA,NA,NA,NA
23286,Eric McKnight,Iowa State,2010,Fr,0.00%,NA,NA,NA,NA,NA,0.00%,NA,NA
24328,Andrew Mitchell,Iowa State,2010,Sr,NA,NA,NA,NA,NA,NA,NA,NA,NA
4182,Bubu Palo,Iowa State,2010,Fr,22.22%,30.00%,0.00%,60.00%,41.18%,11.76%,0.00%,0.00%,NA
3543,DeMarcus Phillips,Iowa State,2010,Jr,0.00%,NA,0.00%,NA,NA,33.33%,0.00%,NA,NA
23287,Jordan Railey,Iowa State,2010,Fr,0.00%,12.50%,NA,0.00%,30.00%,NA,33.33%,0.00%,0.00%
4134,Jamie Vanderbeken,Iowa State,2010,Sr,8.33%,10.71%,0.71%,44.44%,27.50%,19.28%,8.33%,10.71%,0.00%
5086,Devon Archie,Iowa,2010,Jr,13.33%,50.00%,NA,42.86%,50.00%,NA,26.67%,30.00%,0.00%
22340,Melsahn Basabe,Iowa,2010,Fr,11.57%,6.10%,NA,24.32%,32.61%,NA,23.97%,12.20%,10.26%
3871,Andrew Brommer,Iowa,2010,Jr,4.65%,9.09%,NA,18.75%,42.86%,NA,16.28%,0.00%,0.00%
8814,Bryce Cartwright,Iowa,2010,Jr,6.33%,2.98%,0.00%,52.94%,39.81%,37.21%,1.27%,2.98%,0.00%
3878,Jarryd Cole,Iowa,2010,Sr,9.72%,4.82%,0.00%,72.22%,26.00%,0.00%,20.83%,3.61%,0.00%
22341,Cody Cox,Iowa,2010,Fr,NA,NA,NA,NA,NA,NA,NA,NA,NA
3565,Matt Gatens,Iowa,2010,Jr,23.40%,6.41%,0.00%,57.14%,27.08%,27.36%,4.26%,0.00%,0.00%
22342,Devyn Marble,Iowa,2010,Fr,13.04%,5.38%,0.00%,77.78%,42.86%,50.00%,8.70%,1.08%,0.00%
3882,Eric May,Iowa,2010,So,2.90%,4.62%,0.00%,35.71%,36.73%,25.71%,0.00%,4.62%,0.00%
22343,Zach McCabe,Iowa,2010,Fr,20.45%,18.92%,0.00%,37.50%,45.83%,28.85%,13.64%,5.41%,0.00%
3884,Cully Payne,Iowa,2010,So,20.00%,0.00%,0.00%,50.00%,50.00%,27.27%,0.00%,0.00%,NA
22344,T.J. Sayre,Iowa,2010,Sr,NA,NA,NA,NA,NA,NA,NA,NA,NA
22345,Jordan Stoermer,Iowa,2010,Jr,0.00%,0.00%,0.00%,NA,0.00%,44.44%,0.00%,0.00%,NA
22347,Branden Stubbs,Iowa,2010,Fr,NA,NA,NA,NA,NA,NA,NA,NA,NA
12828,Ben Botts,Fort Wayne,2010,Sr,14.29%,0.97%,4.13%,26.32%,30.36%,26.87%,2.38%,0.97%,0.00%
20124,Antwaun Boyd,Fort Wayne,2010,Jr,9.62%,15.00%,0.00%,38.46%,18.18%,16.67%,1.92%,0.00%,0.00%
12831,Frank Gaines,Fort Wayne,2010,So,10.53%,14.71%,0.00%,31.75%,29.17%,12.00%,5.26%,2.94%,0.00%
23083,Michael Kibiloski,Fort Wayne,2010,Fr,28.57%,0.00%,0.00%,57.14%,0.00%,33.33%,28.57%,0.00%,0.00%
12835,Oleg Kovalov,Fort Wayne,2010,Sr,0.00%,0.00%,0.00%,50.00%,40.00%,28.00%,7.69%,0.00%,0.00%
12837,Trey McCorkle,Fort Wayne,2010,Jr,12.82%,7.27%,NA,26.09%,19.35%,NA,12.82%,0.00%,0.00%
12832,Jeremy Mixon,Fort Wayne,2010,Jr,20.97%,7.50%,0.00%,42.42%,30.43%,28.57%,0.00%,2.50%,0.00%
12833,John Peckinpaugh,Fort Wayne,2010,Jr,19.05%,0.00%,4.35%,42.11%,6.67%,38.89%,16.67%,0.00%,0.00%
12838,Zach Plackemeier,Fort Wayne,2010,Sr,8.33%,6.00%,0.67%,27.27%,41.94%,25.81%,0.00%,4.00%,0.00%
23082,Krste Ruiz,Fort Wayne,2010,Fr,NA,NA,NA,NA,NA,NA,NA,NA,NA
12903,Jason Smeathers,Fort Wayne,2010,Jr,0.00%,0.00%,0.00%,NA,11.11%,14.81%,28.57%,8.33%,0.00%
11981,Terrance Williams,Fort Wayne,2010,Jr,NA,NA,NA,NA,NA,NA,NA,NA,NA
12892,John Ashworth,IUPUI,2010,Sr,17.65%,0.00%,2.82%,40.00%,41.67%,33.33%,0.00%,5.88%,0.00%
12896,Nick DeSchepper,IUPUI,2010,Sr,0.00%,0.00%,0.00%,0.00%,0.00%,40.00%,0.00%,0.00%,NA
12897,Sean Esposito,IUPUI,2010,So,0.00%,0.00%,0.00%,33.33%,33.33%,29.73%,20.00%,0.00%,0.00%
23084,Donovan Gibbs,IUPUI,2010,Fr,17.65%,9.30%,0.00%,33.33%,36.36%,50.00%,23.53%,4.65%,0.00%
23086,P.J. Hubert,IUPUI,2010,Fr,0.00%,NA,0.00%,0.00%,NA,33.33%,0.00%,NA,NA
12895,Nick Kitcoff,IUPUI,2010,So,NA,NA,0.00%,NA,NA,50.00%,NA,NA,NA
12890,David Mazanowski,IUPUI,2010,So,NA,NA,NA,NA,NA,NA,NA,NA,NA
12894,LeRoy Nobles,IUPUI,2010,Sr,13.64%,7.79%,0.65%,52.78%,34.04%,30.00%,8.18%,3.90%,0.00%
23085,Mitchell Patton,IUPUI,2010,Fr,5.88%,4.76%,8.33%,44.44%,30.77%,25.00%,5.88%,9.52%,0.00%
12891,Greg Rice,IUPUI,2010,RS-So,NA,0.00%,0.00%,NA,66.67%,20.00%,NA,0.00%,NA
12889,Christian Siakam,IUPUI,2010,Jr,4.91%,4.88%,NA,35.19%,33.33%,NA,19.63%,4.88%,0.00%
10351,Stephen Thomas,IUPUI,2010,Jr,12.79%,2.97%,1.72%,51.28%,49.15%,35.29%,4.65%,0.00%,0.00%
12887,Anthony Williams,IUPUI,2010,Sr,8.33%,12.50%,NA,0.00%,40.00%,NA,8.33%,0.00%,0.00%
9442,Alex Young,IUPUI,2010,Jr,4.64%,7.93%,0.00%,45.83%,33.01%,24.66%,12.89%,3.05%,0.00%
15004,Gertavian Blake,Jackson State,2010,Sr,13.79%,10.00%,NA,35.71%,42.86%,NA,20.69%,10.00%,14.29%
14998,Cason Burk,Jackson State,2010,Sr,16.13%,6.25%,4.00%,69.23%,7.14%,44.44%,9.68%,25.00%,0.00%
23157,Jenirro Bush,Jackson State,2010,Jr,13.46%,9.46%,0.00%,57.50%,36.00%,34.00%,7.69%,1.35%,0.00%
15002,DeSuan Dixon,Jackson State,2010,Sr,12.99%,2.27%,0.00%,55.56%,37.50%,37.14%,19.48%,0.00%,0.00%
15012,Raymond Gregory,Jackson State,2010,So,10.71%,0.00%,NA,8.33%,50.00%,NA,14.29%,0.00%,0.00%
9053,Tyrone Hanson,Jackson State,2010,Sr,17.31%,1.32%,0.00%,40.91%,60.87%,38.26%,9.62%,0.00%,0.00%
14999,Chris Hyche,Jackson State,2010,Jr,14.29%,0.00%,0.00%,50.00%,0.00%,66.67%,14.29%,0.00%,0.00%
15010,Oliver Jefferson,Jackson State,2010,Jr,20.00%,0.00%,NA,50.00%,0.00%,NA,20.00%,0.00%,0.00%
15001,Davon Jones,Jackson State,2010,So,6.90%,0.00%,NA,30.00%,12.50%,NA,3.45%,8.33%,0.00%
15007,Jonathan Lewis,Jackson State,2010,So,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,0.00%,0.00%,NA
15005,Grant Maxey,Jackson State,2010,Sr,9.86%,7.89%,0.00%,43.55%,28.38%,40.00%,16.90%,3.51%,0.00%
15013,Rod Melvin,Jackson State,2010,Jr,10.34%,3.03%,0.00%,42.11%,38.46%,27.27%,6.90%,0.00%,0.00%
20179,Jacolby Pittman,Jackson State,2010,So,12.50%,NA,NA,0.00%,NA,NA,12.50%,NA,0.00%
23457,Jamarious Sykes,Jackson State,2010,Fr,NA,NA,NA,NA,NA,NA,NA,NA,NA
15000,Christian Williams,Jackson State,2010,So,0.00%,0.00%,0.00%,0.00%,NA,25.00%,0.00%,0.00%,NA
15011,Phillip Williams,Jackson State,2010,Jr,17.24%,0.00%,0.00%,25.00%,30.00%,37.50%,6.90%,0.00%,0.00%
22505,Latiq Agard,Jacksonville State,2010,Jr,NA,NA,NA,NA,NA,NA,NA,NA,NA
22508,Frankie Bougher,Jacksonville State,2010,Fr,0.00%,9.09%,0.00%,33.33%,42.86%,14.29%,25.00%,0.00%,0.00%
20701,DeAndre' Bynum,Jacksonville State,2010,Jr,12.50%,0.00%,0.00%,40.00%,37.50%,25.00%,12.50%,6.25%,0.00%
12201,Jeremy Bynum,Jacksonville State,2010,Sr,0.00%,7.22%,1.94%,20.00%,29.03%,33.33%,7.69%,0.00%,0.00%
22502,Nick Cook,Jacksonville State,2010,Fr,16.67%,26.32%,NA,35.71%,26.67%,NA,16.67%,5.26%,0.00%
22506,Leventrice Gray,Jacksonville State,2010,Jr,19.05%,4.76%,NA,57.14%,28.57%,NA,4.76%,0.00%,0.00%
12208,Stephen Hall,Jacksonville State,2010,Jr,7.26%,6.21%,0.00%,50.00%,22.47%,37.50%,12.90%,2.76%,0.00%
22509,Brice Jenkins,Jacksonville State,2010,Fr,10.53%,0.00%,0.00%,16.67%,66.67%,13.33%,15.79%,0.00%,0.00%
12203,Jonathan Merit,Jacksonville State,2010,So,NA,NA,NA,NA,NA,NA,NA,NA,NA
12198,B.J. Miller,Jacksonville State,2010,Jr,9.09%,0.00%,0.00%,64.29%,27.78%,36.23%,0.00%,3.70%,0.00%
12204,Nick Murphy,Jacksonville State,2010,Sr,6.67%,5.93%,0.00%,54.55%,31.03%,23.33%,5.19%,3.70%,0.00%
12199,Dominique Shellman,Jacksonville State,2010,Jr,12.50%,0.00%,0.00%,37.50%,23.08%,30.00%,12.50%,0.00%,0.00%
12207,Sean Thurston,Jacksonville State,2010,Sr,12.50%,12.50%,0.00%,33.33%,27.27%,0.00%,18.75%,18.75%,0.00%
22507,Brian Williams (2),Jacksonville State,2010,Fr,16.67%,4.88%,0.00%,28.57%,48.00%,32.35%,3.33%,2.44%,0.00%
22601,Aloys Cabell,Jacksonville,2010,Fr,14.29%,7.41%,0.00%,66.67%,43.24%,58.82%,3.57%,0.00%,0.00%
14333,Travis Cohn,Jacksonville,2010,Sr,12.12%,6.25%,0.99%,44.83%,31.25%,39.06%,3.03%,3.13%,0.00%
22599,Chris Davis,Jacksonville,2010,Fr,22.22%,9.09%,0.00%,71.43%,22.22%,33.33%,0.00%,9.09%,0.00%
14332,Tevin Galvin,Jacksonville,2010,Jr,5.97%,5.00%,0.00%,48.28%,36.36%,23.91%,20.90%,7.50%,0.00%
14320,A.J. Garden,Jacksonville,2010,So,NA,NA,NA,NA,NA,NA,NA,NA,NA
5758,Delwan Graham,Jacksonville,2010,Jr,8.51%,5.66%,0.00%,44.74%,37.50%,20.00%,22.34%,4.72%,7.69%
14321,Ayron Hardy,Jacksonville,2010,Sr,5.65%,6.19%,0.00%,50.00%,36.84%,36.84%,20.97%,8.25%,0.00%
22600,Shamlie Jeffers,Jacksonville,2010,Jr,21.43%,0.00%,NA,31.82%,25.00%,NA,26.19%,18.18%,0.00%
22602,Keith McDougald,Jacksonville,2010,Fr,18.92%,2.53%,1.56%,55.56%,44.23%,36.90%,10.81%,6.33%,0.00%
22604,Keion Palmer,Jacksonville,2010,Fr,0.00%,3.13%,NA,25.00%,38.89%,NA,29.41%,9.38%,12.50%
14326,Glenn Powell,Jacksonville,2010,So,11.27%,7.27%,NA,31.25%,14.71%,NA,16.90%,5.45%,20.00%
14330,Russell Powell,Jacksonville,2010,So,16.07%,5.97%,0.00%,57.14%,38.37%,39.47%,0.00%,0.00%,NA
14325,Chris Rozier,Jacksonville,2010,So,0.00%,0.00%,0.00%,100.00%,30.77%,0.00%,60.00%,0.00%,0.00%
4286,Denzel Bowles,James Madison,2010,Sr,5.41%,4.29%,NA,48.57%,20.63%,NA,11.49%,4.29%,3.70%
18714,Alioune Diouf,James Madison,2010,So,0.00%,20.00%,0.00%,NA,20.00%,66.67%,0.00%,20.00%,0.00%
18724,Trevon Flores,James Madison,2010,So,0.00%,0.00%,NA,100.00%,33.33%,NA,0.00%,0.00%,NA
23650,Rayshawn Goins,James Madison,2010,Jr,18.58%,16.18%,0.00%,50.00%,47.87%,0.00%,17.70%,6.62%,0.00%
9441,Anthony Hitchens,James Madison,2010,Jr,13.04%,5.13%,0.00%,55.56%,36.36%,28.74%,0.00%,0.00%,NA
23649,Chad Jackson,James Madison,2010,Fr,12.50%,22.73%,0.00%,47.83%,35.71%,50.00%,15.00%,9.09%,0.00%
18717,Ben Louis,James Madison,2010,Sr,8.33%,0.00%,0.00%,25.00%,0.00%,25.00%,8.33%,0.00%,0.00%
23648,Kevin McGaughey,James Madison,2010,Fr,NA,NA,NA,NA,NA,NA,NA,NA,NA
18719,Devon Moore,James Madison,2010,So,8.24%,2.75%,0.00%,25.81%,37.50%,31.43%,4.71%,2.75%,0.00%
23647,Andre Prince,James Madison,2010,Fr,NA,NA,NA,NA,NA,NA,NA,NA,NA
18716,Andrey Semenov,James Madison,2010,So,11.76%,9.09%,0.00%,46.15%,29.73%,24.39%,17.65%,10.91%,8.33%
9465,Julius Wells,James Madison,2010,Jr,10.00%,6.41%,0.58%,50.00%,32.00%,28.83%,10.00%,0.00%,0.00%
9400,Freddy Asprilla,Kansas State,2010,Jr,8.00%,13.33%,NA,66.67%,36.36%,NA,28.00%,13.33%,9.09%
4532,Jordan Henriquez,Kansas State,2010,So,6.06%,5.08%,NA,50.00%,47.73%,NA,27.27%,22.03%,4.55%
4212,Martavious Irving,Kansas State,2010,So,3.45%,7.69%,0.00%,80.00%,40.74%,46.43%,13.79%,0.00%,0.00%
2210,Wally Judge,Kansas State,2010,So,15.38%,2.17%,NA,58.33%,41.94%,NA,7.69%,6.52%,0.00%
2532,Curtis Kelly,Kansas State,2010,Sr,5.66%,2.96%,0.00%,22.22%,49.40%,NA,22.64%,2.96%,6.25%
4210,Rodney McGruder,Kansas State,2010,So,14.29%,12.20%,1.29%,61.54%,42.86%,36.56%,17.14%,10.98%,6.25%
23292,Juevol Myles,Kansas State,2010,So,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,NA
4209,Victor Ojeleye,Kansas State,2010,Jr,9.09%,6.67%,0.00%,60.00%,36.36%,66.67%,27.27%,20.00%,0.00%
23453,Devon Peterson,Kansas State,2010,Sr,40.00%,0.00%,0.00%,0.00%,25.00%,NA,0.00%,11.11%,0.00%
23290,Alex Potuzak,Kansas State,2010,Fr,NA,NA,NA,NA,NA,NA,NA,NA,NA
4073,Jacob Pullen,Kansas State,2010,Sr,14.55%,9.92%,1.12%,34.78%,43.75%,37.84%,1.82%,1.65%,0.00%
4211,Nick Russell,Kansas State,2010,So,0.00%,6.67%,0.00%,66.67%,31.82%,50.00%,0.00%,3.33%,0.00%
4205,Jamar Samuels,Kansas State,2010,Jr,6.49%,6.12%,0.00%,41.38%,40.91%,40.91%,19.48%,11.22%,7.69%
9406,Shane Southwell,Kansas State,2010,Fr,14.29%,14.29%,0.00%,50.00%,52.17%,62.50%,0.00%,8.57%,0.00%
23294,Will Spradling,Kansas State,2010,Fr,15.38%,7.14%,0.00%,57.14%,64.29%,41.67%,0.00%,3.57%,0.00%
23293,Nino Williams,Kansas State,2010,RS-Fr,0.00%,NA,NA,NA,NA,NA,0.00%,NA,NA
4197,Elijah Johnson,Kansas,2010,So,5.88%,0.00%,0.00%,0.00%,50.00%,32.00%,0.00%,0.00%,NA
4189,Jordan Juenemann,Kansas,2010,Jr,NA,NA,NA,NA,NA,NA,NA,NA,NA
4190,Mario Little,Kansas,2010,Sr,12.50%,12.73%,4.76%,45.45%,34.38%,14.29%,41.67%,5.45%,0.00%
4140,Brady Morningstar,Kansas,2010,Sr,9.38%,0.00%,0.00%,87.50%,40.63%,47.06%,6.25%,1.82%,0.00%
4078,Marcus Morris,Kansas,2010,Jr,5.34%,3.74%,0.00%,53.33%,29.79%,30.43%,15.27%,8.56%,2.70%
4191,Markieff Morris,Kansas,2010,Jr,8.76%,6.12%,0.00%,30.30%,26.67%,31.03%,18.98%,6.12%,15.63%
4195,Tyrel Reed,Kansas,2010,Sr,8.33%,11.36%,0.58%,80.00%,53.57%,41.82%,4.17%,4.55%,0.00%
4194,Travis Releford,Kansas,2010,So,4.35%,0.00%,0.00%,37.50%,20.00%,50.00%,17.39%,11.11%,0.00%
23289,Niko Roberts,Kansas,2010,Fr,NA,NA,NA,NA,NA,NA,NA,NA,NA
2383,Thomas Robinson,Kansas,2010,So,7.14%,8.33%,NA,33.33%,36.00%,NA,24.49%,8.33%,18.52%
7111,Josh Selby,Kansas,2010,Fr,8.00%,3.77%,2.44%,50.00%,34.29%,35.19%,8.00%,1.89%,0.00%
2323,Tyshawn Taylor,Kansas,2010,Jr,5.88%,6.98%,4.55%,55.56%,37.29%,46.43%,3.53%,0.00%,0.00%
4518,Jeff Withey,Kansas,2010,So,10.00%,0.00%,NA,60.00%,0.00%,NA,10.00%,25.00%,50.00%
9397,Royce Woolridge,Kansas,2010,Fr,NA,NA,NA,NA,NA,NA,NA,NA,NA
23975,Aaron Anderson (2),Kennesaw State,2010,So,9.78%,6.25%,0.00%,25.81%,56.67%,37.50%,5.43%,18.75%,0.00%
14389,Markeith Cummings,Kennesaw State,2010,So,7.07%,6.79%,0.00%,50.00%,40.37%,22.73%,9.78%,2.47%,0.00%
22597,Brandon Dawson,Kennesaw State,2010,Fr,18.18%,0.00%,0.00%,0.00%,50.00%,0.00%,9.09%,0.00%,0.00%
14392,Spencer Dixon,Kennesaw State,2010,Jr,10.13%,6.67%,2.42%,44.83%,41.05%,34.19%,2.53%,2.22%,0.00%
14388,LaDaris Green,Kennesaw State,2010,So,5.05%,1.49%,1.59%,53.85%,17.39%,32.56%,41.41%,8.96%,0.00%
22596,R.J. Hall (2),Kennesaw State,2010,So,NA,NA,NA,NA,NA,NA,NA,NA,NA
14391,Romain Henry,Kennesaw State,2010,Jr,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,NA
5598,Matt Heramb,Kennesaw State,2010,Sr,6.67%,6.25%,0.00%,16.67%,25.00%,29.41%,26.67%,6.25%,0.00%
14380,Artie Marine,Kennesaw State,2010,Jr,0.00%,11.11%,0.00%,75.00%,50.00%,42.11%,0.00%,0.00%,NA
14386,Kelvin McConnell,Kennesaw State,2010,Sr,44.44%,5.56%,0.71%,40.00%,33.33%,41.18%,0.00%,1.85%,0.00%
14390,Mirza Medinic,Kennesaw State,2010,Sr,NA,NA,NA,NA,NA,NA,NA,NA,NA
22598,Andrew Osemhen,Kennesaw State,2010,Fr,17.65%,53.33%,NA,14.29%,30.77%,NA,23.53%,13.33%,0.00%
22595,Mirza Sabic,Kennesaw State,2010,So,25.00%,25.00%,0.00%,50.00%,100.00%,12.50%,25.00%,25.00%,0.00%
22594,Nick Turner,Kennesaw State,2010,Fr,50.00%,20.00%,0.00%,50.00%,40.00%,0.00%,50.00%,0.00%,0.00%
11487,Brian Frank,Kent State,2010,So,NA,NA,NA,NA,NA,NA,NA,NA,NA
9334,Eric Gaines,Kent State,2010,Fr,10.71%,3.85%,0.00%,50.00%,33.33%,25.00%,14.29%,11.54%,0.00%
11494,Justin Greene,Kent State,2010,Jr,11.62%,4.82%,0.00%,49.37%,32.89%,100.00%,17.17%,2.81%,0.00%
9336,Carlton Guyton,Kent State,2010,Jr,12.64%,8.51%,0.75%,42.42%,52.46%,36.71%,10.34%,0.00%,0.00%
23928,Mark Henniger,Kent State,2010,Fr,4.76%,10.00%,NA,42.86%,37.50%,NA,23.81%,20.00%,0.00%
11497,Randal Holt,Kent State,2010,So,20.37%,8.70%,0.52%,69.23%,40.54%,33.08%,5.56%,0.00%,0.00%
23930,Scooter Johnson,Kent State,2010,Fr,8.33%,0.00%,0.00%,60.00%,40.00%,14.29%,33.33%,5.00%,0.00%
23931,Darius Leonard,Kent State,2010,Fr,16.67%,17.65%,4.76%,57.14%,30.77%,21.43%,25.00%,17.65%,0.00%
11495,Justin Manns,Kent State,2010,Jr,3.96%,9.09%,0.00%,39.39%,23.53%,100.00%,28.71%,4.55%,13.33%
23929,DeAndre Nealy,Kent State,2010,Jr,0.00%,100.00%,NA,40.00%,50.00%,NA,28.57%,0.00%,0.00%
21444,Mike Porrini,Kent State,2010,Jr,16.15%,4.30%,0.00%,49.25%,40.32%,31.58%,7.69%,1.08%,0.00%
11498,Rodriquez Sherman,Kent State,2010,Sr,11.11%,5.88%,0.00%,46.77%,37.78%,20.78%,10.42%,0.00%,0.00%
11493,Jordan Wilds,Kent State,2010,So,NA,NA,NA,NA,NA,NA,NA,NA,NA
5715,Josh Harrellson,Kentucky,2010,Sr,7.02%,10.61%,0.00%,46.15%,35.71%,42.86%,30.70%,30.30%,0.00%
3551,Jon Hood,Kentucky,2010,So,33.33%,28.57%,0.00%,50.00%,40.00%,55.56%,33.33%,14.29%,0.00%
7109,Terrence Jones,Kentucky,2010,Fr,8.00%,14.75%,0.00%,40.91%,38.89%,31.25%,20.00%,5.99%,7.89%
2258,Brandon Knight,Kentucky,2010,Fr,7.84%,6.37%,0.46%,29.79%,29.47%,32.33%,3.92%,0.64%,20.00%
7107,Doron Lamb,Kentucky,2010,Fr,10.94%,4.85%,0.00%,48.00%,27.59%,39.06%,3.13%,1.94%,0.00%
5713,DeAndre Liggins,Kentucky,2010,Jr,13.64%,10.23%,0.00%,40.74%,38.33%,28.85%,7.58%,1.14%,16.67%
2364,Darius Miller,Kentucky,2010,Jr,0.00%,2.33%,0.00%,58.33%,34.72%,37.50%,13.51%,1.55%,0.00%
23343,Jarrod Polson,Kentucky,2010,Fr,50.00%,100.00%,NA,100.00%,100.00%,NA,0.00%,0.00%,NA
9352,"Stacey Poole, Jr.",Kentucky,2010,Fr,NA,33.33%,0.00%,NA,0.00%,0.00%,NA,0.00%,NA
5636,Eloy Vargas,Kentucky,2010,Jr,11.76%,40.00%,NA,33.33%,40.00%,NA,29.41%,10.00%,16.67%
10538,Greg Danish,La Salle,2010,Sr,NA,NA,0.00%,NA,NA,100.00%,NA,NA,NA
22533,Tyreek Duren,La Salle,2010,Fr,16.24%,2.00%,6.00%,65.38%,34.29%,37.14%,0.00%,0.00%,NA
