GMID,Name,School,Year,Grade,PerRimABlkd,Per2PJABlkd,Per3PABlkd,PerRimMissesRbded,Per2PJMissesRbded,Per3PMissesRbded,PerS2APB,PerL2PAPB,PerPBDunked
14661,Pierre Andrews,Alabama A&M ,2009,So,NA,NA,NA,NA,NA,NA,NA,NA,NA
14649,Casey Cantey,Alabama A&M ,2009,So,15.11%,9.26%,0.00%,39.19%,35.00%,30.43%,7.91%,5.56%,0.00%
14653,Jabari Deshields,Alabama A&M ,2009,Jr,7.69%,2.94%,0.00%,36.84%,40.74%,33.33%,7.69%,0.00%,0.00%
14646,Alfred Frayer,Alabama A&M ,2009,Jr,0.00%,0.00%,NA,100.00%,0.00%,NA,0.00%,0.00%,NA
14663,Royce Hamilton,Alabama A&M ,2009,So,25.00%,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,0.00%,NA
14650,Cornelius Hester,Alabama A&M ,2009,RS-Sr,7.14%,2.52%,1.54%,50.00%,45.59%,26.97%,9.52%,1.68%,14.29%
14652,Evan Hilton,Alabama A&M ,2009,Sr,18.52%,6.98%,0.00%,45.24%,32.35%,31.03%,12.35%,0.00%,0.00%
14655,Jonathan Inman,Alabama A&M ,2009,RS-Sr,14.29%,11.11%,NA,48.89%,15.38%,NA,8.33%,0.00%,0.00%
14651,Desmond Jackson,Alabama A&M ,2009,Jr,20.00%,0.00%,0.00%,16.67%,18.18%,40.74%,10.00%,0.00%,0.00%
14660,Maurice Kemp,Alabama A&M ,2009,Fr,14.75%,10.00%,0.00%,25.00%,25.00%,35.71%,19.67%,0.00%,0.00%
14659,Marcus Lee,Alabama A&M ,2009,Fr,13.64%,0.00%,0.00%,18.18%,11.11%,14.29%,0.00%,0.00%,NA
14662,Reggie Porter,Alabama A&M ,2009,Jr,16.67%,0.00%,0.00%,66.67%,60.00%,27.27%,0.00%,0.00%,NA
14657,Khiry White,Alabama A&M ,2009,RS-Fr,NA,NA,NA,NA,NA,NA,NA,NA,NA
14645,Adam Young,Alabama A&M ,2009,Fr,15.09%,11.63%,0.00%,46.15%,33.33%,16.67%,13.21%,6.98%,0.00%
14725,Stephawn Brown,Alabama State,2009,Fr,0.00%,0.00%,0.00%,NA,NA,0.00%,0.00%,0.00%,NA
14726,Tramaine Butler,Alabama State,2009,RS-Jr,17.43%,20.00%,0.00%,53.85%,47.50%,30.65%,9.17%,5.00%,0.00%
14714,Chris Duncan,Alabama State,2009,Jr,10.91%,9.26%,0.00%,39.13%,30.56%,30.00%,12.73%,3.70%,0.00%
14719,Jevon Freeman,Alabama State,2009,Jr,50.00%,NA,NA,50.00%,NA,NA,0.00%,NA,NA
14720,Jordan Jefferson,Alabama State,2009,RS-Fr,NA,0.00%,NA,NA,0.00%,NA,NA,0.00%,NA
14715,Derrick Johnson,Alabama State,2009,So,NA,NA,NA,NA,NA,NA,NA,NA,NA
14718,Jeffery Middlebrooks,Alabama State,2009,So,25.00%,7.14%,0.00%,16.67%,75.00%,25.00%,0.00%,0.00%,NA
14724,Sekari Milligen,Alabama State,2009,So,15.38%,5.56%,1.25%,28.57%,25.00%,43.10%,0.00%,0.00%,NA
14727,Tramyne Moorer,Alabama State,2009,Jr,5.60%,11.49%,0.00%,35.85%,38.46%,18.18%,12.80%,1.15%,11.76%
14717,Jadarren Mumpfield,Alabama State,2009,Jr,50.00%,0.00%,0.00%,0.00%,NA,75.00%,0.00%,0.00%,NA
14721,Menji Mundadi,Alabama State,2009,Sr,4.69%,5.13%,0.47%,59.38%,26.32%,37.60%,4.69%,5.13%,0.00%
14722,Robert Sanders,Alabama State,2009,Jr,5.88%,2.94%,0.00%,42.86%,26.92%,22.22%,17.65%,0.00%,0.00%
14712,A.J. Spencer,Alabama State,2009,Jr,5.26%,4.55%,0.00%,33.33%,52.94%,33.33%,0.00%,0.00%,NA
14407,Byron Walker,Alabama State,2009,Sr,7.69%,9.28%,0.00%,41.67%,26.47%,0.00%,4.62%,0.00%,0.00%
14723,Ryan Watts,Alabama State,2009,Fr,50.00%,0.00%,0.00%,100.00%,60.00%,50.00%,0.00%,0.00%,NA
14716,Ivory White,Alabama State,2009,So,14.29%,15.38%,0.00%,37.50%,33.33%,29.41%,21.43%,7.69%,0.00%
5496,Anthony Brock,Alabama,2009,Sr,29.73%,18.75%,1.85%,56.00%,33.33%,33.80%,0.00%,0.00%,0.00%
5502,Greg Cage,Alabama,2009,Sr,50.00%,NA,NA,0.00%,NA,NA,50.00%,NA,0.00%
5498,Charvez Davis,Alabama,2009,Jr,0.00%,8.70%,1.64%,25.00%,27.78%,26.39%,8.33%,0.00%,0.00%
44725,Chris Dixon,Alabama,2009,Fr,NA,NA,NA,NA,NA,NA,NA,NA,NA
5497,Ben Eblen,Alabama,2009,Fr,0.00%,33.33%,0.00%,66.67%,0.00%,33.33%,20.00%,16.67%,0.00%
2187,JaMychal Green,Alabama,2009,So,15.71%,12.80%,0.00%,44.83%,35.79%,0.00%,20.00%,8.54%,9.52%
2356,Senario Hillman,Alabama,2009,Jr,17.91%,4.90%,0.00%,48.48%,35.62%,45.00%,7.46%,1.96%,0.00%
5499,Chris Hines,Alabama,2009,Jr,6.12%,7.14%,0.00%,62.50%,31.03%,0.00%,24.49%,14.29%,0.00%
