GMID,Name,School,Year,Grade,S2PA,S2PM,S2PMAss,DunkA,DunkM,DunkAss,L2PA,L2PM,L2PMAss,A3P,M3P,Ass3PM,FTA,FTM
14662,Reggie Porter,Alabama A&M ,2009,Jr,3,1,0,0,0,0,4,0,0,16,4,4,7,6
14657,Khiry White,Alabama A&M ,2009,RS-Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14645,Adam Young,Alabama A&M ,2009,Fr,45,27,8,1,1,1,42,10,2,6,0,0,27,15
14725,Stephawn Brown,Alabama State,2009,Fr,1,1,1,0,0,0,1,1,1,2,0,0,2,1
14726,Tramaine Butler,Alabama State,2009,RS-Jr,77,33,9,5,5,0,52,15,8,76,21,18,108,59
14714,Chris Duncan,Alabama State,2009,Jr,38,24,11,4,3,3,53,18,10,37,7,6,37,23
14719,Jevon Freeman,Alabama State,2009,Jr,2,0,0,0,0,0,0,0,0,0,0,0,4,1
14720,Jordan Jefferson,Alabama State,2009,RS-Fr,0,0,0,0,0,0,0,0,0,0,0,0,2,0
14715,Derrick Johnson,Alabama State,2009,So,1,1,1,0,0,0,1,0,0,0,0,0,0,0
14718,Jeffery Middlebrooks,Alabama State,2009,So,9,4,1,0,0,0,14,2,0,21,7,4,13,4
14724,Sekari Milligen,Alabama State,2009,So,10,3,1,0,0,0,16,6,3,62,20,19,10,6
14727,Tramyne Moorer,Alabama State,2009,Jr,92,50,28,5,3,3,84,33,18,21,4,3,144,102
14717,Jadarren Mumpfield,Alabama State,2009,Jr,1,1,0,0,0,0,1,1,0,3,1,1,0,0
14721,Menji Mundadi,Alabama State,2009,Sr,44,24,11,2,1,0,33,15,8,181,71,66,73,55
14722,Robert Sanders,Alabama State,2009,Jr,36,18,7,0,0,0,35,7,2,11,3,3,37,19
14712,A.J. Spencer,Alabama State,2009,Jr,11,5,1,0,0,0,20,3,1,12,2,0,22,17
14407,Byron Walker,Alabama State,2009,Sr,60,35,19,2,2,2,95,28,19,2,1,1,43,30
14723,Ryan Watts,Alabama State,2009,Fr,3,2,1,0,0,0,5,0,0,2,0,0,4,3
14716,Ivory White,Alabama State,2009,So,8,2,0,0,0,0,11,4,3,29,11,10,6,3
5496,Anthony Brock,Alabama,2009,Sr,15,5,0,0,0,0,11,2,0,83,31,29,17,12
5502,Greg Cage,Alabama,2009,Sr,2,1,0,0,0,0,1,0,0,4,0,0,0,0
5498,Charvez Davis,Alabama,2009,Jr,3,1,0,0,0,0,19,4,3,102,42,41,4,1
44725,Chris Dixon,Alabama,2009,Fr,1,0,0,0,0,0,1,0,0,0,0,0,0,0
5497,Ben Eblen,Alabama,2009,Fr,4,2,1,0,0,0,7,2,0,5,0,0,4,1
2187,JaMychal Green,Alabama,2009,So,111,63,35,19,15,10,147,62,23,3,0,0,112,76
2356,Senario Hillman,Alabama,2009,Jr,43,16,7,2,2,2,90,24,5,54,17,16,19,15
5499,Chris Hines,Alabama,2009,Jr,33,21,9,5,5,4,41,10,3,2,1,1,28,13
5503,Justin Knox,Alabama,2009,Jr,39,22,14,6,6,5,93,33,15,1,1,1,70,50
5504,Justin Luquire,Alabama,2009,Sr,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5506,Tony Mitchell,Alabama,2009,Fr,64,42,23,16,12,6,60,19,6,39,7,6,32,21
5495,Andrew Steele,Alabama,2009,RS-So,3,3,2,0,0,0,4,1,0,4,2,2,8,4
5505,Mikhail Torrance,Alabama,2009,Sr,61,31,5,0,0,0,88,44,13,85,26,13,65,55
17582,Billy Allen,Albany,2009,So,9,5,4,0,0,0,5,2,2,52,17,16,6,6
17596,Tim Ambrose,Albany,2009,Jr,57,37,12,0,0,0,154,51,13,65,21,18,76,61
17590,Logan Aronhalt,Albany,2009,Fr,9,4,3,0,0,0,44,16,2,82,28,22,27,23
17591,Louis Barraza,Albany,2009,Jr,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17593,Mike Black,Albany,2009,Fr,27,12,4,0,0,0,36,9,1,63,28,24,30,24
