GMID,Name,School,Year,Grade,S2PA,S2PM,S2PMAss,DunkA,DunkM,L2PA,L2PM,L2PMAss,A3P,M3P,Ass3PM,FTA,FTM
14645,Adam Young,Alabama A&M ,2009,Fr,10,1,1,0,0,3,0,0,1,0,0,8,6
14725,Stephawn Brown,Alabama State,2009,Fr,1,1,0,0,0,0,0,0,0,0,0,0,0
14726,Tramaine Butler,Alabama State,2009,RS-Jr,36,25,4,3,3,13,6,5,14,6,5,43,19
14714,Chris Duncan,Alabama State,2009,Jr,23,13,7,6,6,9,3,2,5,1,1,16,9
14719,Jevon Freeman,Alabama State,2009,Jr,0,0,0,0,0,0,0,0,0,0,0,4,3
14720,Jordan Jefferson,Alabama State,2009,RS-Fr,0,0,0,0,0,1,0,0,0,0,0,0,0
14715,Derrick Johnson,Alabama State,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0
14718,Jeffery Middlebrooks,Alabama State,2009,So,3,2,0,0,0,1,0,0,2,0,0,9,7
14724,Sekari Milligen,Alabama State,2009,So,5,3,3,0,0,3,0,0,21,4,4,10,8
14727,Tramyne Moorer,Alabama State,2009,Jr,37,25,15,7,7,10,4,2,10,5,4,37,25
14717,Jadarren Mumpfield,Alabama State,2009,Jr,1,0,0,0,0,0,0,0,2,0,0,2,1
14721,Menji Mundadi,Alabama State,2009,Sr,22,10,1,1,1,10,6,4,51,23,22,39,28
14722,Robert Sanders,Alabama State,2009,Jr,4,4,2,1,1,4,2,1,5,2,2,7,3
14712,A.J. Spencer,Alabama State,2009,Jr,9,8,2,2,2,3,2,1,4,0,0,28,18
14407,Byron Walker,Alabama State,2009,Sr,14,12,8,2,2,7,3,3,0,0,0,4,4
14723,Ryan Watts,Alabama State,2009,Fr,0,0,0,0,0,0,0,0,2,1,1,1,0
14716,Ivory White,Alabama State,2009,So,8,4,1,0,0,2,0,0,2,0,0,2,2
5496,Anthony Brock,Alabama,2009,Sr,22,7,2,0,0,5,2,0,30,8,8,14,10
5502,Greg Cage,Alabama,2009,Sr,1,1,0,0,0,0,0,0,0,0,0,0,0
5498,Charvez Davis,Alabama,2009,Jr,9,7,5,0,0,6,1,1,29,11,11,5,2
44725,Chris Dixon,Alabama,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
5497,Ben Eblen,Alabama,2009,Fr,2,1,1,0,0,1,1,0,1,1,1,4,2
2187,JaMychal Green,Alabama,2009,So,37,26,19,13,11,24,10,7,2,0,0,50,38
2356,Senario Hillman,Alabama,2009,Jr,29,21,10,9,9,17,8,0,8,4,2,27,18
5499,Chris Hines,Alabama,2009,Jr,17,13,10,2,1,5,3,0,0,0,0,13,7
5503,Justin Knox,Alabama,2009,Jr,14,7,6,8,7,9,5,5,0,0,0,16,13
5504,Justin Luquire,Alabama,2009,Sr,0,0,0,0,0,0,0,0,0,0,0,0,0
5506,Tony Mitchell,Alabama,2009,Fr,35,31,23,13,13,14,5,4,18,8,8,20,8
5495,Andrew Steele,Alabama,2009,RS-So,2,1,1,0,0,0,0,0,1,0,0,6,3
5505,Mikhail Torrance,Alabama,2009,Sr,55,34,15,2,2,31,12,2,23,13,6,76,67
17582,Billy Allen,Albany,2009,So,1,1,1,0,0,3,2,1,14,3,3,2,2
17596,Tim Ambrose,Albany,2009,Jr,30,21,6,4,4,25,11,1,12,4,2,26,16
17590,Logan Aronhalt,Albany,2009,Fr,12,5,5,2,2,7,2,2,29,7,7,15,13
17591,Louis Barraza,Albany,2009,Jr,0,0,0,0,0,0,0,0,2,1,1,0,0
17593,Mike Black,Albany,2009,Fr,22,10,1,0,0,7,3,1,12,5,1,33,23
17584,Brett Gifford,Albany,2009,Sr,3,3,3,0,0,3,1,1,0,0,0,5,3
4414,Will Harris,Albany,2009,Sr,22,18,15,2,2,9,5,4,26,11,8,16,13
17592,Mike Johnson,Albany,2009,Sr,15,11,4,0,0,9,2,1,2,0,0,16,12
