GMID,Name,School,Year,Grade,AST,A2PJ,S2P,A3P,DunkAss,TO,TOFoul,TOSteal,TOMisc
14722,Robert Sanders,Alabama State,2009,Jr,13,1,3,9,1,30,4,14,12
14712,A.J. Spencer,Alabama State,2009,Jr,94,30,28,36,6,45,2,24,19
14407,Byron Walker,Alabama State,2009,Sr,12,2,4,6,0,35,3,15,17
14723,Ryan Watts,Alabama State,2009,Fr,10,2,3,4,1,16,0,6,10
14716,Ivory White,Alabama State,2009,So,18,4,5,9,0,19,0,11,8
5496,Anthony Brock,Alabama,2009,Sr,70,10,36,24,13,37,2,24,11
5502,Greg Cage,Alabama,2009,Sr,0,0,0,0,0,0,0,0,0
5498,Charvez Davis,Alabama,2009,Jr,20,12,4,4,0,21,0,13,8
44725,Chris Dixon,Alabama,2009,Fr,0,0,0,0,0,0,0,0,0
5497,Ben Eblen,Alabama,2009,Fr,11,1,4,6,2,10,0,5,5
2187,JaMychal Green,Alabama,2009,So,30,10,9,11,2,77,9,27,41
2356,Senario Hillman,Alabama,2009,Jr,61,11,35,15,9,60,0,28,32
5499,Chris Hines,Alabama,2009,Jr,12,1,6,5,3,39,7,15,17
5503,Justin Knox,Alabama,2009,Jr,21,2,10,9,2,32,7,11,14
5504,Justin Luquire,Alabama,2009,Sr,0,0,0,0,0,0,0,0,0
5506,Tony Mitchell,Alabama,2009,Fr,16,5,8,3,0,20,3,9,8
5495,Andrew Steele,Alabama,2009,RS-So,7,2,3,2,1,9,1,6,2
5505,Mikhail Torrance,Alabama,2009,Sr,149,29,60,60,25,84,6,42,36
17582,Billy Allen,Albany,2009,So,14,2,4,8,1,12,0,5,7
17596,Tim Ambrose,Albany,2009,Jr,82,23,28,31,1,93,13,58,22
17590,Logan Aronhalt,Albany,2009,Fr,18,4,0,14,0,36,3,17,16
17591,Louis Barraza,Albany,2009,Jr,0,0,0,0,0,4,0,2,2
17593,Mike Black,Albany,2009,Fr,67,13,23,31,2,65,8,28,29
17584,Brett Gifford,Albany,2009,Sr,18,4,8,6,1,28,3,9,16
4414,Will Harris,Albany,2009,Sr,27,10,10,7,0,50,13,17,20
17592,Mike Johnson,Albany,2009,Sr,51,13,17,21,2,38,5,18,15
17588,Jake Lindfors,Albany,2009,RS-Fr,1,1,0,0,0,10,0,5,5
17595,Scotty McRae,Albany,2009,Sr,21,4,9,7,1,40,7,22,11
17583,Blake Metcalf,Albany,2009,Fr,10,1,6,3,0,23,4,12,7
