GMID,Name,School,Year,AST,A2PJ,S2P,A3P,DunkAss,TO,TOFoul,TOSteal,TOMisc
2537,Chandler Parsons,Florida,2010,95,18,36,41,61,61,3,37,21
2538,Wesley Witherspoon,Memphis,2009,41,1,16,24,52,52,13,15,24
2538,Wesley Witherspoon,Memphis,2010,23,3,12,8,37,37,3,15,19
2538,Wesley Witherspoon,Memphis,2011,28,9,10,9,33,33,9,11,13
2539,Jordan Hamilton,Texas,2009,38,14,16,8,37,37,1,25,11
2539,Jordan Hamilton,Texas,2010,62,22,27,13,57,57,7,28,22
2540,Lamont Jones,Arizona,2009,40,8,10,22,35,35,1,9,25
2540,Lamont Jones,Arizona,2010,82,9,27,46,60,60,4,28,28
2540,Lamont Jones,Iona,2011,46,6,16,24,37,37,3,11,23
2540,Lamont Jones,Iona,2012,74,10,28,36,70,70,6,33,31
2541,Marcus Jordan,UCF,2009,29,12,9,8,23,23,5,15,3
2541,Marcus Jordan,UCF,2010,24,8,7,9,33,33,4,21,8
2541,Marcus Jordan,UCF,2011,18,3,4,11,17,17,5,7,5
2542,Royce White,Iowa State,2011,139,11,53,75,111,111,18,49,44
2543,Jamil Wilson,Oregon,2009,1,0,1,0,8,8,0,3,5
2543,Jamil Wilson,Marquette,2011,36,3,16,17,34,34,3,12,19
2543,Jamil Wilson,Marquette,2012,92,35,43,14,72,72,10,38,24
