GMID,Name,School,Year,Grade,A1PerRimAtt,A1Per2PT,PercFTsShootF
5499,Chris Hines,Alabama,2009,Jr,0.102,0.055,75.00%
5503,Justin Knox,Alabama,2009,Jr,0.120,0.041,85.71%
5504,Justin Luquire,Alabama,2009,Sr,NA,NA,NA
5506,Tony Mitchell,Alabama,2009,Fr,0.105,0.060,69.23%
5495,Andrew Steele,Alabama,2009,RS-So,0.250,0.125,92.31%
5505,Mikhail Torrance,Alabama,2009,Sr,0.124,0.061,82.14%
17582,Billy Allen,Albany,2009,So,0.000,0.000,100.00%
17596,Tim Ambrose,Albany,2009,Jr,0.085,0.028,83.33%
17590,Logan Aronhalt,Albany,2009,Fr,0.048,0.016,75.68%
17591,Louis Barraza,Albany,2009,Jr,NA,NA,NA
17593,Mike Black,Albany,2009,Fr,0.085,0.047,70.00%
17584,Brett Gifford,Albany,2009,Sr,0.000,0.000,66.67%
4414,Will Harris,Albany,2009,Sr,0.055,0.024,69.23%
17592,Mike Johnson,Albany,2009,Sr,0.037,0.014,66.67%
17588,Jake Lindfors,Albany,2009,RS-Fr,0.067,0.030,44.44%
17595,Scotty McRae,Albany,2009,Sr,0.190,0.060,64.94%
17583,Blake Metcalf,Albany,2009,Fr,0.138,0.077,55.56%
17585,Derrek Tartt,Albany,2009,Fr,0.250,0.111,40.00%
17586,Fran Urli,Albany,2009,Jr,0.190,0.112,67.61%
14783,Corey Anthony,Alcorn State,2009,So,0.067,0.040,25.00%
14785,Derrick Blackwell,Alcorn State,2009,Jr,0.071,0.040,42.86%
14786,Gifford Blakely,Alcorn State,2009,RS-Sr,0.000,0.000,40.00%
9460,Jonathan Boyd,Alcorn State,2009,RS-Sr,0.081,0.031,66.67%
14795,Tony Eackles,Alcorn State,2009,Fr,0.103,0.050,59.02%
14787,Ian Francis,Alcorn State,2009,Fr,0.073,0.048,70.37%
14789,JaMarkus Holt,Alcorn State,2009,RS-Sr,0.038,0.018,62.16%
14794,Shauvanta Ingram,Alcorn State,2009,Fr,0.080,0.029,54.55%
14793,Michael Martin,Alcorn State,2009,Fr,0.143,0.083,75.00%
14788,Jamar Ragland,Alcorn State,2009,Fr,0.000,0.000,0.00%
14782,Brandon Rogers,Alcorn State,2009,RS-Sr,0.128,0.077,59.09%
14781,Alex Savannah,Alcorn State,2009,So,0.000,0.000,63.64%
14790,Keith Searcy,Alcorn State,2009,Fr,0.079,0.020,64.41%
14792,Michael Starks,Alcorn State,2009,Fr,0.133,0.103,53.85%
16942,Mike Bersch,American University,2009,Fr,0.000,0.000,0.00%
16939,Jordan Borucki,American University,2009,Fr,NA,NA,NA
16935,Daniel Fisher,American University,2009,Fr,0.000,0.000,100.00%
16944,Riley Grafft,American University,2009,So,0.065,0.023,63.16%
16943,Nick Hendra,American University,2009,Jr,0.058,0.030,76.39%
16938,Joe Hill (2),American University,2009,So,0.000,0.000,NA
16937,Jeff Holton,American University,2009,Fr,NA,NA,NA
16934,Blake Jolivette,American University,2009,Fr,0.143,0.039,77.78%
16946,Stephen Lumpkins,American University,2009,So,0.055,0.038,83.78%
16947,Steve Luptak,American University,2009,Jr,0.111,0.040,83.33%
16945,Simon McCormack,American University,2009,So,0.048,0.030,77.19%
16948,Vlad Moldoveanu,American University,2009,So,0.132,0.061,76.72%
16936,Daniel Munoz (2),American University,2009,Fr,0.080,0.022,70.59%
16941,Matthew Wilson,American University,2009,Jr,0.067,0.040,74.07%
20990,Ryann Abraham,Appalachian State,2009,Sr,0.093,0.053,62.50%
20981,J.R. Archer,Appalachian State,2009,Jr,NA,NA,NA
20983,Jeremi Booth,Appalachian State,2009,Jr,0.057,0.021,86.36%
20986,Kellen Brand,Appalachian State,2009,Sr,0.076,0.034,70.48%
20980,Isaac Butts,Appalachian State,2009,Jr,0.073,0.049,62.50%
20988,Nathan Healy,Appalachian State,2009,Fr,0.143,0.081,50.00%
20978,A.J. Highsmith,Appalachian State,2009,Sr,NA,NA,100.00%
20985,Josh Hunter,Appalachian State,2009,Sr,0.150,0.101,76.52%
20982,Jacob Lail,Appalachian State,2009,So,NA,NA,NA
