GMID,Name,School,Year,Position,BS2P,PerRimABlkd,PerRimMissesRbded,Per2PJMissesRbded,Per3PMissesRbded,DunkedPutbacks,PerPBDunked,PutbacksOwn,PerS2APB,PerL2PAPB
3541,Scott Christopherson,Iowa State,2009,Guard,15.66%,65.45%,93.48%,85.41%,82.39%,0.00%,NR,49.68%,NR,NR
3541,Scott Christopherson,Iowa State,2010,Guard,45.93%,36.23%,11.08%,33.30%,35.92%,0.00%,NR,49.68%,NR,NR
3541,Scott Christopherson,Iowa State,2011,Guard,72.85%,20.57%,54.14%,25.94%,67.40%,0.00%,NR,0.00%,NR,NR
3543,DeMarcus Phillips,Iowa State,2010,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,49.68%,NR,NR
3565,Matt Gatens,Iowa,2009,Guard,81.89%,15.00%,43.83%,83.10%,40.97%,0.00%,NR,85.37%,NR,NR
3565,Matt Gatens,Iowa,2010,Guard,85.31%,10.07%,79.82%,27.23%,35.92%,0.00%,NR,0.00%,NR,NR
3565,Matt Gatens,Iowa,2011,Guard,61.46%,50.21%,42.37%,64.81%,64.83%,0.00%,NR,49.68%,NR,NR
3567,Jason Bohannon,Wisconsin,2009,Guard,54.29%,28.83%,93.97%,74.54%,48.29%,0.00%,NR,49.68%,NR,NR
3576,Ben Hansbrough,Notre Dame,2009,Guard,88.15%,28.83%,58.97%,43.80%,66.66%,0.00%,NR,91.24%,NR,NR
3576,Ben Hansbrough,Notre Dame,2010,Guard,72.85%,59.22%,74.35%,77.54%,79.10%,0.00%,NR,49.68%,NR,NR
3577,Mike Dixon,Missouri,2009,Guard,27.12%,68.68%,91.95%,20.90%,56.22%,0.00%,NR,0.00%,NR,NR
3577,Mike Dixon,Missouri,2010,Guard,61.46%,49.45%,77.34%,80.89%,28.51%,0.00%,NR,72.99%,NR,NR
3577,Mike Dixon,Missouri,2011,Guard,67.51%,56.77%,50.22%,26.89%,53.52%,0.00%,NR,0.00%,NR,NR
3577,Mike Dixon,Memphis,2013,Guard,92.32%,16.69%,31.46%,28.27%,67.40%,0.00%,NR,0.00%,NR,NR
3591,Jackson Emery,Brigham Young,2009,Guard,27.12%,69.21%,56.67%,29.10%,30.12%,78.83%,NR,49.68%,NR,NR
3591,Jackson Emery,Brigham Young,2010,Guard,45.93%,53.34%,4.41%,54.31%,72.91%,0.00%,NR,49.68%,NR,NR
3617,Barry Stewart,Mississippi State,2009,Guard,72.85%,13.15%,31.46%,71.81%,38.80%,0.00%,NR,0.00%,NR,NR
3618,Maurice Miller,Georgia Tech,2009,Guard,45.93%,20.57%,81.53%,95.11%,78.37%,0.00%,NR,72.99%,NR,NR
3618,Maurice Miller,Georgia Tech,2010,Guard,54.29%,43.37%,27.06%,85.54%,90.00%,0.00%,NR,0.00%,NR,NR
3620,Jewuan Long,Murray State,2009,Guard,37.08%,59.22%,46.24%,93.46%,18.38%,0.00%,NR,0.00%,NR,NR
3620,Jewuan Long,Murray State,2010,Guard,61.46%,50.75%,85.00%,19.65%,49.13%,0.00%,NR,72.99%,NR,NR
3620,Jewuan Long,Murray State,2011,Guard,81.89%,45.63%,83.69%,69.30%,44.53%,0.00%,NR,72.99%,NR,NR
3621,Willie Kemp,Memphis,2009,Guard,88.15%,24.14%,63.67%,36.26%,35.36%,0.00%,NR,72.99%,NR,NR
3632,M.J. Brown,Tennessee-Martin,2009,Guard,88.15%,5.55%,43.33%,83.63%,21.56%,0.00%,NR,0.00%,NR,NR
3633,Marquis Weddle,Tennessee-Martin,2009,Guard,45.93%,50.21%,89.06%,32.85%,37.93%,0.00%,NR,49.68%,NR,NR
3641,Kerron Johnson,Belmont,2009,Guard,54.29%,46.51%,81.73%,54.31%,85.10%,0.00%,NR,49.68%,NR,NR
3641,Kerron Johnson,Belmont,2010,Guard,67.51%,42.80%,56.67%,75.49%,75.71%,0.00%,NR,49.68%,NR,NR
3641,Kerron Johnson,Belmont,2011,Guard,98.12%,33.54%,38.80%,16.57%,69.96%,0.00%,NR,49.68%,NR,NR
3641,Kerron Johnson,Belmont,2012,Guard,97.00%,30.28%,52.10%,27.60%,82.39%,0.00%,NR,0.00%,NR,NR
3642,Courtney Fortson,Arkansas,2009,Guard,99.35%,13.53%,60.02%,76.46%,49.37%,78.83%,NR,94.99%,NR,NR
3650,Marc Campbell,North Carolina,2009,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
3653,Jordan Davidson,Duke,2009,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
3663,Gary Clark,Wake Forest,2009,Guard,45.93%,NR,NR,80.43%,9.69%,0.00%,NR,0.00%,NR,NR
3663,Gary Clark,Wake Forest,2010,Guard,54.29%,48.74%,0.87%,6.86%,69.70%,0.00%,NR,72.99%,NR,NR
3665,Ish Smith,Wake Forest,2009,Guard,61.46%,68.47%,77.34%,83.84%,30.00%,0.00%,NR,97.09%,NR,NR
3667,L.D. Williams,Wake Forest,2009,Guard,67.51%,53.93%,57.31%,74.54%,90.24%,92.00%,NR,85.37%,NR,NR
3672,C.J. Harris,Wake Forest,2009,Guard,61.46%,39.16%,54.14%,93.46%,89.00%,0.00%,NR,49.68%,NR,NR
3672,C.J. Harris,Wake Forest,2010,Guard,92.32%,24.40%,55.15%,12.02%,16.64%,0.00%,NR,0.00%,NR,NR
3672,C.J. Harris,Wake Forest,2011,Guard,77.61%,44.65%,9.06%,26.89%,10.68%,0.00%,NR,72.99%,NR,NR
3672,C.J. Harris,Wake Forest,2012,Guard,67.51%,39.39%,11.08%,56.19%,41.93%,0.00%,NR,0.00%,NR,NR
3673,Andre Young,Clemson,2009,Guard,27.12%,64.37%,58.60%,85.38%,89.31%,0.00%,NR,0.00%,NR,NR
3673,Andre Young,Clemson,2010,Guard,45.93%,33.54%,74.35%,87.23%,37.19%,0.00%,NR,0.00%,NR,NR
3673,Andre Young,Clemson,2011,Guard,45.93%,56.26%,43.83%,64.27%,76.36%,0.00%,NR,0.00%,NR,NR
3677,Demontez Stitt,Clemson,2009,Guard,95.31%,28.86%,58.60%,74.54%,74.16%,0.00%,NR,72.99%,NR,NR
3677,Demontez Stitt,Clemson,2010,Guard,92.32%,42.80%,74.35%,78.73%,77.96%,0.00%,NR,91.24%,NR,NR
3686,Zavier Anderson,Clemson,2009,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
3686,Zavier Anderson,Clemson,2010,Guard,15.66%,69.12%,87.37%,NR,NR,0.00%,NR,49.68%,NR,NR
3687,Donte Hill,Clemson,2009,Guard,15.66%,61.35%,74.35%,NR,NR,0.00%,NR,49.68%,NR,NR
3687,Donte Hill,Old Dominion,2011,Guard,61.46%,49.45%,87.10%,78.30%,96.05%,0.00%,NR,72.99%,NR,NR
3687,Donte Hill,Old Dominion,2012,Guard,81.89%,32.03%,62.70%,31.60%,78.51%,0.00%,NR,85.37%,NR,NR
3689,Noel Johnson,Clemson,2009,Guard,0.00%,100.00%,13.35%,70.44%,82.39%,0.00%,NR,85.37%,NR,NR
3689,Noel Johnson,Clemson,2010,Guard,15.66%,NR,NR,NR,72.04%,0.00%,NR,0.00%,NR,NR
3689,Noel Johnson,Auburn,2011,Guard,37.08%,NR,NR,11.27%,40.97%,0.00%,NR,49.68%,NR,NR
3689,Noel Johnson,Auburn,2012,Guard,37.08%,7.13%,91.51%,25.94%,17.35%,0.00%,NR,49.68%,NR,NR
3692,Derwin Kitchen,Florida State,2009,Guard,77.61%,41.16%,55.36%,94.79%,64.15%,0.00%,NR,49.68%,NR,NR
3692,Derwin Kitchen,Florida State,2010,Guard,54.29%,64.41%,84.54%,71.70%,87.72%,0.00%,NR,85.37%,NR,NR
3696,Pierre Jordan,Florida State,2009,Guard,15.66%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
3696,Pierre Jordan,Florida State,2010,Guard,15.66%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
3696,Pierre Jordan,Georgia Tech,2011,Guard,15.66%,NR,NR,69.30%,7.03%,0.00%,NR,0.00%,NR,NR
3696,Pierre Jordan,Georgia Tech,2012,Guard,15.66%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
3705,Hank Thorns,Texas Christian,2010,Guard,92.32%,32.61%,5.62%,57.58%,21.61%,0.00%,NR,49.68%,NR,NR
3705,Hank Thorns,Texas Christian,2011,Guard,92.32%,33.62%,50.30%,74.54%,46.44%,0.00%,NR,72.99%,NR,NR
3709,Paul Debnam,Virginia Tech,2009,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,49.68%,NR,NR
3709,Paul Debnam,Virginia Tech,2010,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
3714,Ben Boggs,Virginia Tech,2009,Guard,15.66%,62.93%,50.22%,NR,49.13%,0.00%,NR,0.00%,NR,NR
3714,Ben Boggs,Virginia Tech,2010,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
3714,Ben Boggs,Valparaiso,2011,Guard,77.61%,9.21%,43.33%,NR,21.84%,0.00%,NR,72.99%,NR,NR
3714,Ben Boggs,Valparaiso,2012,Guard,54.29%,48.21%,81.53%,25.94%,82.39%,0.00%,NR,49.68%,NR,NR
3715,Erick Green,Virginia Tech,2009,Guard,27.12%,20.57%,25.02%,54.31%,62.78%,78.83%,NR,0.00%,NR,NR
3715,Erick Green,Virginia Tech,2010,Guard,54.29%,64.92%,63.18%,66.98%,53.52%,78.83%,NR,49.68%,NR,NR
3715,Erick Green,Virginia Tech,2011,Guard,67.51%,61.73%,42.78%,58.50%,29.66%,0.00%,NR,85.37%,NR,NR
3715,Erick Green,Virginia Tech,2012,Guard,72.85%,62.07%,34.40%,47.02%,53.26%,0.00%,NR,72.99%,NR,NR
3718,Adrian Bowie,Maryland,2009,Guard,54.29%,56.53%,18.38%,45.34%,53.86%,0.00%,NR,0.00%,NR,NR
3718,Adrian Bowie,Maryland,2010,Guard,67.51%,62.94%,74.71%,60.81%,71.01%,0.00%,NR,85.37%,NR,NR
3724,Eric Hayes,Maryland,2009,Guard,27.12%,68.68%,86.82%,81.94%,67.69%,0.00%,NR,0.00%,NR,NR
3737,Lance Storrs,Georgia Tech,2009,Guard,0.00%,NR,NR,NR,90.24%,0.00%,NR,72.99%,NR,NR
3737,Lance Storrs,Georgia Tech,2010,Guard,37.08%,NR,NR,37.52%,73.94%,0.00%,NR,49.68%,NR,NR
3747,Calvin Baker,Virginia,2009,Guard,0.00%,100.00%,25.02%,71.13%,77.94%,0.00%,NR,72.99%,NR,NR
3749,Jeff Jones,Virginia,2009,Guard,37.08%,46.01%,56.67%,12.23%,46.41%,0.00%,NR,49.68%,NR,NR
3749,Jeff Jones,Rider,2011,Guard,72.85%,24.14%,9.06%,85.38%,49.60%,0.00%,NR,0.00%,NR,NR
3754,Mustapha Farrakhan,Virginia,2009,Guard,77.61%,17.14%,31.85%,56.12%,53.47%,0.00%,NR,0.00%,NR,NR
3754,Mustapha Farrakhan,Virginia,2010,Guard,61.46%,59.72%,18.65%,59.88%,23.68%,0.00%,NR,0.00%,NR,NR
3755,Sammy Zeglinski,Virginia,2009,Guard,45.93%,48.21%,42.37%,18.93%,49.42%,0.00%,NR,91.24%,NR,NR
3755,Sammy Zeglinski,Virginia,2010,Guard,45.93%,24.14%,25.02%,70.79%,18.74%,0.00%,NR,72.99%,NR,NR
