GMID,Name,School,Year,L2PA,L2PM,S2PA,S2PM,A3PA,A3PM
2324,Deon Thompson,North Carolina,2009,38,15,7,5,1,0
2325,Evan Turner,Ohio State,2009,45,16,13,9,9,2
2326,Jarvis Varnado,Mississippi State,2009,49,22,40,28,0,0
2327,Greivis Vasquez,Maryland,2009,51,18,13,6,46,17
2330,Michael Washington,Arkansas,2009,25,11,28,17,13,3
2331,Nic Wise,Arizona,2009,35,8,13,8,39,15
2347,Jamal Boykin,California,2009,58,27,19,15,1,0
2349,Ray Shipman,Florida,2009,8,3,4,2,6,2
2352,Mike Mercer,South Florida,2009,44,11,19,13,15,3
2353,Gary Johnson,Texas,2009,26,15,12,7,1,1
2353,Gary Johnson,Texas,2010,56,24,11,5,0,0
2354,E'Twaun Moore,Purdue,2009,60,19,10,5,32,9
2354,E'Twaun Moore,Purdue,2010,62,21,6,2,37,14
2355,Alex Legion,Illinois,2009,0,0,0,0,3,0
2355,Alex Legion,Florida International,2010,5,1,1,1,7,4
2356,Senario Hillman,Alabama,2009,50,13,20,3,26,7
2356,Senario Hillman,Alabama,2010,34,10,16,7,25,3
2357,Rick Jackson,Syracuse,2009,12,6,16,10,0,0
2357,Rick Jackson,Syracuse,2010,24,9,36,24,0,0
2358,Delvon Roe,Michigan State,2009,23,7,13,9,0,0
2358,Delvon Roe,Michigan State,2010,20,5,19,13,0,0
2359,Durrell Summers,Michigan State,2009,16,7,7,7,17,5
2359,Durrell Summers,Michigan State,2010,19,5,6,2,31,8
2360,Herb Pope,Seton Hall,2009,37,12,25,15,3,0
2360,Herb Pope,Seton Hall,2010,23,10,24,14,6,2
2360,Herb Pope,Seton Hall,2011,34,15,55,30,10,4
2361,Jon Diebler,Ohio State,2009,13,4,1,1,58,23
2361,Jon Diebler,Ohio State,2010,8,5,7,3,54,25
2362,Leslie McDonald,North Carolina,2009,12,2,1,1,11,2
2362,Leslie McDonald,North Carolina,2010,4,0,4,1,12,7
2362,Leslie McDonald,North Carolina,2012,9,3,1,0,17,7
2362,Leslie McDonald,North Carolina,2013,5,0,1,1,17,5
2363,Trey Thompkins,Georgia,2009,70,27,39,26,27,11
2363,Trey Thompkins,Georgia,2010,68,19,27,21,20,5
2364,Darius Miller,Kentucky,2009,15,8,1,1,19,8
2364,Darius Miller,Kentucky,2010,50,16,11,8,44,19
2364,Darius Miller,Kentucky,2011,30,16,5,4,37,12
2365,DeQuan Jones,Miami (FL),2009,21,12,7,4,6,2
2365,DeQuan Jones,Miami (FL),2010,13,3,7,2,3,0
2365,DeQuan Jones,Miami (FL),2011,24,7,7,3,2,1
2366,Tony Woods,Wake Forest,2009,9,2,4,2,0,0
2366,Tony Woods,Oregon,2011,30,12,16,9,0,0
2366,Tony Woods,Oregon,2012,40,16,18,11,0,0
2368,Yancy Gates,Cincinnati,2009,54,11,37,26,1,0
2368,Yancy Gates,Cincinnati,2010,71,22,26,16,7,0
2368,Yancy Gates,Cincinnati,2011,68,17,37,22,1,1
2369,Draymond Green,Michigan State,2009,27,9,11,9,3,0
2369,Draymond Green,Michigan State,2010,38,9,15,8,23,7
2369,Draymond Green,Michigan State,2011,35,10,29,18,24,13
2370,Kevin Jones,West Virginia,2009,57,26,36,22,37,13
2370,Kevin Jones,West Virginia,2010,62,18,19,12,40,10
2370,Kevin Jones,West Virginia,2011,74,29,37,24,42,11
2371,Henry Sims,Georgetown,2009,4,1,4,3,2,0
2371,Henry Sims,Georgetown,2010,10,3,6,5,1,0
2371,Henry Sims,Georgetown,2011,46,15,33,22,0,0
2372,Harrison Barnes,North Carolina,2010,25,12,2,2,20,8
2372,Harrison Barnes,North Carolina,2011,40,18,3,0,15,5
2374,Joshua Smith,UCLA,2010,17,4,66,43,0,0
2374,Joshua Smith,UCLA,2011,6,2,37,18,0,0
2374,Joshua Smith,UCLA,2012,0,0,1,0,0,0
2374,Joshua Smith,Georgetown,2013,6,3,15,10,0,0
2374,Joshua Smith,Georgetown,2014,10,5,30,21,0,0
2375,Jared Sullinger,Ohio State,2010,50,18,43,25,1,1
2375,Jared Sullinger,Ohio State,2011,75,33,37,23,6,1
2376,Tyler Honeycutt,UCLA,2009,11,4,12,7,12,2
2376,Tyler Honeycutt,UCLA,2010,41,14,15,8,57,23
2377,John Jenkins,Vanderbilt,2009,15,4,1,0,23,13
2377,John Jenkins,Vanderbilt,2010,13,2,4,4,37,18
2377,John Jenkins,Vanderbilt,2011,19,7,6,5,56,21
2378,Mfon Udofia,Georgia Tech,2009,12,3,3,2,20,7
2378,Mfon Udofia,Georgia Tech,2010,18,4,8,2,22,3
2378,Mfon Udofia,Georgia Tech,2011,27,12,18,8,36,11
2378,Mfon Udofia,Georgia Tech,2012,19,7,13,7,31,11
2379,Durand Scott,Miami (FL),2009,30,13,27,15,17,3
2379,Durand Scott,Miami (FL),2010,36,12,24,11,27,12
2379,Durand Scott,Miami (FL),2011,50,19,20,9,26,6
2379,Durand Scott,Miami (FL),2012,47,19,26,14,31,8
2380,Terrell Vinson,Massachusetts,2009,16,6,18,14,22,5
2380,Terrell Vinson,Massachusetts,2010,13,2,22,10,17,4
2380,Terrell Vinson,Massachusetts,2011,16,6,17,8,24,7
2380,Terrell Vinson,Massachusetts,2012,20,4,24,10,19,10
2381,Deshaun Thomas,Ohio State,2010,11,7,17,13,10,2
2381,Deshaun Thomas,Ohio State,2011,51,24,17,10,34,14
2381,Deshaun Thomas,Ohio State,2012,82,30,19,9,46,14
2382,Lorenzo Brown,NC State,2010,27,8,16,9,9,5
2382,Lorenzo Brown,NC State,2011,48,17,13,7,30,14
2382,Lorenzo Brown,NC State,2012,44,15,19,6,29,8
2383,Thomas Robinson,Kansas,2009,2,1,2,0,0,0
2383,Thomas Robinson,Kansas,2010,9,5,20,11,0,0
2383,Thomas Robinson,Kansas,2011,64,18,53,34,1,0
2384,Erik Murphy,Florida,2009,9,2,13,11,0,0
2384,Erik Murphy,Florida,2010,9,5,7,3,7,1
2384,Erik Murphy,Florida,2011,22,6,14,11,36,12
2384,Erik Murphy,Florida,2012,19,8,21,16,33,14
2385,Roger Franklin,Oklahoma State,2009,10,3,5,5,2,0
2385,Roger Franklin,Oklahoma State,2010,11,5,3,3,0,0
2385,Roger Franklin,North Texas,2011,52,14,12,7,1,1
2385,Roger Franklin,North Texas,2012,65,30,19,10,5,2
2386,D.J. Richardson,Illinois,2009,26,10,3,3,40,15
2386,D.J. Richardson,Illinois,2010,21,7,3,1,29,10
2386,D.J. Richardson,Illinois,2011,42,15,3,1,41,15
2386,D.J. Richardson,Illinois,2012,25,5,8,5,59,17
2388,DeShawn Sims,Michigan,2009,98,41,32,21,19,4
2389,Alex Stepheson,USC,2009,37,12,15,8,0,0
2389,Alex Stepheson,USC,2010,40,16,36,26,0,0
2390,Brian Zoubek,Duke,2009,7,3,10,8,0,0
2391,Jerry Smith,Louisville,2009,4,1,13,9,35,12
2411,Jerime Anderson,UCLA,2009,18,8,15,9,9,3
2411,Jerime Anderson,UCLA,2010,15,5,7,4,23,8
2411,Jerime Anderson,UCLA,2011,32,11,13,5,25,10
2412,Drew Gordon,UCLA,2009,4,0,6,4,0,0
2412,Drew Gordon,New Mexico,2010,36,12,17,11,0,0
2412,Drew Gordon,New Mexico,2011,58,19,39,27,0,0
2415,Angel Garcia,Memphis,2009,7,5,1,0,10,5
2415,Angel Garcia,Memphis,2010,1,0,2,2,3,1
2416,Emmanuel Negedu,New Mexico,2010,0,0,3,3,1,0
2419,Devoe Joseph,Minnesota,2009,42,12,13,4,34,11
2419,Devoe Joseph,Minnesota,2010,4,2,5,2,8,3
2419,Devoe Joseph,Oregon,2011,31,15,17,8,35,11
2421,Mike Moser,UCLA,2009,2,0,2,0,5,1
2421,Mike Moser,UNLV,2011,26,10,9,7,18,4
2421,Mike Moser,UNLV,2012,12,3,7,4,11,2
2421,Mike Moser,Oregon,2013,35,14,21,14,29,6
2439,Marvell Waithe,Arkansas,2010,4,0,1,1,6,1
2439,Marvell Waithe,Arkansas,2011,7,3,13,9,10,4
2479,Torgrim Sommerfeldt,Manhattan,2011,0,0,0,0,0,0
2482,Ben Allen,Saint Mary's,2009,18,7,13,8,36,13
2505,Mike Tisdale,Illinois,2009,51,25,13,11,2,1
2505,Mike Tisdale,Illinois,2010,34,13,11,9,13,4
2506,Demetri McCamey,Illinois,2009,41,14,12,5,43,16
2506,Demetri McCamey,Illinois,2010,49,15,15,11,58,25
2507,Mike Davis,Illinois,2009,81,33,4,1,0,0
2507,Mike Davis,Illinois,2010,76,29,19,16,0,0
2529,Devan Downey,South Carolina,2009,92,38,14,6,57,19
2530,Edgar Sosa,Louisville,2009,15,6,11,8,44,19
2531,Jonathan Kreft,Florida State,2010,8,1,4,3,0,0
2531,Jonathan Kreft,Florida State,2011,10,3,8,6,0,0
2532,Curtis Kelly,Kansas State,2009,40,19,20,13,0,0
2532,Curtis Kelly,Kansas State,2010,47,18,11,7,1,1
2533,Obi Muonelo,Oklahoma State,2009,39,17,23,9,50,24
2534,Jeff Robinson,Seton Hall,2009,24,5,20,7,4,2
2534,Jeff Robinson,Seton Hall,2010,24,7,22,13,25,9
2535,Jeff Jordan,Illinois,2009,10,4,2,1,4,1
2535,Jeff Jordan,UCF,2011,4,2,2,0,5,0
2536,Chris Wright (2),Dayton,2009,42,13,23,18,17,2
2536,Chris Wright (2),Dayton,2010,48,8,24,15,5,3
2537,Chandler Parsons,Florida,2009,15,4,17,7,21,7
2537,Chandler Parsons,Florida,2010,24,4,18,15,25,12
2538,Wesley Witherspoon,Memphis,2009,30,12,24,12,27,15
2538,Wesley Witherspoon,Memphis,2010,12,6,9,7,7,3
2538,Wesley Witherspoon,Memphis,2011,8,1,12,4,25,9
2539,Jordan Hamilton,Texas,2009,10,3,8,5,21,8
2539,Jordan Hamilton,Texas,2010,39,22,9,5,35,13
2540,Lamont Jones,Arizona,2009,23,9,8,5,18,3
2540,Lamont Jones,Arizona,2010,40,15,20,10,27,10
2540,Lamont Jones,Iona,2011,32,15,17,8,26,5
2540,Lamont Jones,Iona,2012,37,13,26,13,38,9
2541,Marcus Jordan,UCF,2009,14,7,25,13,25,8
2541,Marcus Jordan,UCF,2010,44,16,27,9,46,12
2541,Marcus Jordan,UCF,2011,16,6,19,8,41,10
2542,Royce White,Iowa State,2011,38,11,45,33,4,1
2543,Jamil Wilson,Oregon,2009,8,2,4,4,11,2
2543,Jamil Wilson,Marquette,2011,37,10,6,3,13,6
2543,Jamil Wilson,Marquette,2012,79,35,22,10,54,15
2543,Jamil Wilson,Marquette,2013,53,16,9,3,32,5
2544,Jake Anderson,Northern Illinois,2009,20,5,22,11,25,5
2544,Jake Anderson,Iowa State,2010,22,5,11,7,34,10
2545,Dominique Archie,South Carolina,2009,3,1,0,0,1,1
2546,Dwayne Collins,Miami (FL),2009,28,11,24,18,0,0
2547,Kenneth Cooper,UAB,2009,19,2,31,15,1,0
2548,Osiris Eldridge,Illinois State,2009,38,12,15,6,66,25
2549,Gary Flowers,Southern Mississippi,2009,117,44,11,9,21,8
2549,Gary Flowers,Southern Mississippi,2010,71,29,16,11,22,7
2550,Jonathan Gibson,New Mexico State,2009,22,9,9,4,39,18
2551,Kyle Gibson,Louisiana Tech,2009,31,9,16,7,47,16
2554,Dior Lowhorn,San Francisco,2009,45,19,14,8,16,4
2555,Ater Majok,Connecticut,2009,8,2,8,6,0,0
2557,Junior Salters,Wofford,2009,18,2,5,2,49,16
2558,Donald Sloan,Texas A&M,2009,74,31,22,13,48,18
2559,Jonathan Tavernari,Brigham Young,2009,26,10,3,2,29,8
2560,Malcolm Thomas,San Diego State,2009,43,15,30,24,0,0
2560,Malcolm Thomas,San Diego State,2010,48,14,24,18,3,0
2581,Derrick Caracter,UTEP,2009,38,13,19,14,3,0
2591,John Reik,Mississippi State,2009,2,1,0,0,0,0
2591,John Reik,Mississippi State,2010,2,2,1,1,0,0
2605,Ryan Anderson,Nebraska,2009,18,6,5,3,37,15
3520,Derrick Nix,Michigan State,2009,5,1,10,7,0,0
3520,Derrick Nix,Michigan State,2010,1,0,11,9,0,0
3520,Derrick Nix,Michigan State,2011,16,9,29,14,0,0
3520,Derrick Nix,Michigan State,2012,38,10,48,28,0,0
3521,Brad Redford,Xavier,2009,1,1,0,0,23,7
3521,Brad Redford,Xavier,2011,3,2,1,1,18,5
3521,Brad Redford,Xavier,2012,5,1,2,1,26,11
3522,David Kool,Western Michigan,2009,62,22,12,5,48,13
3528,John Roberson,Texas Tech,2009,14,5,7,2,36,16
3528,John Roberson,Texas Tech,2010,19,11,4,2,44,17
3532,Shawn Williams,Texas,2009,0,0,0,0,1,1
3532,Shawn Williams,Southern Methodist,2011,11,0,8,4,25,6
3532,Shawn Williams,Southern Methodist,2012,21,5,19,13,37,10
3532,Shawn Williams,Southern Methodist,2013,16,7,18,13,3,0
3540,Andy Polka,Loyola (IL),2009,21,8,28,17,8,1
3540,Andy Polka,Loyola (IL),2010,21,7,15,8,0,0
3541,Scott Christopherson,Iowa State,2009,26,6,4,2,24,12
3541,Scott Christopherson,Iowa State,2010,25,8,4,4,26,9
3541,Scott Christopherson,Iowa State,2011,33,10,13,8,21,9
3542,Keaton Nankivil,Wisconsin,2009,30,17,6,4,28,10
3542,Keaton Nankivil,Wisconsin,2010,32,11,9,6,49,20
3543,DeMarcus Phillips,Iowa State,2010,4,1,0,0,1,0
3544,Jeronne Maymon,Marquette,2009,4,1,4,3,0,0
3544,Jeronne Maymon,Tennessee,2010,0,0,4,3,2,0
3544,Jeronne Maymon,Tennessee,2011,24,6,38,30,4,0
3544,Jeronne Maymon,Tennessee,2013,22,8,41,22,0,0
3551,Jon Hood,Kentucky,2009,1,0,1,1,1,0
3551,Jon Hood,Kentucky,2010,4,1,0,0,6,0
3551,Jon Hood,Kentucky,2012,3,0,2,2,6,1
3551,Jon Hood,Kentucky,2013,1,0,0,0,3,0
3552,Walt Allen,Presbyterian,2009,11,3,17,10,33,15
3552,Walt Allen,Presbyterian,2010,9,2,16,11,32,12
3553,Steffphon Pettigrew,Western Kentucky,2009,47,16,25,11,44,12
3553,Steffphon Pettigrew,Western Kentucky,2010,30,12,24,14,26,6
3565,Matt Gatens,Iowa,2009,51,12,14,7,68,16
3565,Matt Gatens,Iowa,2010,19,3,8,1,41,11
3565,Matt Gatens,Iowa,2011,28,10,7,6,37,21
3566,Brennan Cougill,Iowa,2009,9,5,4,1,21,7
3566,Brennan Cougill,Green Bay,2011,24,9,17,10,8,5
3566,Brennan Cougill,Green Bay,2012,17,6,29,18,11,2
3567,Jason Bohannon,Wisconsin,2009,37,15,10,6,62,27
3576,Ben Hansbrough,Notre Dame,2009,14,7,27,10,58,24
3576,Ben Hansbrough,Notre Dame,2010,51,23,39,23,78,32
3577,Mike Dixon,Missouri,2009,13,5,4,3,15,3
3577,Mike Dixon,Missouri,2010,17,6,10,3,26,9
