GMID,Name,School,Year,Position,PercShotS2P,S2PPer,PercS2PAinT,DunkA,PercDunkinT,PercShotl2P,L2PPer,PercL2PAinT,A3P,PercShot3P,ThreePer,Perc3PAinT
2277,Jordan Hulls,Indiana,2011,Guard,4.97%,38.17%,46.64%,0.00%,NR,78.13%,72.05%,68.80%,92.14%,67.98%,93.21%,77.91%
2277,Jordan Hulls,Indiana,2012,Guard,NR,NR,NR,0.00%,NR,43.50%,21.57%,79.01%,98.44%,87.42%,93.12%,92.67%
2279,Manny Harris,Michigan,2009,Guard,27.55%,86.56%,44.90%,92.47%,17.60%,85.76%,88.53%,56.99%,87.31%,37.51%,56.10%,55.92%
2280,Terrico White,Ole Miss,2009,Guard,12.40%,41.78%,32.72%,54.29%,NR,88.71%,73.17%,79.83%,88.81%,48.71%,40.94%,72.96%
2282,Brandon Triche,Syracuse,2009,Guard,65.26%,77.55%,91.56%,74.54%,NR,36.15%,13.64%,86.59%,70.78%,32.16%,95.67%,87.26%
2282,Brandon Triche,Syracuse,2010,Guard,39.07%,84.37%,81.83%,74.54%,NR,45.14%,67.24%,77.86%,93.02%,51.06%,52.61%,83.74%
2282,Brandon Triche,Syracuse,2012,Guard,42.70%,64.82%,52.99%,96.83%,36.71%,61.05%,68.42%,67.37%,94.97%,41.54%,65.03%,77.00%
2304,Roderick Flemings,Hawaii,2009,Guard,42.38%,57.20%,11.53%,92.47%,3.06%,94.53%,72.05%,14.30%,40.83%,NR,NR,NR
2312,Dwight Lewis,USC,2009,Guard,31.15%,87.94%,61.05%,54.29%,NR,68.84%,69.69%,16.72%,78.44%,47.86%,52.16%,45.47%
2313,Kalin Lucas,Michigan State,2009,Guard,45.46%,65.08%,71.22%,0.00%,NR,89.14%,57.47%,84.26%,72.16%,16.39%,34.19%,61.62%
2313,Kalin Lucas,Michigan State,2010,Guard,48.51%,40.58%,59.01%,0.00%,NR,82.53%,30.38%,67.22%,80.84%,19.88%,85.35%,50.99%
2323,Tyshawn Taylor,Kansas,2009,Guard,79.98%,65.28%,74.00%,90.33%,100.00%,64.45%,72.72%,77.86%,38.10%,NR,NR,NR
2323,Tyshawn Taylor,Kansas,2010,Guard,72.58%,82.37%,70.31%,84.78%,100.00%,87.94%,48.44%,74.55%,27.47%,NR,NR,NR
2323,Tyshawn Taylor,Kansas,2011,Guard,55.22%,64.88%,61.62%,96.10%,40.83%,73.47%,89.20%,65.03%,85.03%,21.46%,25.91%,50.39%
2327,Greivis Vasquez,Maryland,2009,Guard,25.71%,57.53%,63.21%,74.54%,NR,79.16%,55.17%,68.89%,97.28%,44.06%,33.48%,83.17%
2331,Nic Wise,Arizona,2009,Guard,36.38%,42.33%,50.52%,0.00%,NR,74.53%,64.13%,47.28%,79.63%,39.02%,83.58%,40.14%
2352,Mike Mercer,South Florida,2009,Guard,79.48%,90.04%,30.18%,96.10%,16.73%,68.59%,27.51%,32.26%,38.10%,NR,NR,NR
2356,Senario Hillman,Alabama,2009,Guard,71.83%,77.52%,53.14%,96.10%,44.60%,74.44%,73.12%,32.37%,43.70%,NR,NR,NR
2356,Senario Hillman,Alabama,2010,Guard,79.82%,64.82%,71.36%,98.32%,30.02%,78.81%,48.44%,58.45%,27.47%,NR,NR,NR
2378,Mfon Udofia,Georgia Tech,2009,Guard,45.13%,26.36%,77.39%,0.00%,NR,85.74%,57.21%,95.16%,61.20%,21.42%,19.74%,34.71%
2378,Mfon Udofia,Georgia Tech,2010,Guard,63.70%,49.07%,77.58%,0.00%,NR,60.55%,28.62%,61.48%,61.20%,24.07%,54.48%,61.00%
2378,Mfon Udofia,Georgia Tech,2011,Guard,40.61%,15.88%,28.70%,0.00%,NR,87.38%,64.13%,83.78%,61.20%,23.49%,19.74%,16.21%
2378,Mfon Udofia,Georgia Tech,2012,Guard,37.72%,34.45%,74.84%,0.00%,NR,73.40%,13.64%,77.86%,70.78%,38.93%,26.82%,37.07%
2386,D.J. Richardson,Illinois,2009,Guard,4.61%,29.01%,51.14%,54.29%,NR,70.24%,50.99%,75.69%,95.64%,72.80%,51.23%,84.55%
2386,D.J. Richardson,Illinois,2010,Guard,10.99%,80.90%,70.31%,54.29%,NR,59.48%,49.90%,66.90%,90.14%,70.66%,42.85%,72.75%
2386,D.J. Richardson,Illinois,2011,Guard,8.17%,41.27%,80.24%,66.10%,NR,62.28%,48.44%,54.20%,94.21%,72.11%,64.04%,57.08%
2386,D.J. Richardson,Illinois,2012,Guard,16.91%,46.66%,59.79%,66.10%,NR,25.16%,61.89%,53.13%,98.11%,75.66%,54.48%,60.29%
2391,Jerry Smith,Louisville,2009,Guard,47.72%,82.37%,41.91%,80.54%,NR,NR,NR,NR,77.36%,56.37%,42.18%,56.26%
2411,Jerime Anderson,UCLA,2009,Guard,89.80%,64.82%,49.87%,36.20%,NR,NR,NR,NR,34.82%,NR,NR,NR
2411,Jerime Anderson,UCLA,2010,Guard,47.12%,64.82%,58.35%,36.20%,NR,NR,NR,NR,53.30%,42.42%,38.85%,37.36%
2411,Jerime Anderson,UCLA,2011,Guard,79.60%,84.34%,55.99%,84.78%,100.00%,NR,NR,NR,53.30%,21.29%,94.65%,25.78%
2506,Demetri McCamey,Illinois,2009,Guard,31.54%,76.05%,78.30%,66.10%,NR,87.12%,73.66%,68.86%,85.95%,31.81%,20.51%,51.98%
2506,Demetri McCamey,Illinois,2010,Guard,34.46%,67.24%,55.04%,0.00%,NR,60.19%,20.65%,39.97%,88.10%,48.44%,61.72%,51.70%
2529,Devan Downey,South Carolina,2009,Guard,37.74%,42.63%,85.41%,0.00%,NR,81.32%,30.54%,68.57%,96.17%,31.31%,34.28%,76.36%
2530,Edgar Sosa,Louisville,2009,Guard,55.56%,57.53%,81.68%,80.54%,NR,39.36%,56.98%,81.45%,86.66%,39.44%,93.12%,47.08%
2535,Jeff Jordan,Illinois,2009,Guard,NR,NR,NR,36.20%,NR,NR,NR,NR,10.38%,NR,NR,NR
2535,Jeff Jordan,UCF,2011,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,31.37%,NR,NR,NR
2540,Lamont Jones,Arizona,2009,Guard,24.78%,86.42%,41.00%,0.00%,NR,98.11%,91.44%,78.48%,46.15%,NR,NR,NR
2540,Lamont Jones,Arizona,2010,Guard,42.60%,74.23%,26.05%,0.00%,NR,88.88%,63.14%,55.16%,63.08%,19.06%,65.03%,45.30%
2540,Lamont Jones,Iona,2011,Guard,33.50%,56.84%,70.31%,0.00%,NR,86.35%,48.66%,95.46%,93.78%,30.79%,40.06%,86.52%
2540,Lamont Jones,Iona,2012,Guard,52.51%,47.70%,61.08%,0.00%,NR,58.25%,74.19%,74.85%,97.98%,32.87%,55.90%,88.17%
2541,Marcus Jordan,UCF,2009,Guard,78.02%,35.69%,32.26%,0.00%,NR,NR,NR,NR,55.29%,29.31%,33.48%,26.18%
2541,Marcus Jordan,UCF,2010,Guard,69.01%,55.41%,61.62%,54.29%,NR,39.43%,33.80%,32.98%,77.36%,27.02%,42.18%,36.47%
2541,Marcus Jordan,UCF,2011,Guard,48.87%,29.01%,15.29%,0.00%,NR,NR,NR,NR,80.84%,54.88%,42.39%,34.81%
2544,Jake Anderson,Northern Illinois,2009,Guard,79.21%,68.81%,58.09%,36.20%,NR,56.72%,14.49%,86.90%,57.32%,7.87%,51.11%,43.89%
2544,Jake Anderson,Iowa State,2010,Guard,65.00%,81.14%,63.42%,36.20%,NR,74.58%,14.49%,86.96%,70.78%,14.21%,37.57%,35.76%
