GMID,Name,School,Year,Grade,AST,PercATrans,PercARim,PercA2PJ,PercA3P,PercADunks,TO,PercTOFoul,PercTOStea,PercTOMisc
14649,Casey Cantey,Alabama A&M ,2009,So,1,0.00%,100.00%,0.00%,0.00%,100.00%,6,0.00%,33.33%,66.67%
14653,Jabari Deshields,Alabama A&M ,2009,Jr,1,100.00%,0.00%,0.00%,100.00%,0.00%,9,0.00%,77.78%,22.22%
14646,Alfred Frayer,Alabama A&M ,2009,Jr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
14663,Royce Hamilton,Alabama A&M ,2009,So,0,NA,NA,NA,NA,NA,0,NA,NA,NA
14650,Cornelius Hester,Alabama A&M ,2009,RS-Sr,0,NA,NA,NA,NA,NA,1,0.00%,0.00%,100.00%
14652,Evan Hilton,Alabama A&M ,2009,Sr,1,0.00%,100.00%,0.00%,0.00%,0.00%,9,0.00%,33.33%,66.67%
14655,Jonathan Inman,Alabama A&M ,2009,RS-Sr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
14651,Desmond Jackson,Alabama A&M ,2009,Jr,0,NA,NA,NA,NA,NA,1,0.00%,100.00%,0.00%
14660,Maurice Kemp,Alabama A&M ,2009,Fr,1,0.00%,100.00%,0.00%,0.00%,0.00%,4,0.00%,50.00%,50.00%
14659,Marcus Lee,Alabama A&M ,2009,Fr,2,50.00%,50.00%,0.00%,50.00%,0.00%,6,0.00%,66.67%,33.33%
14662,Reggie Porter,Alabama A&M ,2009,Jr,1,0.00%,0.00%,100.00%,0.00%,0.00%,2,0.00%,50.00%,50.00%
14657,Khiry White,Alabama A&M ,2009,RS-Fr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
14645,Adam Young,Alabama A&M ,2009,Fr,1,100.00%,0.00%,100.00%,0.00%,0.00%,3,0.00%,33.33%,66.67%
14725,Stephawn Brown,Alabama State,2009,Fr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
14726,Tramaine Butler,Alabama State,2009,RS-Jr,1,100.00%,100.00%,0.00%,0.00%,0.00%,1,0.00%,100.00%,0.00%
14714,Chris Duncan,Alabama State,2009,Jr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
14719,Jevon Freeman,Alabama State,2009,Jr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
14720,Jordan Jefferson,Alabama State,2009,RS-Fr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
14715,Derrick Johnson,Alabama State,2009,So,0,NA,NA,NA,NA,NA,0,NA,NA,NA
14718,Jeffery Middlebrooks,Alabama State,2009,So,2,0.00%,50.00%,50.00%,0.00%,0.00%,5,0.00%,100.00%,0.00%
14724,Sekari Milligen,Alabama State,2009,So,0,NA,NA,NA,NA,NA,2,0.00%,100.00%,0.00%
14727,Tramyne Moorer,Alabama State,2009,Jr,2,0.00%,50.00%,0.00%,50.00%,0.00%,4,0.00%,75.00%,25.00%
14717,Jadarren Mumpfield,Alabama State,2009,Jr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
14721,Menji Mundadi,Alabama State,2009,Sr,2,0.00%,0.00%,100.00%,0.00%,0.00%,1,0.00%,0.00%,100.00%
14722,Robert Sanders,Alabama State,2009,Jr,2,0.00%,0.00%,50.00%,50.00%,0.00%,0,NA,NA,NA
14712,A.J. Spencer,Alabama State,2009,Jr,0,NA,NA,NA,NA,NA,4,0.00%,75.00%,25.00%
14407,Byron Walker,Alabama State,2009,Sr,2,0.00%,0.00%,50.00%,50.00%,0.00%,4,0.00%,75.00%,25.00%
14723,Ryan Watts,Alabama State,2009,Fr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
14716,Ivory White,Alabama State,2009,So,2,100.00%,50.00%,0.00%,50.00%,0.00%,1,0.00%,0.00%,100.00%
5496,Anthony Brock,Alabama,2009,Sr,41,41.46%,56.10%,7.32%,36.59%,17.07%,27,0.00%,66.67%,33.33%
5502,Greg Cage,Alabama,2009,Sr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
5498,Charvez Davis,Alabama,2009,Jr,12,50.00%,16.67%,58.33%,25.00%,0.00%,14,0.00%,64.29%,35.71%
44725,Chris Dixon,Alabama,2009,Fr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
5497,Ben Eblen,Alabama,2009,Fr,4,0.00%,25.00%,25.00%,50.00%,25.00%,5,0.00%,80.00%,20.00%
2187,JaMychal Green,Alabama,2009,So,14,35.71%,21.43%,21.43%,57.14%,7.14%,51,5.88%,43.14%,50.98%
2356,Senario Hillman,Alabama,2009,Jr,32,25.00%,53.13%,18.75%,28.13%,12.50%,35,0.00%,51.43%,48.57%
5499,Chris Hines,Alabama,2009,Jr,6,33.33%,66.67%,0.00%,33.33%,33.33%,23,17.39%,30.43%,52.17%
