GMID,Name,School,Year,Grade,S2PA,S2PM,S2PMAss,DunkA,DunkM,DunkAss,L2PA,L2PM,L2PMAss,A3P,M3P,Ass3PM,FTA,FTM
14662,Reggie Porter,Alabama A&M ,2009,Jr,3,2,0,0,0,0,6,1,0,3,1,0,8,7
14657,Khiry White,Alabama A&M ,2009,RS-Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14645,Adam Young,Alabama A&M ,2009,Fr,10,1,1,0,0,0,3,0,0,1,0,0,10,7
14725,Stephawn Brown,Alabama State,2009,Fr,1,1,0,0,0,0,1,0,0,0,0,0,0,0
14726,Tramaine Butler,Alabama State,2009,RS-Jr,36,25,4,3,3,1,13,6,5,15,6,5,51,25
14714,Chris Duncan,Alabama State,2009,Jr,26,15,9,7,7,5,11,4,2,6,1,1,17,9
14719,Jevon Freeman,Alabama State,2009,Jr,0,0,0,0,0,0,0,0,0,0,0,0,6,4
14720,Jordan Jefferson,Alabama State,2009,RS-Fr,1,0,0,0,0,0,1,0,0,0,0,0,0,0
14715,Derrick Johnson,Alabama State,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14718,Jeffery Middlebrooks,Alabama State,2009,So,3,2,0,0,0,0,4,0,0,4,0,0,13,10
14724,Sekari Milligen,Alabama State,2009,So,5,3,3,0,0,0,3,0,0,23,4,4,10,8
14727,Tramyne Moorer,Alabama State,2009,Jr,37,25,15,7,7,4,12,4,2,10,5,4,41,29
14717,Jadarren Mumpfield,Alabama State,2009,Jr,1,0,0,0,0,0,0,0,0,2,0,0,2,1
14721,Menji Mundadi,Alabama State,2009,Sr,24,11,1,1,1,0,10,6,4,53,23,22,46,34
14722,Robert Sanders,Alabama State,2009,Jr,4,4,2,1,1,0,4,2,1,5,2,2,7,3
14712,A.J. Spencer,Alabama State,2009,Jr,9,8,2,2,2,0,5,3,1,4,0,0,28,18
14407,Byron Walker,Alabama State,2009,Sr,17,14,8,2,2,2,10,4,4,0,0,0,4,4
14723,Ryan Watts,Alabama State,2009,Fr,0,0,0,0,0,0,0,0,0,2,1,1,1,0
14716,Ivory White,Alabama State,2009,So,10,4,1,0,0,0,2,0,0,4,0,0,6,4
5496,Anthony Brock,Alabama,2009,Sr,23,7,2,0,0,0,5,2,0,32,10,10,14,10
5502,Greg Cage,Alabama,2009,Sr,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5498,Charvez Davis,Alabama,2009,Jr,9,7,5,0,0,0,6,1,1,31,12,12,7,3
44725,Chris Dixon,Alabama,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5497,Ben Eblen,Alabama,2009,Fr,2,1,1,0,0,0,1,1,0,1,1,1,4,2
2187,JaMychal Green,Alabama,2009,So,40,27,20,14,12,11,24,10,7,2,0,0,52,38
2356,Senario Hillman,Alabama,2009,Jr,35,26,14,12,12,8,17,8,0,9,4,2,27,18
5499,Chris Hines,Alabama,2009,Jr,17,13,10,2,1,1,5,3,0,0,0,0,13,7
5503,Justin Knox,Alabama,2009,Jr,14,7,6,8,7,6,10,6,5,0,0,0,16,13
5504,Justin Luquire,Alabama,2009,Sr,0,0,0,0,0,0,1,1,1,0,0,0,0,0
5506,Tony Mitchell,Alabama,2009,Fr,36,32,23,14,14,9,15,5,4,18,8,8,26,13
5495,Andrew Steele,Alabama,2009,RS-So,2,1,1,0,0,0,0,0,0,1,0,0,6,3
5505,Mikhail Torrance,Alabama,2009,Sr,58,37,15,2,2,1,31,12,2,24,13,6,91,80
17582,Billy Allen,Albany,2009,So,2,2,2,0,0,0,4,3,2,19,5,5,3,3
17596,Tim Ambrose,Albany,2009,Jr,31,22,7,5,5,2,25,11,1,12,4,2,30,20
