GMID,Name,School,Year,Grade,S2PA,S2PM,S2PMAss,DunkA,DunkM,DunkAss,L2PA,L2PM,L2PMAss,A3P,M3P,Ass3PM,FTA,FTM
14662,Reggie Porter,Alabama A&M ,2009,Jr,6,3,0,0,0,0,10,1,0,19,5,4,15,13
14657,Khiry White,Alabama A&M ,2009,RS-Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14645,Adam Young,Alabama A&M ,2009,Fr,55,28,9,1,1,1,45,10,2,7,0,0,37,22
14725,Stephawn Brown,Alabama State,2009,Fr,2,2,1,0,0,0,2,1,1,2,0,0,2,1
14726,Tramaine Butler,Alabama State,2009,RS-Jr,113,58,13,8,8,1,65,21,13,91,27,23,159,84
14714,Chris Duncan,Alabama State,2009,Jr,64,39,20,11,10,8,64,22,12,43,8,7,54,32
14719,Jevon Freeman,Alabama State,2009,Jr,2,0,0,0,0,0,0,0,0,0,0,0,10,5
14720,Jordan Jefferson,Alabama State,2009,RS-Fr,1,0,0,0,0,0,1,0,0,0,0,0,2,0
14715,Derrick Johnson,Alabama State,2009,So,1,1,1,0,0,0,1,0,0,0,0,0,0,0
14718,Jeffery Middlebrooks,Alabama State,2009,So,12,6,1,0,0,0,18,2,0,25,7,4,26,14
14724,Sekari Milligen,Alabama State,2009,So,15,6,4,0,0,0,19,6,3,85,24,23,20,14
14727,Tramyne Moorer,Alabama State,2009,Jr,129,75,43,12,10,7,96,37,20,31,9,7,185,131
14717,Jadarren Mumpfield,Alabama State,2009,Jr,2,1,0,0,0,0,1,1,0,5,1,1,2,1
14721,Menji Mundadi,Alabama State,2009,Sr,68,35,12,3,2,0,43,21,12,234,94,88,119,89
14722,Robert Sanders,Alabama State,2009,Jr,40,22,9,1,1,0,39,9,3,16,5,5,44,22
14712,A.J. Spencer,Alabama State,2009,Jr,20,13,3,2,2,0,25,6,2,16,2,0,50,35
14407,Byron Walker,Alabama State,2009,Sr,77,49,27,4,4,4,105,32,23,2,1,1,47,34
14723,Ryan Watts,Alabama State,2009,Fr,3,2,1,0,0,0,5,0,0,4,1,1,5,3
14716,Ivory White,Alabama State,2009,So,18,6,1,0,0,0,13,4,3,33,11,10,12,7
5496,Anthony Brock,Alabama,2009,Sr,38,12,2,0,0,0,16,4,0,115,41,39,31,22
5502,Greg Cage,Alabama,2009,Sr,3,2,0,0,0,0,1,0,0,4,0,0,0,0
5498,Charvez Davis,Alabama,2009,Jr,12,8,5,0,0,0,25,5,4,133,54,53,11,4
44725,Chris Dixon,Alabama,2009,Fr,1,0,0,0,0,0,1,0,0,0,0,0,0,0
5497,Ben Eblen,Alabama,2009,Fr,6,3,2,0,0,0,8,3,0,6,1,1,8,3
2187,JaMychal Green,Alabama,2009,So,151,90,55,33,27,21,171,72,30,5,0,0,164,114
2356,Senario Hillman,Alabama,2009,Jr,78,42,21,14,14,10,107,32,5,63,21,18,46,33
5499,Chris Hines,Alabama,2009,Jr,50,34,19,7,6,5,46,13,3,2,1,1,41,20
5503,Justin Knox,Alabama,2009,Jr,53,29,20,14,13,11,103,39,20,1,1,1,86,63
5504,Justin Luquire,Alabama,2009,Sr,0,0,0,0,0,0,2,1,1,0,0,0,0,0
5506,Tony Mitchell,Alabama,2009,Fr,100,74,46,30,26,15,75,24,10,57,15,14,58,34
5495,Andrew Steele,Alabama,2009,RS-So,5,4,3,0,0,0,4,1,0,5,2,2,14,7
5505,Mikhail Torrance,Alabama,2009,Sr,119,68,20,2,2,1,119,56,15,109,39,19,156,135
17582,Billy Allen,Albany,2009,So,11,7,6,0,0,0,9,5,4,71,22,21,9,9
17596,Tim Ambrose,Albany,2009,Jr,88,59,19,5,5,2,179,62,14,77,25,20,106,81
17590,Logan Aronhalt,Albany,2009,Fr,24,12,10,4,4,3,54,20,5,114,36,30,44,37
17591,Louis Barraza,Albany,2009,Jr,0,0,0,0,0,0,0,0,0,3,1,1,0,0
17593,Mike Black,Albany,2009,Fr,52,24,5,0,0,0,43,12,2,76,33,25,68,51
17584,Brett Gifford,Albany,2009,Sr,21,16,12,0,0,0,40,13,12,1,0,0,9,4
4414,Will Harris,Albany,2009,Sr,78,48,29,5,5,4,102,42,18,118,47,35,62,47
17592,Mike Johnson,Albany,2009,Sr,28,21,6,0,0,0,46,15,5,26,5,4,28,18
17588,Jake Lindfors,Albany,2009,RS-Fr,20,8,3,0,0,0,27,10,6,48,10,10,9,7
17595,Scotty McRae,Albany,2009,Sr,44,23,9,6,6,4,100,32,12,28,6,6,86,60
17583,Blake Metcalf,Albany,2009,Fr,30,12,6,0,0,0,28,15,9,1,0,0,25,11
17585,Derrek Tartt,Albany,2009,Fr,13,7,4,1,0,0,12,3,0,17,6,5,21,13
17586,Fran Urli,Albany,2009,Jr,60,35,18,0,0,0,42,15,5,5,3,3,78,55
14783,Corey Anthony,Alcorn State,2009,So,16,11,1,0,0,0,20,4,2,28,7,4,19,10
