GMID,Name,School,Year,BLK,B2PJ,BS2P,B3P,R2PJ,RS2P,R3P,S2PJ,S2PS,S3PS,PickSix
18138,David Nelson,Iona,2009,0,0,0,0,0,0,0,0,0,0,0
18139,Jermel Jenkins,Iona,2009,0,0,0,0,0,0,0,1,0,0,6
18139,Jermel Jenkins,Iona,2010,1,0,0,0,0,0,0,0,4,0,8
18139,Jermel Jenkins,Iona,2011,0,0,0,0,0,0,0,1,1,0,1
18140,Keon Williams,Iona,2009,1,0,1,0,0,1,0,0,2,0,1
18141,Kyle Smyth,Iona,2009,10,2,8,0,2,4,0,0,3,1,3
18141,Kyle Smyth,Iona,2010,2,2,0,0,2,0,0,0,6,0,5
18141,Kyle Smyth,Iona,2011,5,5,0,0,4,0,0,2,4,0,2
18141,Kyle Smyth,Seton Hall,2012,3,3,0,0,1,0,0,1,1,1,2
18142,Mike McFadden,Iona,2009,11,3,8,0,1,4,0,0,4,0,0
18142,Mike McFadden,Robert Morris,2011,16,6,10,0,5,3,0,4,3,0,2
18142,Mike McFadden,Robert Morris,2012,12,3,9,0,1,6,0,0,6,0,2
18142,Mike McFadden,Robert Morris,2013,8,3,5,0,2,4,0,0,4,0,0
18143,Milan Prodanovic,Iona,2009,0,0,0,0,0,0,0,0,3,0,0
18144,Rashard McGill,Iona,2009,9,3,4,1,2,4,0,0,1,0,0
18144,Rashard McGill,Southern Mississippi,2011,1,0,1,0,0,1,0,0,3,0,0
18144,Rashard McGill,Southern Mississippi,2012,6,3,2,1,0,1,1,1,2,0,2
18145,Rashon Dwight,Iona,2009,11,4,6,1,0,5,0,0,1,1,2
18145,Rashon Dwight,Iona,2010,15,6,9,0,6,8,0,1,3,0,5
18146,Scott Machado,Iona,2009,2,1,1,0,0,1,0,0,2,0,8
18146,Scott Machado,Iona,2010,6,2,4,0,1,2,0,0,1,0,5
18146,Scott Machado,Iona,2011,6,1,5,0,0,2,0,1,3,0,7
18147,Trinity Fields,Iona,2009,2,1,1,0,1,0,0,0,1,0,1
18147,Trinity Fields,Iona,2010,0,0,0,0,0,0,0,0,1,0,3
18147,Trinity Fields,Iona,2011,0,0,0,0,0,0,0,1,0,0,0
18185,Anthony Winbush,Loyola (MD),2009,2,0,2,0,0,2,0,1,0,0,0
18185,Anthony Winbush,Loyola (MD),2010,3,1,2,0,1,0,0,1,0,0,0
18185,Anthony Winbush,Loyola (MD),2011,10,4,4,2,3,2,1,1,3,0,0
18185,Anthony Winbush,Loyola (MD),2012,14,3,11,0,2,7,0,1,4,0,3
18186,Brett Harvey,Loyola (MD),2009,4,2,1,1,1,1,0,0,1,0,2
18187,Brian Rudolph,Loyola (MD),2009,1,0,1,0,0,0,0,2,0,0,6
18187,Brian Rudolph,Loyola (MD),2010,1,1,0,0,1,0,0,0,6,0,2
18188,Erik Etherly,Loyola (MD),2010,35,12,22,0,8,12,0,1,8,0,6
18188,Erik Etherly,Loyola (MD),2011,48,15,31,2,5,17,1,0,6,0,6
18188,Erik Etherly,Loyola (MD),2012,28,13,14,1,8,8,1,0,2,0,10
18189,Garrett Kelly,Loyola (MD),2009,0,0,0,0,0,0,0,0,0,0,0
18190,Jawaan Wright,Loyola (MD),2009,24,6,16,0,2,13,0,0,3,0,0
18191,J'hared Hall,Loyola (MD),2009,5,1,2,2,1,2,1,0,1,0,2
18191,J'hared Hall,Loyola (MD),2010,6,4,2,0,2,0,0,0,0,0,2
18191,J'hared Hall,Loyola (MD),2011,1,0,1,0,0,1,0,0,0,0,0
18192,Josh Wiegand,Loyola (MD),2010,6,2,4,0,1,3,0,0,1,0,0
18193,Julius Brooks,Loyola (MD),2009,19,1,15,3,1,7,1,0,1,0,0
18193,Julius Brooks,Loyola (MD),2010,8,3,5,0,1,3,0,0,0,0,0
18193,Julius Brooks,Loyola (MD),2011,6,1,5,0,0,3,0,0,0,0,0
18193,Julius Brooks,Loyola (MD),2012,24,5,19,0,3,13,0,2,2,0,2
18194,Luke Wandrusch,Loyola (MD),2010,0,0,0,0,0,0,0,0,0,0,0
18194,Luke Wandrusch,Loyola (MD),2011,0,0,0,0,0,0,0,0,0,0,0
18194,Luke Wandrusch,Loyola (MD),2012,0,0,0,0,0,0,0,0,0,0,0
18195,Paolo Ivis,Loyola (MD),2009,2,1,1,0,1,0,0,0,1,0,0
18195,Paolo Ivis,Loyola (MD),2010,3,1,2,0,0,1,0,0,0,0,0
18196,Robert Olson,Loyola (MD),2009,4,2,2,0,2,1,0,1,1,0,3
18196,Robert Olson,Loyola (MD),2010,4,1,3,0,1,2,0,0,3,0,2
18196,Robert Olson,Loyola (MD),2011,4,0,3,1,0,1,1,2,3,0,0
18196,Robert Olson,Loyola (MD),2012,6,4,2,0,3,0,0,1,2,0,5
18197,Tony Lewis (2),Loyola (MD),2009,4,1,2,1,1,0,0,1,2,0,2
18230,Andrew Gabriel,Manhattan,2009,24,4,19,1,3,10,1,1,6,0,3
18230,Andrew Gabriel,Manhattan,2010,8,2,6,0,0,4,0,0,1,0,0
18231,Antoine Pearson,Manhattan,2009,2,0,2,0,0,0,0,1,0,0,7
18232,Brandon Adams (2),Manhattan,2009,26,14,12,0,7,6,0,1,3,0,2
18233,Darryl Crawford,Manhattan,2009,14,3,9,2,2,6,1,1,2,0,5
18234,Djibril Coulibaly,Manhattan,2009,12,3,9,0,2,6,0,0,1,0,1
18234,Djibril Coulibaly,Manhattan,2010,2,1,1,0,0,1,0,2,2,0,1
18234,Djibril Coulibaly,Manhattan,2011,0,0,0,0,0,0,0,0,1,0,0
18235,George Beamon,Manhattan,2009,2,1,1,0,0,0,0,1,1,0,3
18235,George Beamon,Manhattan,2010,15,5,10,0,5,4,0,0,1,0,5
18235,George Beamon,Manhattan,2011,14,2,12,0,0,7,0,0,1,0,3
18235,George Beamon,Manhattan,2012,0,0,0,0,0,0,0,0,0,0,3
18235,George Beamon,Manhattan,2013,10,1,6,3,1,4,1,1,3,0,12
18236,Kevin Laue,Manhattan,2009,3,2,1,0,2,0,0,0,0,0,0
18236,Kevin Laue,Manhattan,2010,5,3,2,0,2,0,0,0,1,0,0
18236,Kevin Laue,Manhattan,2011,6,3,3,0,2,2,0,0,1,0,0
18237,Laurence Jolicoeur,Manhattan,2009,16,5,11,0,0,3,0,1,5,0,0
18237,Laurence Jolicoeur,UMBC,2010,8,3,5,0,0,4,0,0,3,0,0
18238,Liam McCabe-Moran,Manhattan,2009,0,0,0,0,0,0,0,0,0,0,0
18238,Liam McCabe-Moran,Manhattan,2010,0,0,0,0,0,0,0,1,0,0,0
18238,Liam McCabe-Moran,Manhattan,2011,1,0,1,0,0,1,0,0,2,0,0
18240,Mohamed Koita,Manhattan,2009,3,2,1,0,0,1,0,0,2,0,1
18240,Mohamed Koita,Manhattan,2010,0,0,0,0,0,0,0,0,1,0,0
18240,Mohamed Koita,Manhattan,2011,2,2,0,0,1,0,0,1,1,0,0
18240,Mohamed Koita,Manhattan,2012,2,0,0,2,0,0,2,0,2,0,0
18241,Nick Walsh,Manhattan,2009,1,0,0,0,0,0,0,0,1,0,0
18241,Nick Walsh,Manhattan,2010,1,0,1,0,0,0,0,0,1,0,0
18242,Patrick Bouli,Manhattan,2009,5,1,4,0,1,2,0,0,0,0,3
18243,Victor Jackson,Manhattan,2009,0,0,0,0,0,0,0,0,0,0,0
18270,Candon Rusin,Marist,2009,2,1,1,0,0,0,0,1,2,0,1
18270,Candon Rusin,Marist,2010,0,0,0,0,0,0,0,1,3,0,2
18270,Candon Rusin,Vermont,2012,2,0,2,0,0,2,0,0,2,0,2
18270,Candon Rusin,Vermont,2013,3,2,1,0,1,0,0,0,3,0,1
18271,Dejuan Goodwin,Marist,2009,1,0,1,0,0,0,0,1,1,0,0
18271,Dejuan Goodwin,Marist,2010,0,0,0,0,0,0,0,0,1,0,0
18272,Devin Price,Marist,2009,1,0,1,0,0,0,0,0,1,0,6
18272,Devin Price,Marist,2010,2,1,1,0,0,0,0,1,1,0,2
18272,Devin Price,Marist,2011,1,0,1,0,0,1,0,1,2,0,2
18272,Devin Price,Marist,2012,2,1,0,1,1,0,1,0,1,0,3
18273,Dorvell Carter,Marist,2009,6,2,4,0,2,1,0,1,2,0,0
18273,Dorvell Carter,Marist,2010,3,2,1,0,1,1,0,0,2,0,2
18273,Dorvell Carter,Marist,2011,1,1,0,0,1,0,0,0,1,0,1
18273,Dorvell Carter,Marist,2012,1,0,1,0,0,1,0,0,0,0,0
18275,Javon Parris,Marist,2009,2,0,2,0,0,2,0,0,4,0,1
18276,Korey Bauer,Marist,2009,8,4,4,0,3,3,0,1,14,0,0
18276,Korey Bauer,Marist,2010,7,2,5,0,1,4,0,1,3,0,0
18277,Mike Taylor,Marist,2009,0,0,0,0,0,0,0,0,1,0,0
18278,Pat McDerby,Marist,2009,0,0,0,0,0,0,0,0,0,0,0
18278,Pat McDerby,Marist,2010,0,0,0,0,0,0,0,0,0,0,0
18279,R.J. Hall,Marist,2009,0,0,0,0,0,0,0,0,2,0,0
18279,R.J. Hall,Marist,2010,0,0,0,0,0,0,0,0,1,0,3
18279,R.J. Hall,Marist,2011,0,0,0,0,0,0,0,0,0,0,3
18280,Rob Johnson,Marist,2009,8,2,6,0,1,4,0,1,2,0,1
18280,Rob Johnson,Marist,2010,1,0,1,0,0,1,0,0,0,0,0
18280,Rob Johnson,Norfolk State,2011,3,2,1,0,1,1,0,0,1,0,1
18280,Rob Johnson,Norfolk State,2012,10,1,6,3,0,4,1,1,2,0,5
18281,Sam Prescott,Marist,2009,3,0,2,1,0,1,0,2,2,0,0
18281,Sam Prescott,Marist,2010,17,7,9,1,5,3,0,1,6,0,0
18281,Sam Prescott,Mount St. Mary's,2012,5,1,4,0,1,1,0,0,0,0,7
18281,Sam Prescott,Mount St. Mary's,2013,8,2,6,0,1,5,0,2,5,0,4
18282,Alex Vouyoukas,Texas-San Antonio,2010,13,6,7,0,5,5,0,1,4,0,0
18282,Alex Vouyoukas,Texas-San Antonio,2011,33,16,17,0,12,11,0,1,3,0,0
18288,Jay Gavin,VCU,2009,1,0,1,0,0,0,0,0,0,0,1
18289,Jeremiah Bowman,Longwood,2010,2,1,1,0,0,1,0,1,3,0,2
18289,Jeremiah Bowman,Longwood,2011,1,1,0,0,0,0,0,0,2,0,3
18321,Anthony Nelson,Niagara,2009,3,0,2,1,0,0,1,3,5,0,5
18321,Anthony Nelson,Niagara,2010,2,1,1,0,0,1,0,0,1,0,12
18322,Austin Cooley,Niagara,2009,17,2,15,0,0,7,0,1,2,0,0
18323,Chris Armstrong,Niagara,2009,0,0,0,0,0,0,0,0,0,0,0
18324,Demetrius Williamson,Niagara,2009,18,3,14,1,2,11,0,1,4,0,2
18325,Eric Williams (2),Niagara,2009,1,0,1,0,0,0,0,2,2,0,0
18325,Eric Williams (2),Niagara,2010,11,7,4,0,5,2,0,0,2,0,0
18325,Eric Williams (2),Niagara,2011,5,1,4,0,1,2,0,0,1,0,0
18327,Kashief Edwards,Niagara,2009,50,19,29,1,11,18,1,0,3,0,0
18327,Kashief Edwards,Niagara,2010,30,9,20,1,5,11,1,0,2,0,3
18327,Kashief Edwards,Northeastern,2011,17,10,6,0,4,5,0,1,4,0,1
18328,Kevon Moore,Niagara,2010,2,1,1,0,1,1,0,0,1,0,3
18329,Luuk Kortekaas,Niagara,2010,0,0,0,0,0,0,0,0,0,0,0
18330,Paul Kowalski,Niagara,2009,0,0,0,0,0,0,0,0,0,0,0
18330,Paul Kowalski,Niagara,2010,0,0,0,0,0,0,0,0,0,0,0
18330,Paul Kowalski,Niagara,2011,0,0,0,0,0,0,0,0,0,0,0
18331,Scooter Gillette,Niagara,2009,11,3,7,1,2,1,1,0,1,0,0
18331,Scooter Gillette,Niagara,2010,34,11,21,0,6,10,0,0,6,0,0
18331,Scooter Gillette,Niagara,2011,22,5,15,1,3,5,0,0,4,0,0
18331,Scooter Gillette,Niagara,2012,2,0,2,0,0,2,0,0,2,0,0
18331,Scooter Gillette,Fairleigh Dickinson,2013,44,11,33,0,7,20,0,1,4,0,0
18363,Brandon Penn,Rider,2009,11,2,9,0,1,7,0,0,5,0,0
18363,Brandon Penn,Rider,2010,14,2,12,0,1,6,0,1,3,0,3
18363,Brandon Penn,Rider,2011,14,1,13,0,0,9,0,0,5,0,1
18364,Carl Johnson,Rider,2009,1,0,1,0,0,0,0,0,1,0,0
18365,Dera Nd-Ezuma,Rider,2009,3,2,1,0,0,1,0,1,1,0,0
18365,Dera Nd-Ezuma,Rider,2010,3,1,2,0,1,1,0,1,1,0,0
18365,Dera Nd-Ezuma,Rider,2011,10,0,10,0,0,4,0,1,0,0,1
18365,Dera Nd-Ezuma,Rider,2012,32,7,24,1,4,16,0,1,4,0,0
18366,Jermaine Jackson,Rider,2009,1,0,1,0,0,1,0,0,4,0,0
18367,Jonathon Thompson,Rider,2009,8,1,7,0,0,2,0,0,3,0,1
18367,Jonathon Thompson,Rider,2010,12,2,7,3,0,3,1,0,1,0,2
18367,Jonathon Thompson,Rider,2011,10,0,9,1,0,5,0,0,1,0,1
18367,Jonathon Thompson,Rider,2012,22,4,17,1,3,7,0,0,0,0,5
18368,Mike Ringgold,Rider,2009,29,4,22,0,3,9,0,3,4,0,1
18368,Mike Ringgold,Rider,2010,21,5,15,0,2,9,0,1,3,0,5
18369,Novar Gadson,Rider,2009,28,9,18,1,6,14,1,2,5,0,5
18369,Novar Gadson,Rider,2010,31,3,26,1,2,12,0,1,7,0,4
18369,Novar Gadson,Rider,2011,10,1,8,1,0,3,1,0,4,0,1
18370,Patrick Mansell,Rider,2009,2,2,0,0,1,0,0,0,1,0,0
18370,Patrick Mansell,Rider,2010,0,0,0,0,0,0,0,0,0,0,0
18371,Robbie Myers,Rider,2009,0,0,0,0,0,0,0,0,1,0,0
18399,Alex Franklin,Siena,2009,29,8,20,0,6,18,0,2,3,0,4
18400,Clarence Jackson,Siena,2009,12,4,6,2,1,5,2,0,2,0,18
18400,Clarence Jackson,Siena,2010,3,1,1,1,1,0,1,0,1,0,8
18401,Conner Fenlon,Siena,2009,0,0,0,0,0,0,0,0,0,0,0
18401,Conner Fenlon,Siena,2010,0,0,0,0,0,0,0,0,0,0,0
18401,Conner Fenlon,Siena,2011,0,0,0,0,0,0,0,0,0,0,0
18402,Davis Martens,Siena,2009,0,0,0,0,0,0,0,0,0,0,0
18402,Davis Martens,Siena,2010,11,6,5,0,3,3,0,0,2,0,0
18402,Davis Martens,Siena,2012,8,1,7,0,1,5,0,0,3,0,0
18403,Denzel Yard,Siena,2009,0,0,0,0,0,0,0,0,0,0,1
18404,Jonathan Breeden,Siena,2009,1,1,0,0,0,0,0,0,0,0,0
18404,Jonathan Breeden,Siena,2010,1,0,1,0,0,1,0,0,2,0,1
18405,Just-in'love Smith,Siena,2009,0,0,0,0,0,0,0,0,0,0,0
18406,Kyle Downey,Siena,2009,1,0,1,0,0,1,0,1,0,0,1
18406,Kyle Downey,Siena,2010,4,2,2,0,1,0,0,1,2,1,3
18406,Kyle Downey,Siena,2011,5,4,1,0,2,0,0,1,6,0,5
18407,O.D. Anosike,Siena,2009,13,8,5,0,6,4,0,1,1,0,1
18407,O.D. Anosike,Siena,2010,19,9,10,0,6,3,0,0,2,0,0
18407,O.D. Anosike,Siena,2011,31,8,23,0,6,14,0,0,2,0,2
18407,O.D. Anosike,Siena,2012,26,7,18,0,4,7,0,0,1,0,1
18408,Owen Wignot,Siena,2009,14,6,7,1,5,6,1,0,1,0,0
18408,Owen Wignot,Siena,2010,21,10,9,2,6,3,1,1,4,0,0
18408,Owen Wignot,Siena,2011,20,5,10,5,5,7,3,1,5,0,2
18409,Ronald Moore,Siena,2009,3,2,0,1,2,0,1,1,3,0,5
18410,Ryan Rossiter,Siena,2009,34,16,17,1,10,11,1,0,8,0,2
18410,Ryan Rossiter,Siena,2010,38,20,16,1,7,9,0,0,9,0,0
18411,Steven Priestley,Siena,2009,0,0,0,0,0,0,0,0,0,0,0
18411,Steven Priestley,Siena,2010,0,0,0,0,0,0,0,0,0,0,0
18442,Brandon Hall,Saint Peter's,2009,0,0,0,0,0,0,0,1,3,0,1
18442,Brandon Hall,Saint Peter's,2010,0,0,0,0,0,0,0,0,3,0,2
18442,Brandon Hall,Saint Peter's,2011,3,1,1,1,0,1,0,0,4,0,4
18443,Darius Conley,Saint Peter's,2009,33,8,24,1,6,13,1,1,3,0,1
18443,Darius Conley,Saint Peter's,2010,25,5,20,0,2,12,0,2,3,0,1
18443,Darius Conley,Saint Peter's,2011,34,4,29,0,2,13,0,1,3,0,2
18443,Darius Conley,Saint Peter's,2012,21,4,16,1,1,10,1,0,1,0,0
18444,Jack Hill,Saint Peter's,2009,2,0,2,0,0,2,0,0,1,0,0
18444,Jack Hill,Saint Peter's,2010,10,3,7,0,3,4,0,1,3,0,0
18444,Jack Hill,Saint Peter's,2011,2,0,2,0,0,1,0,0,2,0,1
18445,Jamin Shumate,Saint Peter's,2009,0,0,0,0,0,0,0,0,1,0,0
18446,Jeron Belin,Saint Peter's,2009,13,1,10,1,1,5,1,1,2,0,2
18446,Jeron Belin,Saint Peter's,2010,21,6,14,1,4,10,1,0,0,0,8
18447,Jordan Costner,Saint Peter's,2009,6,1,4,0,0,3,0,0,4,0,0
18448,Kabeya Kabongo,Saint Peter's,2009,0,0,0,0,0,0,0,0,0,0,0
18449,Nick Leon,Saint Peter's,2009,3,1,0,2,1,0,1,2,4,0,4
18449,Nick Leon,Saint Peter's,2010,1,0,1,0,0,0,0,0,1,0,1
18450,Ryan Bacon,Saint Peter's,2009,40,13,27,0,7,13,0,3,3,0,3
18450,Ryan Bacon,Saint Peter's,2010,65,13,47,5,4,26,4,1,3,0,0
18451,Steven Samuels,Saint Peter's,2009,7,2,5,0,1,2,0,0,1,0,4
18451,Steven Samuels,Saint Peter's,2010,9,2,5,2,0,2,2,1,2,0,5
18452,Wesley Jenkins,Saint Peter's,2009,14,3,11,0,2,5,0,2,3,0,3
18452,Wesley Jenkins,Saint Peter's,2010,13,3,10,0,2,5,0,1,2,0,3
18453,Yvon Raymond,Saint Peter's,2009,4,2,2,0,2,1,0,0,2,0,2
18453,Yvon Raymond,Saint Peter's,2010,4,1,2,1,0,0,1,0,1,0,6
18453,Yvon Raymond,Saint Peter's,2011,14,2,11,1,1,6,1,0,6,0,7
18453,Yvon Raymond,Saint Peter's,2012,22,7,13,2,6,7,2,2,5,0,8
18457,Darrell Lampley,Eastern Michigan,2010,0,0,0,0,0,0,0,0,0,0,1
18457,Darrell Lampley,Eastern Michigan,2011,2,0,2,0,0,1,0,0,0,0,6
18495,Adam Pegg,Delaware,2009,9,2,7,0,1,6,0,0,5,0,0
18495,Adam Pegg,Stetson,2011,11,2,9,0,0,4,0,4,6,0,1
18495,Adam Pegg,Stetson,2012,11,4,7,0,3,3,0,2,4,0,0
18496,Alphonso Dawson,Delaware,2009,7,4,2,1,1,1,1,2,2,0,3
18496,Alphonso Dawson,Delaware,2010,2,0,2,0,0,0,0,0,1,0,0
18497,Brendan McNulty,Delaware,2009,0,0,0,0,0,0,0,0,0,0,0
18497,Brendan McNulty,Delaware,2010,0,0,0,0,0,0,0,0,0,0,0
18497,Brendan McNulty,Delaware,2011,0,0,0,0,0,0,0,0,0,0,0
18497,Brendan McNulty,Delaware,2012,0,0,0,0,0,0,0,0,0,0,0
18498,Brian Johnson,Delaware,2010,1,0,1,0,0,0,0,0,3,0,1
18499,D.J. Boney,Delaware,2009,3,1,2,0,0,1,0,4,1,0,0
18499,D.J. Boney,Delaware,2010,6,3,3,0,1,2,0,0,2,0,0
18500,Edwin Santiago,Delaware,2009,0,0,0,0,0,0,0,1,0,0,0
18500,Edwin Santiago,Delaware,2010,0,0,0,0,0,0,0,0,0,0,0
18501,Jamelle Hagins,Delaware,2009,30,10,19,1,5,9,0,2,9,0,0
18501,Jamelle Hagins,Delaware,2010,86,28,56,0,9,36,0,2,3,0,0
18501,Jamelle Hagins,Delaware,2011,95,39,55,0,23,33,0,0,10,0,1
18501,Jamelle Hagins,Delaware,2012,80,36,43,1,17,18,1,2,0,0,1
18502,Josh Brinkley,Delaware,2009,9,2,7,0,0,4,0,0,3,0,0
18502,Josh Brinkley,Delaware,2010,8,1,7,0,0,4,0,1,5,0,0
18502,Josh Brinkley,Delaware,2011,18,6,12,0,4,9,0,2,5,0,0
18502,Josh Brinkley,Delaware,2012,14,4,10,0,2,2,0,2,3,0,0
18503,Kelvin McNeil,Delaware,2009,6,0,6,0,0,3,0,0,2,0,0
18503,Kelvin McNeil,Delaware,2010,6,2,4,0,1,4,0,1,5,0,0
18503,Kelvin McNeil,Delaware,2011,1,0,1,0,0,1,0,1,4,0,0
18503,Kelvin McNeil,UNC Greensboro,2012,6,3,3,0,2,2,0,1,4,0,2
18504,Malcolm Hawkins,Delaware,2009,0,0,0,0,0,0,0,1,1,0,2
18504,Malcolm Hawkins,Delaware,2010,4,1,3,0,1,1,0,0,0,0,0
18504,Malcolm Hawkins,Norfolk State,2012,10,2,6,2,1,3,1,0,4,0,7
18504,Malcolm Hawkins,Norfolk State,2013,8,0,7,1,0,2,0,0,1,1,4
18505,Samer Madarani,Delaware,2009,0,0,0,0,0,0,0,0,0,0,0
18505,Samer Madarani,Delaware,2010,0,0,0,0,0,0,0,0,0,0,0
18505,Samer Madarani,Delaware,2011,0,0,0,0,0,0,0,0,0,0,0
18506,Will Townsville,Delaware,2009,0,0,0,0,0,0,0,0,0,0,0
18506,Will Townsville,Delaware,2010,0,0,0,0,0,0,0,0,0,0,0
18506,Will Townsville,Delaware,2011,0,0,0,0,0,0,0,0,1,0,0
18506,Will Townsville,Delaware,2012,0,0,0,0,0,0,0,0,0,0,0
18513,Marco Cooper,Sam Houston State,2009,2,0,1,1,0,0,0,0,2,0,0
18538,Bill Lally,Drexel,2009,0,0,0,0,0,0,0,0,0,0,0
18539,Chris Fouch,Drexel,2009,4,1,2,1,0,0,0,0,1,0,1
18539,Chris Fouch,Drexel,2010,5,1,3,1,1,1,1,0,7,0,3
18539,Chris Fouch,Drexel,2011,11,6,3,2,5,1,0,0,1,0,2
18539,Chris Fouch,Drexel,2012,0,0,0,0,0,0,0,0,0,0,0
18539,Chris Fouch,Drexel,2013,3,0,1,2,0,0,1,1,4,0,4
18540,Daryl McCoy,Drexel,2009,13,8,5,0,5,3,0,2,2,0,0
18540,Daryl McCoy,Drexel,2010,14,7,7,0,5,3,0,3,1,0,0
18540,Daryl McCoy,Drexel,2011,14,2,10,1,1,3,0,5,4,0,0
18540,Daryl McCoy,Drexel,2012,7,3,4,0,3,4,0,5,5,0,1
18541,Derrick Thomas,Drexel,2009,6,2,4,0,2,4,0,1,1,0,5
18541,Derrick Thomas,Drexel,2010,4,3,1,0,1,1,0,1,2,0,3
18541,Derrick Thomas,Drexel,2011,5,1,4,0,0,0,0,0,1,0,2
18541,Derrick Thomas,Drexel,2012,4,2,0,2,0,0,0,1,0,0,4
18542,Gerald Colds,Drexel,2009,6,2,4,0,2,2,0,0,2,0,3
18542,Gerald Colds,Drexel,2010,8,3,4,1,2,2,1,1,2,0,3
18543,Kenny Tribbett,Drexel,2009,2,0,2,0,0,1,0,0,0,0,0
18544,Kevin Phillip,Drexel,2009,15,6,9,0,1,3,0,0,2,0,0
18545,Leon Spencer,Drexel,2009,28,12,16,0,7,5,0,2,3,0,0
18547,Ronald Colbert,Drexel,2009,0,0,0,0,0,0,0,0,0,0,0
18547,Ronald Colbert,Drexel,2010,1,1,0,0,1,0,0,0,0,0,0
18548,Samme Givens,Drexel,2009,23,10,12,1,6,6,1,1,6,0,0
18548,Samme Givens,Drexel,2010,26,11,14,1,7,9,1,0,4,0,1
18548,Samme Givens,Drexel,2011,37,11,25,1,6,17,1,2,5,0,0
18549,Shannon Givens,Drexel,2009,1,0,0,1,0,0,0,0,2,0,0
18550,Yannick Formbor,Drexel,2009,0,0,0,0,0,0,0,0,0,0,0
18550,Yannick Formbor,Drexel,2010,1,0,1,0,0,0,0,1,0,0,0
18557,Rob Hampton,Norfolk State,2009,1,0,0,1,0,0,1,1,3,0,5
18557,Rob Hampton,Norfolk State,2010,5,3,1,1,3,1,1,1,7,0,4
18579,Andre Cornelius,George Mason,2009,0,0,0,0,0,0,0,0,1,0,3
18579,Andre Cornelius,George Mason,2010,3,0,2,1,0,0,0,1,3,0,7
18579,Andre Cornelius,George Mason,2011,1,0,1,0,0,1,0,1,2,0,2
18580,Cam Long,George Mason,2009,3,1,2,0,1,0,0,0,2,0,6
18580,Cam Long,George Mason,2010,8,2,4,2,2,2,1,0,3,0,5
18581,Isaiah Tate,George Mason,2009,2,2,0,0,2,0,0,1,0,0,0
18581,Isaiah Tate,George Mason,2010,8,4,1,3,1,1,2,0,2,0,3
18582,Jimmy Nolan,George Mason,2009,0,0,0,0,0,0,0,0,0,0,0
18583,Johnny Williams,George Mason,2009,10,5,5,0,3,3,0,0,1,0,0
18583,Johnny Williams,George Mason,2010,5,1,4,0,1,3,0,0,1,0,1
18583,Johnny Williams,George Mason,2012,14,10,4,0,4,2,0,3,3,0,0
18583,Johnny Williams,George Mason,2013,17,5,12,0,1,8,0,0,3,0,0
18585,Louis Birdsong,George Mason,2009,16,8,6,2,4,2,1,0,3,0,0
18586,Luke Hancock,George Mason,2009,6,4,0,2,2,0,0,1,3,1,6
18586,Luke Hancock,George Mason,2010,16,10,6,0,5,4,0,3,5,0,4
18586,Luke Hancock,Louisville,2012,2,1,0,1,1,0,1,0,1,0,1
18586,Luke Hancock,Louisville,2013,6,2,4,0,1,3,0,0,3,0,4
18587,Mike Morrison,George Mason,2009,48,28,17,2,20,9,2,0,2,0,2
18587,Mike Morrison,George Mason,2010,40,29,9,2,16,3,1,0,2,0,2
18587,Mike Morrison,George Mason,2011,64,33,28,3,19,16,1,5,1,0,1
18588,Paris Bennett,George Mason,2009,0,0,0,0,0,0,0,0,0,0,0
18588,Paris Bennett,George Mason,2010,5,5,0,0,2,0,0,1,3,0,0
18588,Paris Bennett,George Mason,2011,3,2,1,0,1,0,0,1,0,0,0
18588,Paris Bennett,George Mason,2012,4,2,2,0,2,1,0,0,1,0,0
18589,Rashad Whack,George Mason,2009,0,0,0,0,0,0,0,0,0,0,1
18589,Rashad Whack,George Mason,2010,1,0,1,0,0,0,0,0,0,0,1
18589,Rashad Whack,Mount St. Mary's,2012,5,1,4,0,1,1,0,0,0,0,4
18589,Rashad Whack,Mount St. Mary's,2013,13,3,9,1,1,6,0,0,5,0,9
18590,Ryan Pearson,George Mason,2009,12,7,5,0,4,2,0,1,0,0,5
18590,Ryan Pearson,George Mason,2010,20,10,10,0,6,5,0,0,4,0,3
18590,Ryan Pearson,George Mason,2011,15,5,9,1,1,4,1,1,1,1,7
18591,Sherrod Wright,George Mason,2009,5,2,3,0,1,3,0,0,0,0,0
18591,Sherrod Wright,George Mason,2011,9,5,2,2,3,2,2,1,1,0,4
18591,Sherrod Wright,George Mason,2012,10,4,5,1,4,3,1,0,2,0,6
18591,Sherrod Wright,George Mason,2013,5,1,2,2,0,1,1,1,2,0,3
18599,Jay Threatt,Delaware State,2009,5,4,1,0,4,1,0,0,2,0,3
18599,Jay Threatt,Delaware State,2010,6,3,2,0,3,0,0,0,2,0,9
18599,Jay Threatt,Delaware State,2011,4,2,2,0,1,0,0,0,0,0,6
18621,Daniel Brown,Georgia State,2010,0,0,0,0,0,0,0,0,0,0,0
18623,James Fields,Georgia State,2009,0,0,0,0,0,0,0,0,1,0,4
18623,James Fields,Georgia State,2010,3,3,0,0,0,0,0,1,0,0,6
18623,James Fields,Georgia State,2011,4,1,3,0,0,0,0,0,7,0,14
18624,James Vincent,Georgia State,2009,12,5,7,0,4,2,0,0,0,0,0
18624,James Vincent,Georgia State,2010,35,13,21,0,7,12,0,2,1,0,0
