GMID,Name,School,Year,BLK,B2PJ,BS2P,B3P,R2PJ,RS2P,R3P,S2PJ,S2PS,S3PS,PickSix
2199,Alex Oriakhi,Connecticut,2009,47,25,22,0,12,20,0,0,4,0,0
2199,Alex Oriakhi,Connecticut,2010,67,31,35,1,18,14,1,3,7,0,1
2199,Alex Oriakhi,Connecticut,2011,44,12,32,0,7,21,0,1,0,0,0
2199,Alex Oriakhi,Missouri,2012,54,28,25,0,15,14,0,1,1,0,1
2200,Peyton Siva,Louisville,2009,1,0,1,0,0,0,0,1,1,0,6
2200,Peyton Siva,Louisville,2010,5,2,2,1,0,0,1,1,2,0,13
2200,Peyton Siva,Louisville,2011,5,0,4,1,0,0,0,1,3,0,9
2200,Peyton Siva,Louisville,2012,5,4,1,0,4,0,0,1,1,1,6
2201,Baden Jaxen,North Carolina,2009,3,1,0,2,1,0,1,2,0,0,5
2201,Baden Jaxen,North Carolina,2010,0,0,0,0,0,0,0,0,3,0,5
2201,Baden Jaxen,North Carolina,2011,3,1,0,2,0,0,1,2,0,0,7
2201,Baden Jaxen,North Carolina,2012,2,1,1,0,1,1,0,0,1,0,8
2202,Dante Taylor,Pittsburgh,2009,18,4,14,0,2,10,0,2,2,0,0
2202,Dante Taylor,Pittsburgh,2010,21,9,12,0,4,8,0,1,4,0,0
2202,Dante Taylor,Pittsburgh,2011,25,7,16,2,3,8,2,0,5,0,1
2202,Dante Taylor,Pittsburgh,2012,10,5,5,0,4,4,0,0,1,0,2
2203,Maalik Wayns,Villanova,2009,1,0,1,0,0,1,0,0,3,0,7
2203,Maalik Wayns,Villanova,2010,1,0,1,0,0,0,0,2,2,0,3
2203,Maalik Wayns,Villanova,2011,1,0,1,0,0,0,0,0,2,0,1
2204,Milton Jennings,Clemson,2009,8,1,7,0,1,5,0,2,2,0,2
2204,Milton Jennings,Clemson,2010,14,4,8,1,2,4,0,1,2,0,4
2204,Milton Jennings,Clemson,2011,25,5,20,0,4,7,0,1,1,0,2
2204,Milton Jennings,Clemson,2012,30,2,25,2,1,17,2,2,0,0,2
2205,Dominic Cheek,Villanova,2009,8,4,4,0,2,3,0,0,2,0,4
2205,Dominic Cheek,Villanova,2010,7,5,2,0,4,2,0,0,1,0,1
2205,Dominic Cheek,Villanova,2011,6,2,3,1,1,1,1,1,3,0,11
2206,Kenny Boynton,Florida,2009,6,1,2,3,1,1,1,0,1,0,6
2206,Kenny Boynton,Florida,2010,7,3,2,2,2,0,1,2,3,0,3
2206,Kenny Boynton,Florida,2011,1,1,0,0,0,0,0,0,3,0,4
2206,Kenny Boynton,Florida,2012,3,0,2,1,0,1,0,0,1,0,8
2207,David Wear,North Carolina,2009,2,2,0,0,1,0,0,0,0,0,0
2207,David Wear,UCLA,2011,7,1,5,1,1,3,0,2,2,0,0
2207,David Wear,UCLA,2012,8,3,5,0,1,1,0,2,5,0,2
2207,David Wear,UCLA,2013,7,3,4,0,3,2,0,0,2,0,1
2208,Travis Wear,North Carolina,2009,2,2,0,0,2,0,0,3,1,0,0
2208,Travis Wear,UCLA,2011,32,10,22,0,6,10,0,0,4,0,2
2208,Travis Wear,UCLA,2012,30,11,18,1,6,9,1,3,4,0,3
2208,Travis Wear,UCLA,2013,23,5,18,0,4,12,0,2,5,1,0
2209,John Henson,North Carolina,2009,56,39,12,5,15,5,3,2,0,0,4
2209,John Henson,North Carolina,2010,84,56,25,2,29,12,1,1,1,0,2
2209,John Henson,North Carolina,2011,95,67,23,4,39,15,1,2,2,0,4
2210,Wally Judge,Kansas State,2009,16,8,7,1,4,5,1,2,3,0,0
