GMID,Name,School,Year,A1PerRimAtt,A1Per2PT,PercFTsShootF
2204,Milton Jennings,Clemson,2011,0.116,0.051,98.25%
2204,Milton Jennings,Clemson,2012,0.000,0.000,581.82%
2205,Dominic Cheek,Villanova,2009,0.071,0.047,97.50%
2205,Dominic Cheek,Villanova,2010,0.094,0.051,96.77%
2205,Dominic Cheek,Villanova,2011,0.167,0.078,101.22%
2206,Kenny Boynton,Florida,2009,0.127,0.059,94.68%
2206,Kenny Boynton,Florida,2010,0.169,0.071,102.91%
2206,Kenny Boynton,Florida,2011,0.203,0.113,100.85%
2206,Kenny Boynton,Florida,2012,0.207,0.108,105.63%
2207,David Wear,North Carolina,2009,0.125,0.020,68.75%
2207,David Wear,UCLA,2011,0.011,0.005,79.66%
2207,David Wear,UCLA,2012,0.059,0.026,91.67%
2207,David Wear,UCLA,2013,0.018,0.008,83.78%
2208,Travis Wear,North Carolina,2009,0.100,0.012,100.00%
2208,Travis Wear,UCLA,2011,0.038,0.021,106.90%
2208,Travis Wear,UCLA,2012,0.063,0.017,103.03%
2208,Travis Wear,UCLA,2013,0.038,0.013,84.62%
2209,John Henson,North Carolina,2009,0.119,0.049,85.07%
2209,John Henson,North Carolina,2010,0.081,0.034,76.24%
2209,John Henson,North Carolina,2011,0.117,0.033,70.00%
2210,Wally Judge,Kansas State,2009,0.258,0.093,75.41%
2210,Wally Judge,Kansas State,2010,0.129,0.049,69.23%
2210,Wally Judge,Rutgers,2012,0.111,0.045,477.78%
2210,Wally Judge,Rutgers,2013,0.000,0.000,288.00%
2211,Abdul Gaddy,Washington,2009,0.179,0.047,83.78%
2211,Abdul Gaddy,Washington,2010,0.000,0.000,36.36%
2211,Abdul Gaddy,Washington,2011,0.151,0.055,95.89%
2211,Abdul Gaddy,Washington,2012,0.096,0.033,80.23%
2212,Tiny Gallon,Oklahoma,2009,0.143,0.067,187.10%
2213,Tommy Mason-Griffin,Oklahoma,2009,0.074,0.023,165.00%
2214,Mason Plumlee,Duke,2009,0.056,0.034,69.05%
2214,Mason Plumlee,Duke,2010,0.083,0.053,80.72%
2214,Mason Plumlee,Duke,2011,0.083,0.053,93.62%
2214,Mason Plumlee,Duke,2012,0.094,0.057,88.16%
2215,Renardo Sidney,Mississippi State,2010,0.154,0.089,314.29%
2215,Renardo Sidney,Mississippi State,2011,0.130,0.063,92.96%
2216,Michael Snaer,Florida State,2009,0.040,0.019,95.83%
2216,Michael Snaer,Florida State,2010,0.050,0.018,115.56%
2216,Michael Snaer,Florida State,2011,0.083,0.035,92.78%
2216,Michael Snaer,Florida State,2012,0.190,0.082,400.00%
2217,Solomon Alabi,Florida State,2009,0.092,0.042,92.19%
2218,Matt Bouldin,Gonzaga,2009,0.051,0.023,97.54%
2219,Craig Brackins,Iowa State,2009,0.210,0.038,92.00%
2255,Mouphtaou Yarou,Villanova,2009,0.065,0.038,89.66%
2255,Mouphtaou Yarou,Villanova,2010,0.077,0.050,94.74%
2255,Mouphtaou Yarou,Villanova,2011,0.143,0.057,87.72%
2255,Mouphtaou Yarou,Villanova,2012,0.121,0.055,106.59%
2256,Kawhi Leonard,San Diego State,2009,0.098,0.039,120.00%
2256,Kawhi Leonard,San Diego State,2010,0.062,0.017,96.23%
2257,Daniel Orton,Kentucky,2009,0.167,0.077,67.92%
2258,Brandon Knight,Kentucky,2010,0.077,0.031,90.48%
2259,Corey Fisher,Villanova,2009,0.115,0.066,82.89%
2259,Corey Fisher,Villanova,2010,0.119,0.044,95.00%
2260,Damion James,Texas,2009,0.136,0.063,90.43%
2272,Kevin Dillard,Southern Illinois,2009,0.143,0.045,447.83%
2272,Kevin Dillard,Dayton,2011,0.171,0.073,100.00%
2272,Kevin Dillard,Dayton,2012,0.052,0.023,114.29%
2273,Brandon Paul,Illinois,2009,0.125,0.055,89.19%
2273,Brandon Paul,Illinois,2010,0.098,0.050,86.75%
2273,Brandon Paul,Illinois,2011,0.242,0.087,95.60%
2273,Brandon Paul,Illinois,2012,0.143,0.059,91.26%
2277,Jordan Hulls,Indiana,2009,NA,0.000,211.11%
2277,Jordan Hulls,Indiana,2010,0.091,0.025,78.95%
2277,Jordan Hulls,Indiana,2011,0.033,0.008,103.77%
2277,Jordan Hulls,Indiana,2012,0.100,0.016,111.43%
2279,Manny Harris,Michigan,2009,0.162,0.050,89.29%
2280,Terrico White,Ole Miss,2009,0.204,0.067,88.75%
2282,Brandon Triche,Syracuse,2009,0.137,0.081,95.16%
2282,Brandon Triche,Syracuse,2010,0.141,0.068,87.10%
2282,Brandon Triche,Syracuse,2012,0.145,0.071,91.72%
2283,Jonathan Mitchell,Rutgers,2009,0.130,0.043,557.14%
2283,Jonathan Mitchell,Rutgers,2010,0.133,0.052,93.94%
2284,Raymar Morgan,Michigan State,2009,0.154,0.075,91.67%
2298,Patrick Christopher,California,2009,0.038,0.013,110.67%
2300,Bryan Davis,Texas A&M,2009,0.116,0.078,80.68%
2301,Malcolm Delaney,Virginia Tech,2009,0.109,0.054,94.09%
2301,Malcolm Delaney,Virginia Tech,2010,0.066,0.028,79.75%
2302,Devin Ebanks,West Virginia,2009,0.124,0.058,84.40%
2303,Kenneth Faried,Morehead State,2009,0.107,0.057,719.05%
2303,Kenneth Faried,Morehead State,2010,0.075,0.057,120.13%
2304,Roderick Flemings,Hawaii,2009,0.083,0.043,3800.00%
2305,Paul George,Fresno State,2009,0.182,0.077,437.50%
2306,Marcus Ginyard,North Carolina,2009,0.023,0.008,85.94%
2307,Luke Harangody,Notre Dame,2009,0.082,0.033,78.41%
2308,Lazar Hayward,Marquette,2009,0.099,0.041,90.08%
2309,Robbie Hummel,Purdue,2009,0.500,0.061,89.69%
2309,Robbie Hummel,Purdue,2011,0.409,0.034,96.88%
2310,JaJuan Johnson,Purdue,2009,0.185,0.034,89.16%
2310,JaJuan Johnson,Purdue,2010,0.386,0.052,86.46%
2311,Jerome Jordan,Tulsa,2009,0.213,0.100,89.27%
2312,Dwight Lewis,USC,2009,0.081,0.018,88.46%
2313,Kalin Lucas,Michigan State,2009,0.098,0.040,86.40%
2313,Kalin Lucas,Michigan State,2010,0.061,0.024,82.00%
2315,A.J. Ogilvy,Vanderbilt,2009,0.098,0.070,85.79%
2316,Arinze Onuaku,Syracuse,2009,0.125,0.079,90.91%
2317,Quincy Pondexter,Washington,2009,0.208,0.069,85.35%
2318,Stanley Robinson,Connecticut,2009,0.070,0.034,77.22%
2319,Magnum Rolle,Louisiana Tech,2009,0.129,0.056,385.71%
2321,Mac Koshwal,DePaul,2009,0.121,0.078,219.05%
2322,Tyler Smith,Tennessee,2009,0.058,0.041,82.26%
2323,Tyshawn Taylor,Kansas,2009,0.137,0.081,77.92%
2323,Tyshawn Taylor,Kansas,2010,0.080,0.036,81.19%
2323,Tyshawn Taylor,Kansas,2011,0.126,0.058,85.79%
2324,Deon Thompson,North Carolina,2009,0.219,0.041,85.07%
2325,Evan Turner,Ohio State,2009,0.165,0.054,108.73%
2326,Jarvis Varnado,Mississippi State,2009,0.108,0.059,98.78%
2327,Greivis Vasquez,Maryland,2009,0.065,0.021,92.91%
2330,Michael Washington,Arkansas,2009,0.158,0.095,352.94%
2331,Nic Wise,Arizona,2009,0.115,0.042,98.57%
2347,Jamal Boykin,California,2009,0.119,0.040,98.31%
2349,Ray Shipman,Florida,2009,0.103,0.064,86.36%
2352,Mike Mercer,South Florida,2009,0.042,0.021,101.69%
2353,Gary Johnson,Texas,2009,0.139,0.056,98.04%
2353,Gary Johnson,Texas,2010,0.194,0.050,82.14%
2354,E'Twaun Moore,Purdue,2009,0.205,0.035,82.61%
2354,E'Twaun Moore,Purdue,2010,0.194,0.046,89.78%
2355,Alex Legion,Illinois,2009,0.000,0.000,50.00%
2355,Alex Legion,Florida International,2010,NA,NA,NA
2356,Senario Hillman,Alabama,2009,0.029,0.012,85.37%
2356,Senario Hillman,Alabama,2010,0.117,0.055,116.22%
2357,Rick Jackson,Syracuse,2009,0.118,0.081,81.97%
2357,Rick Jackson,Syracuse,2010,0.060,0.037,76.98%
2358,Delvon Roe,Michigan State,2009,0.111,0.068,88.89%
2358,Delvon Roe,Michigan State,2010,0.100,0.067,79.35%
2359,Durrell Summers,Michigan State,2009,0.114,0.050,88.71%
2359,Durrell Summers,Michigan State,2010,0.068,0.035,89.86%
2360,Herb Pope,Seton Hall,2009,0.123,0.064,97.75%
2360,Herb Pope,Seton Hall,2010,0.063,0.039,92.63%
2360,Herb Pope,Seton Hall,2011,0.064,0.045,93.86%
2361,Jon Diebler,Ohio State,2009,0.286,0.103,85.71%
2361,Jon Diebler,Ohio State,2010,0.194,0.120,68.18%
2362,Leslie McDonald,North Carolina,2009,0.154,0.056,96.00%
2362,Leslie McDonald,North Carolina,2010,0.063,0.016,65.52%
2362,Leslie McDonald,North Carolina,2012,0.250,0.032,100.00%
2362,Leslie McDonald,North Carolina,2013,0.077,0.014,100.00%
2363,Trey Thompkins,Georgia,2009,0.095,0.041,87.60%
2363,Trey Thompkins,Georgia,2010,0.180,0.065,97.25%
2364,Darius Miller,Kentucky,2009,0.067,0.014,82.14%
2364,Darius Miller,Kentucky,2010,0.250,0.056,77.78%
2364,Darius Miller,Kentucky,2011,0.244,0.080,98.33%
2365,DeQuan Jones,Miami (FL),2009,0.161,0.058,93.94%
2365,DeQuan Jones,Miami (FL),2010,0.053,0.023,115.79%
2365,DeQuan Jones,Miami (FL),2011,0.171,0.076,97.14%
2366,Tony Woods,Wake Forest,2009,0.080,0.054,97.30%
2366,Tony Woods,Oregon,2011,0.111,0.050,76.67%
2366,Tony Woods,Oregon,2012,0.096,0.051,82.73%
2368,Yancy Gates,Cincinnati,2009,0.094,0.049,91.11%
2368,Yancy Gates,Cincinnati,2010,0.129,0.047,93.28%
2368,Yancy Gates,Cincinnati,2011,0.089,0.044,92.86%
2369,Draymond Green,Michigan State,2009,0.122,0.064,104.88%
2369,Draymond Green,Michigan State,2010,0.085,0.037,89.55%
2369,Draymond Green,Michigan State,2011,0.147,0.069,92.52%
2370,Kevin Jones,West Virginia,2009,0.071,0.036,82.18%
2370,Kevin Jones,West Virginia,2010,0.056,0.026,74.12%
2370,Kevin Jones,West Virginia,2011,0.072,0.037,89.72%
2371,Henry Sims,Georgetown,2009,0.300,0.158,153.33%
2371,Henry Sims,Georgetown,2010,0.073,0.041,88.57%
2371,Henry Sims,Georgetown,2011,0.090,0.040,94.66%
2372,Harrison Barnes,North Carolina,2010,0.306,0.072,93.62%
2372,Harrison Barnes,North Carolina,2011,0.200,0.044,87.14%
2374,Joshua Smith,UCLA,2010,0.075,0.060,95.80%
2374,Joshua Smith,UCLA,2011,0.133,0.117,97.50%
2374,Joshua Smith,UCLA,2012,0.125,0.100,140.00%
2374,Joshua Smith,Georgetown,2013,0.153,0.133,90.48%
2374,Joshua Smith,Georgetown,2014,0.068,0.053,83.87%
2375,Jared Sullinger,Ohio State,2010,0.159,0.082,83.40%
2375,Jared Sullinger,Ohio State,2011,0.146,0.063,84.21%
2376,Tyler Honeycutt,UCLA,2009,0.143,0.077,245.45%
2376,Tyler Honeycutt,UCLA,2010,0.106,0.053,96.77%
2377,John Jenkins,Vanderbilt,2009,0.200,0.063,94.12%
2377,John Jenkins,Vanderbilt,2010,0.100,0.039,100.80%
2377,John Jenkins,Vanderbilt,2011,0.167,0.069,93.71%
2378,Mfon Udofia,Georgia Tech,2009,0.073,0.033,87.23%
2378,Mfon Udofia,Georgia Tech,2010,0.034,0.017,67.53%
2378,Mfon Udofia,Georgia Tech,2011,0.105,0.042,409.09%
2378,Mfon Udofia,Georgia Tech,2012,0.071,0.030,337.50%
2379,Durand Scott,Miami (FL),2009,0.124,0.058,88.24%
2379,Durand Scott,Miami (FL),2010,0.132,0.062,94.31%
2379,Durand Scott,Miami (FL),2011,0.122,0.049,98.94%
2379,Durand Scott,Miami (FL),2012,0.145,0.062,108.64%
2380,Terrell Vinson,Massachusetts,2009,0.214,0.068,202.50%
2380,Terrell Vinson,Massachusetts,2010,NA,NA,NA
