GMID,Name,School,Year,A1PerRimAtt,A1Per2PT,PercFTsShootF
16618,Eugene Phelps,Long Beach State,2009,0.059,0.029,425.00%
16618,Eugene Phelps,Long Beach State,2010,0.162,0.066,100.88%
16618,Eugene Phelps,Long Beach State,2011,0.153,0.062,135.16%
16619,Greg Plater,Long Beach State,2009,0.000,0.000,625.00%
16619,Greg Plater,Long Beach State,2010,0.250,0.060,156.25%
16620,Jerramy King,Long Beach State,2009,1.000,1.000,500.00%
16620,Jerramy King,Long Beach State,2010,0.000,0.000,100.00%
16621,Jules Montgomery,Prairie View A&M,2011,0.000,0.000,2400.00%
16621,Jules Montgomery,Prairie View A&M,2012,0.000,0.000,1150.00%
16621,Jules Montgomery,Prairie View A&M,2013,0.000,0.000,720.00%
16622,Kyle Richardson,Long Beach State,2009,NA,NA,200.00%
16622,Kyle Richardson,Long Beach State,2010,0.000,0.000,50.00%
16622,Kyle Richardson,Long Beach State,2012,0.000,0.000,600.00%
16622,Kyle Richardson,Portland State,2013,0.111,0.071,2233.33%
16623,Larry Anderson,Long Beach State,2009,0.136,0.070,532.00%
16623,Larry Anderson,Long Beach State,2010,0.142,0.090,117.20%
16623,Larry Anderson,Long Beach State,2011,0.088,0.045,110.91%
16624,Lin Chang,Long Beach State,2009,NA,NA,NA
16624,Lin Chang,Long Beach State,2010,0.143,0.091,77.78%
16625,Mike Vantrimpont,Long Beach State,2009,NA,NA,NA
16625,Mike Vantrimpont,Long Beach State,2010,NA,NA,NA
16625,Mike Vantrimpont,Long Beach State,2011,NA,0.000,100.00%
16626,Sean Starkey,Long Beach State,2010,NA,0.000,100.00%
16626,Sean Starkey,Long Beach State,2011,0.000,0.000,NA
16627,Tristan Wilson,Long Beach State,2010,0.095,0.027,104.00%
16635,Darnell Porter,South Carolina State,2009,0.000,0.000,2660.00%
16635,Darnell Porter,South Carolina State,2010,0.000,0.000,871.43%
16672,Allen Huddleston,Pacific,2009,0.118,0.061,156.10%
16672,Allen Huddleston,Pacific,2010,0.100,0.056,950.00%
16672,Allen Huddleston,Fresno State,2012,0.071,0.030,196.61%
16672,Allen Huddleston,Fresno State,2013,0.143,0.105,440.00%
16674,Demetrece Young,Pacific,2009,0.125,0.018,155.81%
16674,Demetrece Young,Pacific,2010,0.000,0.000,800.00%
16675,Everson Lacerda,Pacific,2009,0.000,0.000,100.00%
16676,Jordan Turner,Pacific,2009,0.000,0.000,NA
16676,Jordan Turner,Pacific,2010,NA,NA,NA
16676,Jordan Turner,Pacific,2011,NA,0.000,NA
16676,Jordan Turner,Pacific,2012,NA,NA,0.00%
16677,Lavar Neufville,Pacific,2009,0.000,0.000,200.00%
16678,Michael Nunnally,Pacific,2009,0.114,0.052,135.29%
16679,Nick Peterson,Pacific,2009,NA,NA,0.00%
16680,Nyika Williams,Pacific,2009,0.300,0.162,123.81%
16680,Nyika Williams,Pacific,2010,0.182,0.067,450.00%
16681,Pat Eveland,Pacific,2009,0.071,0.033,95.00%
16681,Pat Eveland,Pacific,2010,1.000,0.125,2150.00%
16682,Reed Kamler,Pacific,2009,#N/A,#N/A,#VALUE!
16682,Reed Kamler,Pacific,2012,#N/A,#N/A,#VALUE!
16683,Royal Edwards,Pacific,2009,NA,0.000,NA
16684,Stephon Lamar,Pacific,2009,0.250,0.200,128.57%
16684,Stephon Lamar,Pacific,2010,0.000,0.000,NA
16685,Sterling Carter,Seattle,2010,0.000,0.000,6700.00%
16685,Sterling Carter,Seattle,2011,0.000,0.000,500.00%
16685,Sterling Carter,Seattle,2012,0.000,0.000,NA
16685,Sterling Carter,Purdue,2013,0.056,0.032,85.00%
16686,Terrell Smith,Pacific,2009,0.214,0.071,160.00%
16686,Terrell Smith,Pacific,2010,0.000,0.000,575.00%
16730,Adam Malik,UC Davis,2009,NA,0.000,NA
16730,Adam Malik,UC Davis,2011,0.000,0.000,NA
16731,DeAndre Medlock,UC Davis,2009,NA,NA,NA
16732,Jacob Ranger,UC Davis,2009,0.000,0.000,NA
16733,Julian Welch,UC Davis,2009,2.000,1.000,3300.00%
16733,Julian Welch,Minnesota,2011,0.061,0.024,96.05%
16733,Julian Welch,Minnesota,2012,0.077,0.026,57.69%
16734,Mark Payne,UC Davis,2009,0.500,0.167,1300.00%
16734,Mark Payne,UC Davis,2010,0.100,0.059,2340.00%
16735,Ryan Silva,UC Davis,2009,NA,NA,NA
16735,Ryan Silva,UC Davis,2010,0.000,0.000,NA
16735,Ryan Silva,UC Davis,2011,#N/A,#N/A,#VALUE!
16736,Ryan Sypkens,UC Davis,2009,NA,0.000,800.00%
16736,Ryan Sypkens,UC Davis,2010,0.000,0.000,NA
16736,Ryan Sypkens,UC Davis,2011,NA,0.000,NA
16736,Ryan Sypkens,UC Davis,2012,0.000,0.000,1050.00%
16736,Ryan Sypkens,UC Davis,2013,0.000,0.000,NA
16737,Ryan Howley,UC Davis,2009,NA,NA,NA
16737,Ryan Howley,UC Davis,2010,NA,NA,NA
16737,Ryan Howley,UC Davis,2011,0.167,0.143,250.00%
16737,Ryan Howley,UC Davis,2012,0.000,0.000,733.33%
16762,Adam Folker,UC Irvine,2009,0.000,0.000,360.00%
16762,Adam Folker,UC Irvine,2011,0.080,0.053,745.45%
16762,Adam Folker,UC Irvine,2012,0.048,0.036,737.50%
16763,Brandon Scott,UC Irvine,2009,NA,NA,NA
16764,Derrick Flowers,UC Irvine,2009,0.000,0.000,200.00%
16764,Derrick Flowers,UC Irvine,2010,0.000,0.000,NA
16764,Derrick Flowers,UC Irvine,2011,0.125,0.059,1016.67%
16764,Derrick Flowers,UC Irvine,2012,0.000,0.000,400.00%
16765,Derrick Strings,UC Irvine,2009,NA,0.000,NA
16765,Derrick Strings,UC Irvine,2010,NA,0.000,NA
16766,Emil Kim,UC Irvine,2009,NA,NA,NA
16766,Emil Kim,UC Irvine,2010,NA,0.000,NA
16767,Jonas Lalehzadeh,UC Irvine,2009,NA,NA,NA
16767,Jonas Lalehzadeh,UC Irvine,2010,#N/A,#N/A,#VALUE!
16768,Michael Vincent Hunter,UC Irvine,2009,0.000,0.000,NA
16769,Mike Wilder,UC Irvine,2009,0.000,0.000,650.00%
16769,Mike Wilder,UC Irvine,2010,NA,0.167,1700.00%
16769,Mike Wilder,UC Irvine,2011,0.667,0.250,336.36%
16769,Mike Wilder,UC Irvine,2012,0.000,0.000,384.62%
16770,Patrick Rembert,UC Irvine,2009,0.000,0.000,2500.00%
16770,Patrick Rembert,UC Irvine,2010,0.100,0.044,681.25%
16771,Pavol Losonsky,UC Irvine,2009,0.000,0.000,350.00%
16771,Pavol Losonsky,UC Irvine,2010,0.000,0.000,350.00%
16772,Peter Simek,UC Irvine,2009,0.000,0.000,NA
16772,Peter Simek,UC Irvine,2010,NA,0.000,NA
16773,Rashaad Ubah,UC Irvine,2009,#N/A,#N/A,#VALUE!
16774,Zach Atkinson,UC Irvine,2009,0.000,0.000,NA
16777,Joe Eberhard,Sacramento State,2011,0.000,0.000,2350.00%
16777,Joe Eberhard,Sacramento State,2012,0.000,0.000,1900.00%
16784,Matt Ballard,San Jose State,2010,0.000,0.000,266.67%
16784,Matt Ballard,San Jose State,2011,0.000,0.000,1600.00%
16814,Bryson Hampton,UC Riverside,2009,0.000,0.000,533.33%
16815,Colin Chadwick,UC Riverside,2009,#N/A,#N/A,#VALUE!
16816,David Chavarria,UC Riverside,2009,0.000,0.000,175.00%
16816,David Chavarria,UC Riverside,2011,NA,NA,NA
16817,Dwight Gordon,UC Riverside,2009,0.111,0.037,1033.33%
16818,Idris Dawud Alvarado,UC Riverside,2009,#N/A,#N/A,#VALUE!
16819,Jalonni Diggs,UC Riverside,2009,NA,NA,NA
16820,Javon Borum,UC Riverside,2010,0.125,0.033,636.36%
16821,Jesse LoBue,UC Riverside,2009,NA,0.000,NA
16823,Konner Veteto,UC Riverside,2009,0.077,0.048,321.43%
16823,Konner Veteto,Sacramento State,2011,NA,NA,NA
16823,Konner Veteto,Sacramento State,2012,0.182,0.105,1000.00%
16824,Lateef McMullan,UC Riverside,2009,0.000,0.000,475.00%
16824,Lateef McMullan,Portland State,2011,0.111,0.043,809.09%
16824,Lateef McMullan,Portland State,2012,0.000,0.000,1550.00%
16825,Niko Brooks,UC Riverside,2009,NA,NA,NA
16826,Rudy Meo,UC Riverside,2009,NA,0.000,750.00%
16827,Sean Cunningham,UC Riverside,2009,0.500,0.111,433.33%
16882,Chris Brew,UC Santa Barbara,2009,0.000,0.000,700.00%
16883,Christian Peterson,UC Santa Barbara,2009,#N/A,#N/A,#VALUE!
16883,Christian Peterson,UC Santa Barbara,2010,NA,NA,400.00%
16883,Christian Peterson,UC Santa Barbara,2011,NA,0.000,NA
16884,Greg Somogyi,UC Santa Barbara,2009,0.143,0.050,433.33%
16884,Greg Somogyi,UC Santa Barbara,2010,0.000,0.000,325.00%
16884,Greg Somogyi,UC Santa Barbara,2011,0.375,0.120,242.86%
16886,Jaime Serna,UC Santa Barbara,2009,0.000,0.000,2700.00%
16886,Jaime Serna,UC Santa Barbara,2010,0.000,0.000,2500.00%
16886,Jaime Serna,UC Santa Barbara,2011,0.000,0.000,660.00%
16887,James Nunnally,UC Santa Barbara,2009,0.000,0.000,1027.27%
16887,James Nunnally,UC Santa Barbara,2010,0.056,0.023,363.33%
16887,James Nunnally,UC Santa Barbara,2011,0.200,0.025,877.78%
16888,James Powell,UC Santa Barbara,2009,1.000,0.143,3600.00%
16889,Jordan Weiner,UC Santa Barbara,2009,NA,NA,500.00%
16889,Jordan Weiner,UC Santa Barbara,2010,NA,0.000,900.00%
16890,Justin Joyner,UC Santa Barbara,2009,NA,NA,800.00%
16890,Justin Joyner,UC Santa Barbara,2010,0.000,0.000,466.67%
16891,Lucas Devenny,UC Santa Barbara,2009,NA,0.250,366.67%
16891,Lucas Devenny,UC Santa Barbara,2010,NA,0.000,200.00%
16891,Lucas Devenny,UC Riverside,2012,NA,NA,NA
16891,Lucas Devenny,UC Riverside,2013,0.000,0.000,250.00%
16892,Paul Roemer,UC Santa Barbara,2009,0.000,0.000,NA
16893,Sam Phippen,UC Santa Barbara,2009,NA,0.000,NA
16894,Seth Kamphoefner,UC Santa Barbara,2009,#N/A,#N/A,#VALUE!
16894,Seth Kamphoefner,UC Santa Barbara,2010,#N/A,#N/A,#VALUE!
16895,Will Brew,UC Santa Barbara,2009,0.000,0.000,883.33%
16895,Will Brew,UC Santa Barbara,2010,0.000,0.000,NA
16905,Emmanuel Bidias a Moute,Texas State,2009,0.111,0.050,916.67%
16933,Alex Newlin,SIU-Edwardsville,2009,#N/A,#N/A,#VALUE!
16933,Alex Newlin,SIU-Edwardsville,2010,0.000,0.000,NA
16934,Blake Jolivette,American University,2009,0.000,0.000,800.00%
16934,Blake Jolivette,American University,2010,NA,0.500,100.00%
16934,Blake Jolivette,American University,2011,0.000,0.000,737.50%
16934,Blake Jolivette,American University,2012,0.000,0.000,400.00%
16935,Daniel Fisher,American University,2009,1.000,0.333,100.00%
16935,Daniel Fisher,American University,2010,0.000,0.000,NA
16935,Daniel Fisher,American University,2011,NA,0.000,NA
16935,Daniel Fisher,American University,2012,0.000,0.000,200.00%
16936,Daniel Munoz (2),American University,2009,0.000,0.000,750.00%
16936,Daniel Munoz (2),American University,2010,0.000,0.000,1400.00%
16936,Daniel Munoz (2),American University,2011,0.000,0.000,654.55%
16936,Daniel Munoz (2),American University,2012,0.000,0.000,1133.33%
16937,Jeff Holton,American University,2009,NA,NA,NA
16938,Joe Hill (2),American University,2009,NA,NA,NA
16938,Joe Hill (2),American University,2010,NA,NA,NA
16938,Joe Hill (2),American University,2011,NA,NA,NA
16939,Jordan Borucki,American University,2009,#N/A,#N/A,#VALUE!
16939,Jordan Borucki,American University,2010,0.000,0.000,NA
16939,Jordan Borucki,American University,2011,#N/A,#N/A,#VALUE!
16939,Jordan Borucki,American University,2013,#N/A,#N/A,#VALUE!
16941,Matthew Wilson,American University,2009,0.000,0.000,1400.00%
16942,Mike Bersch,American University,2009,NA,NA,NA
16942,Mike Bersch,American University,2010,#N/A,#N/A,#VALUE!
16942,Mike Bersch,American University,2011,NA,NA,NA
16942,Mike Bersch,American University,2012,0.000,0.000,100.00%
16943,Nick Hendra,American University,2009,0.000,0.000,633.33%
16943,Nick Hendra,American University,2010,0.000,0.000,500.00%
16944,Riley Grafft,American University,2009,0.000,0.000,600.00%
16944,Riley Grafft,American University,2010,NA,0.000,NA
16944,Riley Grafft,American University,2011,0.000,0.000,700.00%
16945,Simon McCormack,American University,2009,0.000,0.000,NA
16945,Simon McCormack,American University,2010,0.000,0.000,400.00%
16945,Simon McCormack,American University,2011,0.000,0.000,NA
16946,Stephen Lumpkins,American University,2009,0.091,0.045,2580.00%
16946,Stephen Lumpkins,American University,2010,0.000,0.000,1966.67%
16946,Stephen Lumpkins,American University,2012,0.143,0.074,481.25%
16947,Steve Luptak,American University,2009,NA,0.000,NA
16947,Steve Luptak,American University,2010,0.000,0.000,NA
16948,Vlad Moldoveanu,American University,2009,NA,0.000,NA
16948,Vlad Moldoveanu,American University,2010,0.000,0.000,752.38%
16982,Chris Walker,Army,2009,0.000,0.000,NA
16983,Cleveland Richard,Army,2009,0.000,0.000,3850.00%
16984,Ella Ellis,Army,2009,0.000,0.000,1000.00%
16984,Ella Ellis,Army,2010,0.667,0.133,1112.50%
16984,Ella Ellis,Army,2011,0.091,0.040,700.00%
16984,Ella Ellis,Army,2012,0.133,0.080,712.50%
16986,Jason Pancoe,Army,2009,NA,NA,NA
16986,Jason Pancoe,Army,2010,NA,0.000,600.00%
16986,Jason Pancoe,Army,2011,0.000,0.000,NA
16987,Jeremy Hence,Army,2009,0.000,0.000,1050.00%
16987,Jeremy Hence,Army,2010,0.053,0.040,809.09%
16988,Joe Clark,Army,2009,#N/A,#N/A,#VALUE!
16989,Jon Sizemore,Army,2009,0.000,0.000,NA
16990,Jordan Springer,Army,2009,NA,NA,NA
16990,Jordan Springer,Army,2010,0.000,0.000,NA
16990,Jordan Springer,Army,2011,0.000,0.000,625.00%
16990,Jordan Springer,Army,2012,0.000,0.000,1100.00%
16991,Josh Miller,Army,2009,0.000,0.000,900.00%
16992,Julian Simmons,Army,2009,NA,0.000,1700.00%
16992,Julian Simmons,Army,2010,0.000,0.000,6800.00%
16992,Julian Simmons,Army,2011,0.000,0.000,866.67%
16994,Marcus Nelson,Army,2009,0.000,0.000,2500.00%
16995,Mitch McDonald,Army,2009,NA,NA,NA
16995,Mitch McDonald,Army,2010,0.000,0.000,NA
16996,Nathan Hedgecock,Army,2009,#N/A,#N/A,#VALUE!
16996,Nathan Hedgecock,Army,2010,NA,NA,NA
16998,Tyrell Thompson,Army,2009,NA,NA,NA
17002,Jesse Steele,Monmouth,2010,0.000,0.000,NA
17002,Jesse Steele,Monmouth,2011,0.091,0.043,618.18%
17002,Jesse Steele,Monmouth,2012,0.000,0.000,2950.00%
17024,David Thomas,Grambling State,2009,NA,0.000,NA
17056,Bryan Cohen,Bucknell,2009,0.000,0.000,4000.00%
17056,Bryan Cohen,Bucknell,2010,0.023,0.011,155.88%
17056,Bryan Cohen,Bucknell,2011,0.136,0.065,98.25%
17057,Bryson Johnson,Bucknell,2009,NA,0.000,1133.33%
17057,Bryson Johnson,Bucknell,2010,0.200,0.100,124.00%
17057,Bryson Johnson,Bucknell,2011,0.167,0.053,132.43%
17057,Bryson Johnson,Bucknell,2012,0.174,0.069,163.64%
17058,Colin Klebon,Bucknell,2009,0.000,0.000,400.00%
17058,Colin Klebon,Bucknell,2010,0.000,0.000,116.67%
17058,Colin Klebon,Bucknell,2011,0.167,0.125,140.00%
17058,Colin Klebon,Bucknell,2012,0.333,0.250,50.00%
17059,D.J. Rowe,Bucknell,2009,#N/A,#N/A,#VALUE!
17060,Darryl Shazier,Bucknell,2009,0.000,0.000,1500.00%
17060,Darryl Shazier,Bucknell,2010,0.070,0.036,155.00%
17061,Enoch Andoh,Bucknell,2009,0.000,0.000,NA
17061,Enoch Andoh,Bucknell,2010,0.182,0.105,125.00%
17061,Enoch Andoh,Bucknell,2011,0.000,0.000,109.09%
17062,G.W. Boon,Bucknell,2009,NA,0.000,363.64%
17062,G.W. Boon,Bucknell,2010,0.118,0.056,104.26%
17063,Joe Willman,Bucknell,2009,0.000,0.000,800.00%
17063,Joe Willman,Bucknell,2010,0.091,0.021,144.44%
17063,Joe Willman,Bucknell,2011,0.095,0.020,71.43%
17063,Joe Willman,Bucknell,2012,0.018,0.005,135.90%
17064,Matt Fiery,Bucknell,2009,NA,NA,NA
17065,Mike Muscala,Bucknell,2009,0.000,0.000,NA
17065,Mike Muscala,Bucknell,2010,0.172,0.079,137.78%
17065,Mike Muscala,Bucknell,2011,0.065,0.031,112.03%
17065,Mike Muscala,Bucknell,2012,0.132,0.065,131.65%
17066,Patrick Behan,Bucknell,2009,0.000,0.000,NA
17067,Probese Leo,Bucknell,2009,NA,0.000,NA
17067,Probese Leo,Bucknell,2010,0.000,0.000,100.00%
17067,Probese Leo,Bucknell,2011,0.500,0.500,100.00%
17069,Stephen Tyree,Bucknell,2009,0.333,0.111,1420.00%
17069,Stephen Tyree,Bucknell,2010,0.000,0.000,50.00%
17070,Zach Evans,Bucknell,2009,NA,0.000,NA
17103,Anthony Hill (2),Colgate,2009,NA,0.000,NA
17103,Anthony Hill (2),Houston Baptist,2011,0.000,0.000,700.00%
17103,Anthony Hill (2),Houston Baptist,2012,0.000,0.000,NA
17104,Ben Jonson,Colgate,2009,0.500,0.200,950.00%
17105,Brandon James,Colgate,2009,1.000,0.500,233.33%
17105,Brandon James,Colgate,2010,0.400,0.125,244.44%
17105,Brandon James,Colgate,2011,0.000,0.000,1200.00%
17105,Brandon James,Colgate,2012,0.000,0.000,NA
17106,Brett Marfurt,Colgate,2009,NA,0.000,200.00%
17107,Joe Hoban,Colgate,2009,0.000,0.000,NA
17107,Joe Hoban,Colgate,2010,0.091,0.067,373.33%
17108,Kyle Roemer,Colgate,2009,0.333,0.071,7400.00%
17109,Lazar Bogdanovic,Colgate,2009,0.000,0.000,100.00%
17109,Lazar Bogdanovic,Colgate,2010,0.000,0.000,200.00%
17109,Lazar Bogdanovic,Colgate,2011,NA,NA,NA
17109,Lazar Bogdanovic,Colgate,2012,NA,0.000,NA
17110,Mike Venezia,Colgate,2009,0.000,0.000,NA
17110,Mike Venezia,Colgate,2010,NA,0.000,1166.67%
17110,Mike Venezia,Colgate,2011,0.000,0.000,2350.00%
17111,Mitch Rolls,Colgate,2009,NA,0.000,NA
17111,Mitch Rolls,Colgate,2010,0.000,0.000,1900.00%
17111,Mitch Rolls,Colgate,2011,0.000,0.000,1100.00%
17111,Mitch Rolls,Colgate,2012,0.000,0.000,320.00%
17112,Nick Pascale,Colgate,2009,0.000,0.000,850.00%
17112,Nick Pascale,Colgate,2010,0.000,0.000,3400.00%
17112,Nick Pascale,Colgate,2011,0.000,0.000,714.29%
17113,Patrick Liengueu,Colgate,2009,NA,NA,NA
17114,Sterling Melville,Colgate,2009,0.500,0.500,900.00%
17114,Sterling Melville,Colgate,2010,0.100,0.067,421.05%
17114,Sterling Melville,Colgate,2011,0.000,0.000,642.86%
17115,Yaw Gyawu,Colgate,2009,0.000,0.000,2750.00%
17115,Yaw Gyawu,Colgate,2010,0.000,0.000,920.00%
17115,Yaw Gyawu,Colgate,2011,0.000,0.000,1200.00%
17150,Adam May,Holy Cross,2009,0.000,0.000,400.00%
17151,Andrew Beinert,Holy Cross,2009,0.333,0.167,2500.00%
17151,Andrew Beinert,Holy Cross,2010,0.000,0.000,4700.00%
17152,Andrew Keister,Holy Cross,2009,0.083,0.048,1375.00%
17152,Andrew Keister,Holy Cross,2010,0.071,0.050,7300.00%
17153,Charlie Mills,Holy Cross,2009,#N/A,#N/A,#VALUE!
17153,Charlie Mills,Holy Cross,2010,#N/A,#N/A,#VALUE!
17153,Charlie Mills,Holy Cross,2011,#N/A,#N/A,#VALUE!
17154,Dee Goens,Holy Cross,2009,0.000,0.000,850.00%
17154,Dee Goens,Holy Cross,2010,0.000,0.000,150.00%
17154,Dee Goens,Holy Cross,2011,0.000,0.000,NA
17154,Dee Goens,Holy Cross,2012,0.000,0.000,800.00%
17155,Devin Brown,Holy Cross,2009,0.000,0.000,1350.00%
17155,Devin Brown,Holy Cross,2010,0.000,0.000,3950.00%
17155,Devin Brown,Holy Cross,2011,0.167,0.083,1010.00%
17156,Eric Obeysekere,Holy Cross,2009,0.000,0.000,NA
17156,Eric Obeysekere,Holy Cross,2010,0.333,0.200,625.00%
17156,Eric Obeysekere,Holy Cross,2011,0.000,0.000,1200.00%
17156,Eric Obeysekere,Holy Cross,2012,0.000,0.000,NA
17157,Eric Meister,Holy Cross,2009,0.000,0.000,650.00%
17158,Jeff Harris,Holy Cross,2010,NA,NA,NA
17158,Jeff Harris,Holy Cross,2011,NA,NA,NA
17159,Jordan Stevens,Holy Cross,2009,NA,NA,NA
17159,Jordan Stevens,Holy Cross,2010,NA,0.000,366.67%
17159,Jordan Stevens,Holy Cross,2011,0.000,0.000,NA
17159,Jordan Stevens,Holy Cross,2012,0.000,0.000,633.33%
17160,Josh Jones (2),Holy Cross,2009,0.000,0.000,NA
17160,Josh Jones (2),Holy Cross,2010,1.000,0.167,328.57%
17161,Phil Beans,Holy Cross,2009,0.000,0.000,100.00%
17161,Phil Beans,Holy Cross,2010,0.000,0.000,NA
17161,Phil Beans,Holy Cross,2011,0.000,0.000,1100.00%
17161,Phil Beans,Holy Cross,2012,0.000,0.000,925.00%
17162,R.J. Evans,Holy Cross,2009,0.091,0.067,526.09%
17162,R.J. Evans,Holy Cross,2010,0.125,0.105,171.43%
17162,R.J. Evans,Holy Cross,2011,0.087,0.061,1033.33%
17162,R.J. Evans,Connecticut,2012,0.071,0.049,116.67%
17194,Alex Orchowski,Lafayette,2009,NA,NA,NA
17195,Andy Moore,Lafayette,2009,NA,NA,NA
17195,Andy Moore,Lafayette,2010,NA,NA,NA
17196,Ben Wheeler,Lafayette,2009,0.000,0.000,NA
17196,Ben Wheeler,Lafayette,2010,NA,0.000,300.00%
17197,Darion Benbow,Lafayette,2009,0.000,0.000,NA
17197,Darion Benbow,Lafayette,2010,0.000,0.000,3000.00%
17198,Deirunas Visockas,Boston College,2011,NA,NA,NA
17199,J.D. Pelham,Lafayette,2009,NA,NA,NA
17199,J.D. Pelham,Lafayette,2010,NA,NA,NA
17199,J.D. Pelham,Lafayette,2011,NA,0.000,100.00%
17200,Jared Mintz,Lafayette,2009,0.000,0.000,1833.33%
17200,Jared Mintz,Lafayette,2010,0.105,0.051,709.09%
17201,Jeff Kari,Lafayette,2009,0.000,0.000,9000.00%
17202,Jim Mower,Lafayette,2009,0.000,0.000,NA
17202,Jim Mower,Lafayette,2010,0.286,0.200,662.50%
17202,Jim Mower,Lafayette,2011,0.100,0.065,1157.14%
17203,Levi Giese,Lafayette,2009,NA,0.000,NA
17203,Levi Giese,Lafayette,2010,0.000,0.000,1100.00%
17203,Levi Giese,Lafayette,2011,0.000,0.000,NA
17203,Levi Giese,Lafayette,2012,0.000,0.000,800.00%
17204,Marek Koltun,Lafayette,2009,NA,NA,NA
17205,Michael Gruner,Lafayette,2009,0.500,0.333,2266.67%
17206,Nick Petkovich,Lafayette,2009,NA,0.000,NA
17206,Nick Petkovich,Lafayette,2010,NA,0.000,NA
17206,Nick Petkovich,Lafayette,2011,0.000,0.000,1000.00%
17208,Rob Delaney,Lafayette,2009,0.000,0.000,NA
17208,Rob Delaney,Lafayette,2010,0.000,0.000,NA
17208,Rob Delaney,Lafayette,2011,0.000,0.000,400.00%
17209,Ryan Willen,Lafayette,2009,0.000,0.000,NA
17209,Ryan Willen,Lafayette,2010,0.250,0.125,775.00%
17209,Ryan Willen,Lafayette,2011,0.100,0.061,658.33%
17210,Tony Johnson,Lafayette,2009,NA,NA,NA
17210,Tony Johnson,Lafayette,2010,0.100,0.059,814.29%
17210,Tony Johnson,Lafayette,2011,0.000,0.000,900.00%
17210,Tony Johnson,Lafayette,2012,0.032,0.019,540.00%
17251,C.J. McCollum,Lehigh,2009,0.091,0.050,506.90%
17251,C.J. McCollum,Lehigh,2010,0.100,0.034,555.17%
17251,C.J. McCollum,Lehigh,2011,0.147,0.067,131.43%
17251,C.J. McCollum,Lehigh,2012,0.102,0.049,140.91%
17252,Dave Buchberger,Lehigh,2009,0.000,0.000,650.00%
17253,David Safstrom,Lehigh,2009,NA,NA,100.00%
17253,David Safstrom,Lehigh,2010,0.000,0.000,350.00%
17254,Gabe Knutson,Lehigh,2009,0.000,0.000,2050.00%
17254,Gabe Knutson,Lehigh,2010,0.053,0.030,526.09%
17254,Gabe Knutson,Lehigh,2011,0.090,0.068,139.29%
17254,Gabe Knutson,Lehigh,2012,0.122,0.076,134.78%
17255,Holden Greiner,Lehigh,2009,0.000,0.000,NA
17255,Holden Greiner,Lehigh,2010,0.000,0.000,1750.00%
17255,Holden Greiner,Lehigh,2011,0.162,0.086,119.57%
17255,Holden Greiner,Lehigh,2012,0.097,0.059,132.08%
17256,John Adams,Lehigh,2009,0.000,0.000,NA
17256,John Adams,Lehigh,2010,0.000,0.000,NA
17256,John Adams,Lehigh,2011,0.059,0.040,126.09%
17257,Jordan Hamilton (2),Lehigh,2009,NA,NA,300.00%
17257,Jordan Hamilton (2),Lehigh,2010,0.000,0.000,666.67%
17257,Jordan Hamilton (2),Lehigh,2011,0.103,0.075,155.17%
17258,Justin Maneri,Lehigh,2009,NA,0.000,550.00%
17258,Justin Maneri,Lehigh,2010,0.000,0.000,300.00%
17258,Justin Maneri,Lehigh,2011,0.071,0.041,77.42%
17259,Marquis Hall,Lehigh,2009,0.000,0.000,1875.00%
17260,Matt Shamis,Lehigh,2009,NA,NA,300.00%
17261,Michael Ojo,Lehigh,2009,0.000,0.000,NA
17261,Michael Ojo,Lehigh,2010,0.000,0.000,1525.00%
17262,Prentice Small,Lehigh,2009,NA,0.000,NA
17262,Prentice Small,Lehigh,2010,0.000,0.000,500.00%
17263,Rob Keefer,Lehigh,2009,0.500,0.105,550.00%
17263,Rob Keefer,Lehigh,2010,0.000,0.000,125.00%
17264,Ryan Peters,Lehigh,2009,NA,NA,NA
17265,Zahir Carrington,Lehigh,2009,0.200,0.087,1450.00%
17300,Alex Newsome,Navy,2009,0.000,0.000,600.00%
17301,Carlton Smith,Navy,2009,NA,NA,NA
17301,Carlton Smith,Navy,2010,0.000,0.000,NA
17301,Carlton Smith,Navy,2011,0.000,0.000,NA
17302,Chris Harris,Navy,2009,0.000,0.000,1937.50%
17303,Greg Brown,Navy,2009,NA,0.200,540.00%
17303,Greg Brown,Navy,2010,0.000,0.000,2750.00%
17304,Jeremy Wilson,Navy,2009,0.125,0.100,2900.00%
17305,Jordan Sugars,Navy,2009,0.000,0.000,1500.00%
17305,Jordan Sugars,Navy,2010,0.000,0.000,1675.00%
17305,Jordan Sugars,Navy,2011,0.188,0.130,781.82%
17306,Mark Veazey,Navy,2009,0.000,0.000,750.00%
17306,Mark Veazey,Navy,2010,0.000,0.000,1500.00%
17307,Montez Blair,Navy,2009,NA,0.000,NA
17307,Montez Blair,Cornell,2013,NA,0.000,NA
17308,Pete Banos,Navy,2009,#N/A,#N/A,#VALUE!
17309,Romeo Garcia,Navy,2009,0.000,0.000,NA
17309,Romeo Garcia,Navy,2010,0.000,0.000,NA
17310,Scott Brooks,Navy,2009,NA,0.000,100.00%
17311,T.J. Topercer,Navy,2009,0.000,0.000,NA
17312,Ted Connolly,Navy,2009,NA,NA,NA
17312,Ted Connolly,Navy,2010,0.000,0.000,NA
17312,Ted Connolly,Navy,2011,NA,NA,NA
17359,Alex Johnson,Cal State Bakersfield,2010,1.000,0.125,1520.00%
17359,Alex Johnson,NC State,2011,0.074,0.040,75.00%
