GMID,Name,School,Year,Grade,S2PA,S2PM,S2PMAss,DunkA,DunkM,DunkAss,L2PA,L2PM,L2PMAss,A3P,M3P,Ass3PM,FTA,FTM
14662,Reggie Porter,Alabama A&M ,2009,Jr,6,3,0,0,0,0,6,1,0,15,4,3,9,8
14657,Khiry White,Alabama A&M ,2009,RS-Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14645,Adam Young,Alabama A&M ,2009,Fr,53,27,9,1,1,1,43,10,2,6,0,0,33,19
14725,Stephawn Brown,Alabama State,2009,Fr,1,1,0,0,0,0,1,1,1,1,0,0,2,1
14726,Tramaine Butler,Alabama State,2009,RS-Jr,109,57,13,8,8,1,60,20,12,88,26,22,140,73
14714,Chris Duncan,Alabama State,2009,Jr,55,32,16,9,8,6,54,18,11,36,6,5,46,29
14719,Jevon Freeman,Alabama State,2009,Jr,2,0,0,0,0,0,0,0,0,0,0,0,8,4
14720,Jordan Jefferson,Alabama State,2009,RS-Fr,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14715,Derrick Johnson,Alabama State,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14718,Jeffery Middlebrooks,Alabama State,2009,So,8,2,0,0,0,0,14,2,0,21,5,3,21,10
14724,Sekari Milligen,Alabama State,2009,So,13,6,4,0,0,0,18,6,3,80,22,21,18,12
14727,Tramyne Moorer,Alabama State,2009,Jr,125,72,41,11,9,6,87,35,19,30,8,6,167,117
14717,Jadarren Mumpfield,Alabama State,2009,Jr,2,1,0,0,0,0,1,1,0,5,1,1,2,1
14721,Menji Mundadi,Alabama State,2009,Sr,64,32,11,3,2,0,39,20,11,214,89,83,93,67
14722,Robert Sanders,Alabama State,2009,Jr,34,20,8,1,1,0,34,8,3,14,5,5,40,21
14712,A.J. Spencer,Alabama State,2009,Jr,19,13,3,2,2,0,22,5,2,14,2,0,46,32
14407,Byron Walker,Alabama State,2009,Sr,65,41,25,4,4,4,97,29,21,2,1,1,47,34
14723,Ryan Watts,Alabama State,2009,Fr,2,1,0,0,0,0,5,0,0,3,1,1,5,3
14716,Ivory White,Alabama State,2009,So,14,6,1,0,0,0,13,4,3,26,9,9,8,5
5496,Anthony Brock,Alabama,2009,Sr,37,12,2,0,0,0,16,4,0,108,37,35,27,18
5502,Greg Cage,Alabama,2009,Sr,2,1,0,0,0,0,0,0,0,0,0,0,0,0
5498,Charvez Davis,Alabama,2009,Jr,12,8,5,0,0,0,23,5,4,122,50,49,9,3
44725,Chris Dixon,Alabama,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5497,Ben Eblen,Alabama,2009,Fr,5,2,1,0,0,0,6,2,0,4,1,1,6,2
2187,JaMychal Green,Alabama,2009,So,140,82,50,31,25,20,164,69,27,4,0,0,161,114
2356,Senario Hillman,Alabama,2009,Jr,67,34,16,11,11,7,102,29,4,61,21,18,46,33
5499,Chris Hines,Alabama,2009,Jr,49,33,18,7,6,5,42,13,3,2,1,1,40,19
5503,Justin Knox,Alabama,2009,Jr,50,26,17,13,12,10,98,38,20,1,1,1,84,62
