GMID,Name,School,Year,Grade,PerRimABlkd,Per2PJABlkd,Per3PABlkd,PerRimMissesRbded,Per2PJMissesRbded,Per3PMissesRbded,PerS2APB,PerL2PAPB,PerPBDunked
14649,Casey Cantey,Alabama A&M ,2009,So,33.33%,16.67%,0.00%,66.67%,33.33%,NA,0.00%,16.67%,0.00%
14653,Jabari Deshields,Alabama A&M ,2009,Jr,0.00%,0.00%,0.00%,50.00%,50.00%,0.00%,0.00%,0.00%,NA
14646,Alfred Frayer,Alabama A&M ,2009,Jr,NA,NA,NA,NA,NA,NA,NA,NA,NA
14663,Royce Hamilton,Alabama A&M ,2009,So,0.00%,NA,NA,0.00%,NA,NA,0.00%,NA,NA
14650,Cornelius Hester,Alabama A&M ,2009,RS-Sr,0.00%,0.00%,0.00%,NA,100.00%,60.00%,0.00%,0.00%,NA
14652,Evan Hilton,Alabama A&M ,2009,Sr,22.22%,30.00%,16.67%,66.67%,22.22%,0.00%,11.11%,0.00%,0.00%
14655,Jonathan Inman,Alabama A&M ,2009,RS-Sr,0.00%,40.00%,NA,NA,0.00%,NA,50.00%,20.00%,0.00%
14651,Desmond Jackson,Alabama A&M ,2009,Jr,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,NA
14660,Maurice Kemp,Alabama A&M ,2009,Fr,0.00%,33.33%,0.00%,0.00%,50.00%,50.00%,33.33%,0.00%,0.00%
14659,Marcus Lee,Alabama A&M ,2009,Fr,66.67%,0.00%,NA,0.00%,0.00%,NA,0.00%,0.00%,NA
14662,Reggie Porter,Alabama A&M ,2009,Jr,NA,0.00%,NA,NA,0.00%,NA,NA,0.00%,NA
14657,Khiry White,Alabama A&M ,2009,RS-Fr,NA,NA,NA,NA,NA,NA,NA,NA,NA
14645,Adam Young,Alabama A&M ,2009,Fr,0.00%,50.00%,0.00%,0.00%,40.00%,50.00%,0.00%,33.33%,0.00%
14725,Stephawn Brown,Alabama State,2009,Fr,NA,NA,NA,NA,NA,NA,NA,NA,NA
14726,Tramaine Butler,Alabama State,2009,RS-Jr,50.00%,0.00%,0.00%,33.33%,100.00%,0.00%,0.00%,0.00%,NA
14714,Chris Duncan,Alabama State,2009,Jr,0.00%,0.00%,0.00%,0.00%,0.00%,66.67%,33.33%,0.00%,0.00%
14719,Jevon Freeman,Alabama State,2009,Jr,NA,NA,NA,NA,NA,NA,NA,NA,NA
14720,Jordan Jefferson,Alabama State,2009,RS-Fr,NA,NA,NA,NA,NA,NA,NA,NA,NA
14715,Derrick Johnson,Alabama State,2009,So,NA,NA,NA,NA,NA,NA,NA,NA,NA
14718,Jeffery Middlebrooks,Alabama State,2009,So,0.00%,0.00%,0.00%,NA,0.00%,100.00%,0.00%,0.00%,NA
14724,Sekari Milligen,Alabama State,2009,So,NA,0.00%,NA,NA,0.00%,NA,NA,0.00%,NA
14727,Tramyne Moorer,Alabama State,2009,Jr,100.00%,0.00%,NA,100.00%,0.00%,NA,0.00%,0.00%,NA
14717,Jadarren Mumpfield,Alabama State,2009,Jr,NA,NA,NA,NA,NA,NA,NA,NA,NA
14721,Menji Mundadi,Alabama State,2009,Sr,20.00%,33.33%,0.00%,66.67%,33.33%,50.00%,20.00%,0.00%,0.00%
14722,Robert Sanders,Alabama State,2009,Jr,66.67%,0.00%,0.00%,100.00%,66.67%,25.00%,0.00%,0.00%,NA
14712,A.J. Spencer,Alabama State,2009,Jr,NA,0.00%,0.00%,NA,0.00%,0.00%,NA,0.00%,NA
14407,Byron Walker,Alabama State,2009,Sr,25.00%,50.00%,NA,33.33%,100.00%,NA,50.00%,0.00%,0.00%
14723,Ryan Watts,Alabama State,2009,Fr,NA,NA,NA,NA,NA,NA,NA,NA,NA
14716,Ivory White,Alabama State,2009,So,0.00%,0.00%,0.00%,100.00%,NA,0.00%,0.00%,0.00%,NA
5496,Anthony Brock,Alabama,2009,Sr,32.00%,27.27%,1.61%,55.56%,22.22%,30.77%,0.00%,0.00%,NA
5502,Greg Cage,Alabama,2009,Sr,NA,NA,NA,NA,NA,NA,NA,NA,NA
